Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Воркутинская городская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56					
		5.03%	0.00%	2.01%	4.20%	3.30%	3.81%	5.16%	3.61%	5.49%	5.55%	5.91%	4.51%	5.50%	3.20%	4.77%	4.58%	5.24%	6.14%	6.48%	4.74%	4.70%	5.65%	3.68%	4.72%	5.87%	6.27%	6.13%	5.71%	6.76%	4.40%	5.39%	5.57%	4.49%	5.91%	4.46%	5.00%	6.17%	6.51%	5.06%	5.99%	5.17%	7.00%	3.68%	5.56%	5.30%	4.89%	2.45%	1.95%	4.39%	5.55%	5.62%	5.01%	4.51%	2.24%	3.77%	1.14%	2.58%					
19	. Малышкин Олег Александрович	1944	1	11	7	53	21	45	33	33	41	35	53	38	30	31	42	40	48	25	29	40	39	30	35	20	33	34	47	38	37	46	45	31	42	40	50	38	29	35	39	37	40	37	36	42	37	15	9	27	47	60	41	40	21	57	29	5					
		4.00%	0.77%	3.68%	2.45%	5.14%	2.96%	4.46%	4.10%	3.18%	4.74%	3.57%	5.20%	3.43%	3.31%	3.14%	3.50%	3.62%	4.15%	2.35%	2.41%	3.48%	4.08%	2.45%	3.44%	1.81%	3.24%	2.98%	4.63%	4.51%	3.97%	5.17%	4.91%	3.48%	4.07%	4.58%	5.56%	4.60%	5.39%	3.61%	4.41%	4.16%	4.12%	4.70%	3.85%	4.28%	5.03%	4.60%	4.39%	2.57%	4.42%	4.89%	4.19%	4.74%	6.71%	6.51%	11.03%	3.23%					
20	. Миронов Сергей Михайлович	496	1	1	2	6	9	6	5	11	13	14	10	8	7	12	11	10	16	7	6	10	3	14	14	15	12	15	20	6	13	7	3	7	9	12	15	11	17	10	8	5	8	6	9	18	10	4	0	6	10	16	12	10	0	4	2	0					
		1.02%	0.77%	0.33%	0.70%	0.58%	1.27%	0.60%	0.62%	1.06%	1.50%	1.43%	0.98%	0.72%	0.77%	1.22%	0.92%	0.90%	1.38%	0.66%	0.50%	0.87%	0.31%	1.14%	1.38%	1.36%	1.18%	1.31%	1.97%	0.71%	1.39%	0.79%	0.33%	0.79%	0.87%	1.37%	1.67%	1.33%	3.16%	1.03%	0.90%	0.56%	0.82%	0.76%	0.96%	1.83%	1.36%	1.23%	0.00%	0.57%	0.94%	1.30%	1.23%	1.19%	0.00%	0.46%	0.76%	0.00%					
21	. Путин Владимир Владимирович	34238	111	233	228	755	513	739	550	728	578	657	713	762	677	677	805	764	782	739	906	834	653	963	701	770	690	834	678	594	668	603	649	629	718	590	591	554	351	670	634	647	650	564	630	691	499	247	160	834	735	858	677	590	242	623	188	112					
		70.41%	85.38%	77.93%	79.72%	73.23%	72.36%	73.31%	68.41%	70.13%	66.82%	66.97%	69.90%	68.71%	74.64%	68.66%	67.03%	69.08%	67.59%	69.45%	75.31%	72.58%	68.31%	78.68%	68.93%	69.56%	67.65%	73.09%	66.73%	70.46%	71.67%	67.75%	70.85%	70.59%	69.57%	67.51%	65.67%	67.07%	65.24%	69.14%	71.64%	72.78%	66.94%	71.66%	67.31%	70.44%	67.80%	75.77%	78.05%	79.50%	69.08%	69.87%	69.22%	69.99%	77.32%	71.20%	71.48%	72.26%					
22	. Хакамада Ирина Муцуовна	1202	1	4	4	40	25	15	27	37	33	55	37	35	21	36	41	46	34	42	32	24	29	22	33	37	27	24	23	12	24	15	17	26	28	17	11	11	13	16	10	6	15	12	14	17	13	5	5	13	17	22	24	22	2	18	9	4					
		2.47%	0.77%	1.34%	1.40%	3.88%	3.53%	1.49%	3.36%	3.56%	3.82%	5.61%	3.63%	3.16%	2.32%	3.65%	3.41%	4.16%	2.94%	3.95%	2.66%	2.09%	3.03%	1.80%	3.24%	3.34%	2.65%	2.10%	2.26%	1.42%	2.58%	1.69%	1.86%	2.92%	2.71%	1.95%	1.22%	1.33%	2.42%	1.65%	1.13%	0.67%	1.54%	1.52%	1.50%	1.73%	1.77%	1.53%	2.44%	1.24%	1.60%	1.79%	2.45%	2.61%	0.64%	2.06%	3.42%	2.58%					
23	. Харитонов Николай Михайлович	5601	12	40	25	94	81	100	103	104	103	108	100	149	100	126	159	128	132	128	99	115	120	99	124	127	137	109	139	91	109	112	91	109	122	133	128	119	70	130	98	96	140	92	134	117	97	24	21	84	124	136	114	94	22	100	9	24					
