Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Уинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825					
1	"Число избирателей, внесенных в список"	8899	1233	415	368	160	414	220	279	235	925	111	512	357	70	69	207	711	130	235	93	290	83	88	337	1116	241					
2	Число полученных избирательных бюллетеней	9670	1300	450	400	210	430	220	330	240	980	130	590	420	85	85	230	720	140	260	110	330	90	100	350	1200	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	318	0	42	23	0	0	0	0	67	0	0	0	0	0	0	21	43	43	22	0	0	0	0	0	0	57					
4	"Число избирательных бюллетеней, выданных в день голосования"	6711	863	289	228	108	366	166	248	151	656	102	421	290	70	60	144	514	70	183	81	251	76	86	286	842	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	1249	169	61	103	50	40	53	25	17	150	9	86	61	0	7	41	143	16	27	12	35	7	2	35	76	24					
6	Число погашенных избирательных бюллетеней	1392	268	58	46	52	24	1	57	5	174	19	83	69	15	18	24	20	11	28	17	44	7	12	29	282	29					
7	Число избирательных бюллетеней в переносных ящиках	1567	169	103	126	50	40	53	25	84	150	9	86	61	0	7	62	186	59	49	12	35	7	2	35	76	81					
8	Число бюллетеней в стационарных ящиках для голосования	6709	862	289	228	108	366	166	248	151	656	102	421	290	70	60	144	513	70	183	81	251	76	86	286	842	160					
9	Число недействительных избирательных бюллетеней	82	13	6	4	3	5	0	1	1	9	1	4	4	0	0	1	6	2	2	1	2	0	0	5	8	4					
10	Число действительных избирательных бюллетеней	8194	1018	386	350	155	401	219	272	234	797	110	503	347	70	67	205	693	127	230	92	284	83	88	316	910	237					
11	Число полученных открепительных  удостоверений	886	121	54	69	31	15	22	33	20	65	12	60	30	9	9	25	53	14	19	6	38	7	5	20	124	25					
12	Число выданных открепительных удостоверений	870	105	54	69	31	15	22	33	20	65	12	60	30	9	9	25	53	14	19	6	38	7	5	20	124	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	251	43	4	24	6	8	5	6	9	13	5	9	3	4	2	10	25	8	6	3	5	5	1	12	26	9					
14	Число неиспользованных открепительных удостоверений	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	5	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	218	44	16	6	3	1	10	9	8	25	0	13	5	0	0	1	21	0	4	0	4	1	4	8	33	2					
		2.63%	4.27%	4.08%	1.69%	1.90%	0.25%	4.57%	3.30%	3.40%	3.10%	0.00%	2.56%	1.42%	0.00%	0.00%	0.49%	3.00%	0.00%	1.72%	0.00%	1.40%	1.20%	4.55%	2.49%	3.59%	0.83%					
19	. Малышкин Олег Александрович	241	37	9	3	1	4	4	3	2	26	7	6	11	1	3	6	28	3	13	3	10	9	6	9	34	3					
