Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Выселковская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
1	"Число избирателей, внесенных в список"	45900	1592	636	574	628	442	1524	2975	1945	440	1185	1008	342	1869	1527	2405	1067	1550	2325	2171	557	356	1873	1666	297	377	799	1077	1026	1333	1023	209	876	229	608	2088	1361	1376	1647	917					
2	Число полученных избирательных бюллетеней	45610	1592	641	622	660	432	1500	2964	1847	468	1193	1016	339	1852	1498	2296	1123	1514	2307	2137	535	373	1797	1614	296	378	803	1067	1014	1345	1022	212	867	238	631	2101	1367	1366	1656	927					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27619	1194	455	349	430	262	807	1699	1065	227	823	662	220	1034	711	1284	655	919	1296	1121	402	144	1073	910	263	244	615	630	631	1008	844	184	381	148	391	1324	818	769	969	658					
5	"Число избирательных бюллетеней, выданных вне помещения"	2817	104	19	74	43	62	269	25	63	55	105	55	48	51	177	117	38	119	73	99	98	119	25	130	17	21	20	87	32	18	12	10	208	38	49	33	61	124	68	51					
6	Число погашенных избирательных бюллетеней	15174	294	167	199	187	108	424	1240	719	186	265	299	71	767	610	895	430	476	938	917	35	110	699	574	16	113	168	350	351	319	166	18	278	52	191	744	488	473	619	218					
7	Число избирательных бюллетеней в переносных ящиках	2817	104	19	74	43	62	269	25	63	55	105	55	48	51	177	117	38	119	73	99	98	119	25	130	17	21	20	87	32	18	12	10	208	38	49	33	61	124	68	51					
8	Число бюллетеней в стационарных ящиках для голосования	27618	1194	455	349	430	262	807	1699	1065	227	823	662	220	1034	711	1284	655	918	1296	1121	402	144	1073	910	263	244	615	630	631	1008	844	184	381	148	391	1324	818	769	969	658					
9	Число недействительных избирательных бюллетеней	316	6	4	9	2	2	6	11	17	4	5	4	4	10	13	16	10	12	14	5	8	4	4	9	4	8	5	6	2	15	19	1	0	1	12	24	19	5	11	5					
10	Число действительных избирательных бюллетеней	30119	1292	470	414	471	322	1070	1713	1111	278	923	713	264	1075	875	1385	683	1025	1355	1215	492	259	1094	1031	276	257	630	711	661	1011	837	193	589	185	428	1333	860	888	1026	704					
