Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Шовгеновская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в список"	12884	488	681	335	984	754	365	809	268	102	1819	1366	286	1513	878	868	658	710					
2	Число полученных избирательных бюллетеней	13039	485	723	347	980	767	417	798	268	103	1830	1317	293	1519	895	863	654	780					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11812	435	492	300	873	635	353	794	248	102	1703	1178	220	1480	849	834	625	691					
5	"Число избирательных бюллетеней, выданных вне помещения"	678	50	134	30	31	88	0	0	20	0	98	120	50	9	12	13	11	12					
6	Число погашенных избирательных бюллетеней	549	0	97	17	76	44	64	4	0	1	29	19	23	30	34	16	18	77					
7	Число избирательных бюллетеней в переносных ящиках	678	50	134	30	31	88	0	0	20	0	98	120	50	9	12	13	11	12					
8	Число бюллетеней в стационарных ящиках для голосования	11808	435	492	300	873	631	353	794	248	102	1703	1178	220	1480	849	834	625	691					
9	Число недействительных избирательных бюллетеней	115	43	6	4	0	4	0	12	3	0	18	4	0	6	0	5	8	2					
10	Число действительных избирательных бюллетеней	12371	442	620	326	904	715	353	782	265	102	1783	1294	270	1483	861	842	628	701					
11	Число полученных открепительных  удостоверений	57	2	3	2	4	4	2	3	2	2	5	5	2	5	4	4	4	4					
12	Число выданных открепительных удостоверений	4	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	53	1	3	2	4	4	2	3	2	2	5	4	2	5	3	3	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	84	9	1	8	0	2	5	10	3	0	20	2	5	9	4	2	3	1					
		0.67%	1.86%	0.16%	2.42%	0.00%	0.28%	1.42%	1.26%	1.12%	0.00%	1.11%	0.15%	1.85%	0.60%	0.46%	0.24%	0.47%	0.14%					
19	. Малышкин Олег Александрович	60	13	0	12	2	4	13	2	2	1	2	1	3	3	0	2	0	0					
		0.48%	2.68%	0.00%	3.64%	0.22%	0.56%	3.68%	0.25%	0.75%	0.98%	0.11%	0.08%	1.11%	0.20%	0.00%	0.24%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	32	2	3	6	2	0	5	2	2	0	2	1	0	4	0	1	2	0					
		0.26%	0.41%	0.48%	1.82%	0.22%	0.00%	1.42%	0.25%	0.75%	0.00%	0.11%	0.08%	0.00%	0.27%	0.00%	0.12%	0.31%	0.00%					
21	. Путин Владимир Владимирович	10057	379	587	231	886	671	274	591	225	86	1197	1111	202	1062	674	810	412	659					
		80.55%	78.14%	93.77%	70.00%	98.01%	93.32%	77.62%	74.43%	83.96%	84.31%	66.46%	85.59%	74.81%	71.32%	78.28%	95.63%	64.78%	93.74%					
22	. Хакамада Ирина Муцуовна	85	3	0	2	0	4	6	13	4	4	9	7	1	13	3	8	5	3					
		0.68%	0.62%	0.00%	0.61%	0.00%	0.56%	1.70%	1.64%	1.49%	3.92%	0.50%	0.54%	0.37%	0.87%	0.35%	0.94%	0.79%	0.43%					
23	. Харитонов Николай Михайлович	1973	27	29	60	14	21	49	160	25	11	553	164	57	375	176	17	199	36					
		15.80%	5.57%	4.63%	18.18%	1.55%	2.92%	13.88%	20.15%	9.33%	10.78%	30.71%	12.63%	21.11%	25.18%	20.44%	2.01%	31.29%	5.12%					
																								
24	Против всех	80	9	0	7	0	13	1	4	4	0	0	8	2	17	4	2	7	2					
		0.64%	1.86%	0.00%	2.12%	0.00%	1.81%	0.28%	0.50%	1.49%	0.00%	0.00%	0.62%	0.74%	1.14%	0.46%	0.24%	1.10%	0.28%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
