Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Молодежная поселковая								
								
Итоги голосования 								
								
		Сумма	УИК №1437					
1	"Число избирателей, внесенных в список"	2148	2148					
2	Число полученных избирательных бюллетеней	2000	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1444	1444					
5	"Число избирательных бюллетеней, выданных вне помещения"	19	19					
6	Число погашенных избирательных бюллетеней	537	537					
7	Число избирательных бюллетеней в переносных ящиках	19	19					
8	Число бюллетеней в стационарных ящиках для голосования	1438	1438					
9	Число недействительных избирательных бюллетеней	4	4					
10	Число действительных избирательных бюллетеней	1453	1453					
11	Число полученных открепительных  удостоверений	90	90					
12	Число выданных открепительных удостоверений	55	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	21					
14	Число неиспользованных открепительных удостоверений	35	35					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	80	80					
		5.49%	5.49%					
19	. Малышкин Олег Александрович	18	18					
		1.24%	1.24%					
20	. Миронов Сергей Михайлович	8	8					
		0.55%	0.55%					
21	. Путин Владимир Владимирович	1092	1092					
		74.95%	74.95%					
22	. Хакамада Ирина Муцуовна	35	35					
		2.40%	2.40%					
23	. Харитонов Николай Михайлович	155	155					
		10.64%	10.64%					
								
24	Против всех	65	65					
		4.46%	4.46%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
