Выборы Президента Российской Федерации																																																																																																												
Дата голосования: 02.03.2008																																																																																																												
																																																																																																												
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																												
																																																																																																												
Сводная таблица результатов выборов																																																																																																												
																																																																																																												
	Число участковых избирательных комиссий	101																																																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	101																																																																																																										
																																																																																																												
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, включенных в списки избирателей"	168720	2162	790	1449	2532	2706	1136	963	762	2310	2345	2007	2739	2728	951	2018	619	2125	3111	2324	2004	2719	1304	2264	1087	2456	2665	2144	1471	2248	2611	2843	2523	2918	2853	1108	2860	2863	2773	1222	2238	2526	2450	1966	2579	1693	1511	874	1135	2036	951	1365	1712	1588	1604	2569	1334	2457	1951	2835	1333	2465	1089	1616	2200	1550	1473	1936	1610	2929	1945	2406	1930	1701	2794	2546	736	1930	1703	1761	1300	1800	275	1445	1529	2226	1854	470	140	187	45	65	155	71	45	603	257	158	131	48	98	78					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	153575	2000	750	1400	2200	2500	1000	950	750	2200	2300	1600	2600	2400	900	1900	600	2000	3000	2100	1900	2500	1200	2100	1000	2200	2400	2000	1300	2000	2300	2500	2200	2700	2600	1000	2500	2600	2500	1100	2200	2500	2600	1800	2300	1900	1300	800	900	1800	800	1100	1500	1300	1300	2300	1100	2200	1700	2500	1100	2000	1000	1500	2000	1600	1500	1800	1500	2600	1800	2100	1600	1500	2200	2400	600	1700	1700	1600	1100	1600	260	1300	1400	2100	1700	400	150	200	60	70	155	70	60	650	260	170	150	60	110	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	96302	1153	367	717	1235	1557	601	504	388	1121	1352	1391	1540	1407	453	962	394	1009	2176	1253	1026	1485	666	1120	521	1384	1456	1158	776	1146	1314	1446	1237	1568	1425	635	1456	1525	1501	656	1483	1630	1555	947	1130	1045	717	463	697	1242	510	876	1063	842	1108	1507	801	1425	1116	1788	840	1814	713	745	1172	1024	803	1060	931	1610	1708	1500	1053	1241	1823	1470	449	1243	1112	857	567	1237	256	640	735	1267	1079	254	140	187	42	65	155	70	45	603	257	156	131	46	98	78					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3092	83	41	40	61	19	49	96	29	71	40	20	16	40	23	74	31	88	20	65	13	68	63	50	1	33	22	18	25	39	25	30	19	20	27	26	18	18	29	21	13	14	16	37	38	78	78	20	30	24	33	24	48	49	13	47	27	36	38	31	33	10	20	19	53	54	64	28	22	27	0	30	25	9	30	19	27	60	40	36	149	12	0	57	54	21	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	54181	764	342	643	904	924	350	350	333	1008	908	189	1044	953	424	864	175	903	804	782	861	947	471	930	478	783	922	824	499	815	961	1024	944	1112	1148	339	1026	1057	970	423	704	856	1029	816	1132	777	505	317	173	534	257	200	389	409	179	746	272	739	546	681	227	176	267	736	775	522	633	712	547	963	92	570	522	250	347	911	124	397	548	707	384	351	4	603	611	812	604	135	10	13	18	5	0	0	15	47	3	14	19	14	12	22					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3092	83	41	40	61	19	49	96	29	71	40	20	16	40	23	74	31	88	20	65	13	68	63	50	1	33	22	18	25	39	25	30	19	20	27	26	18	18	29	21	13	14	16	37	38	78	78	20	30	24	33	24	48	49	13	47	27	36	38	31	33	10	20	19	53	54	64	28	22	27	0	30	25	9	30	19	27	60	40	36	149	12	0	57	54	21	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
