Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кингисеппская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521					
		0.97%	1.01%	0.84%	0.88%	1.18%	0.09%	1.12%	0.59%	1.22%	1.31%	0.98%	1.33%	1.04%	1.25%	0.74%	0.82%	0.93%	1.35%	0.50%	0.99%	0.89%	0.60%	1.46%	1.03%	2.25%	0.12%	1.99%	0.83%	0.91%	3.23%	0.64%	0.54%	2.48%	1.08%	1.50%	0.76%	1.58%	1.32%	0.76%	0.74%	0.47%	0.46%	0.44%	4.00%					
21	. Путин Владимир Владимирович	24845	787	1131	535	543	807	960	1081	1125	908	1017	790	616	1022	705	629	721	884	882	705	754	345	299	541	166	741	120	87	758	64	123	143	132	151	610	430	551	700	326	776	365	172	601	42					
		74.66%	72.14%	72.73%	66.96%	71.35%	73.56%	66.99%	71.17%	71.98%	69.95%	71.32%	74.88%	71.30%	71.17%	74.68%	73.31%	74.25%	74.66%	73.07%	69.87%	74.80%	68.86%	72.75%	79.68%	74.77%	88.21%	79.47%	72.50%	76.80%	68.82%	78.85%	77.30%	81.99%	81.18%	83.45%	81.44%	79.05%	84.13%	82.95%	82.03%	85.88%	78.90%	87.23%	84.00%					
22	. Хакамада Ирина Муцуовна	1316	47	68	40	39	45	77	56	77	46	57	43	52	66	52	42	46	66	79	52	52	13	18	12	10	16	3	2	21	6	6	4	0	3	18	10	16	15	6	16	3	2	12	2					
		3.95%	4.31%	4.37%	5.01%	5.12%	4.10%	5.37%	3.69%	4.93%	3.54%	4.00%	4.08%	6.02%	4.60%	5.51%	4.90%	4.74%	5.57%	6.55%	5.15%	5.16%	2.59%	4.38%	1.77%	4.50%	1.90%	1.99%	1.67%	2.13%	6.45%	3.85%	2.16%	0.00%	1.61%	2.46%	1.89%	2.30%	1.80%	1.53%	1.69%	0.71%	0.92%	1.74%	4.00%					
23	. Харитонов Николай Михайлович	3693	131	200	138	107	118	249	205	176	167	167	92	108	194	96	82	104	99	106	106	86	86	59	67	20	40	9	21	119	15	20	26	23	15	48	43	70	56	40	88	35	25	35	2					
		11.10%	12.01%	12.86%	17.27%	14.06%	10.76%	17.38%	13.50%	11.26%	12.87%	11.71%	8.72%	12.50%	13.51%	10.17%	9.56%	10.71%	8.36%	8.78%	10.51%	8.53%	17.17%	14.36%	9.87%	9.01%	4.76%	5.96%	17.50%	12.06%	16.13%	12.82%	14.05%	14.29%	8.06%	6.57%	8.14%	10.04%	6.73%	10.18%	9.30%	8.24%	11.47%	5.08%	4.00%					
																																																		
24	Против всех	1125	44	45	27	21	42	48	42	55	64	67	56	33	42	38	37	36	50	65	55	45	17	6	16	7	11	9	2	29	2	2	1	0	0	11	8	18	24	5	21	2	5	16	1					
		3.38%	4.03%	2.89%	3.38%	2.76%	3.83%	3.35%	2.76%	3.52%	4.93%	4.70%	5.31%	3.82%	2.92%	4.03%	4.31%	3.71%	4.22%	5.39%	5.45%	4.46%	3.39%	1.46%	2.36%	3.15%	1.31%	5.96%	1.67%	2.94%	2.15%	1.28%	0.54%	0.00%	0.00%	1.50%	1.52%	2.58%	2.88%	1.27%	2.22%	0.47%	2.29%	2.32%	2.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
