Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
"Наименование Избирательной комиссии:    г. Грозный, Старопромысловская"																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №428					
		0.28%	0.11%	0.09%	0.61%	0.38%	0.82%	0.0%	0.23%	0.27%	0.04%	0.20%	0.55%	0.0%	0.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	92	2	4	16	5	4	0	1	8	33	5	12	0	2					
		0.32%	0.07%	0.18%	0.69%	0.27%	0.18%	0.0%	0.04%	0.31%	1.34%	0.20%	0.60%	0.0%	0.13%					
35	"18. ""ЛДПР"""	405	3	4	4	4	69	0	10	18	17	5	2	0	269					
		1.43%	0.11%	0.18%	0.17%	0.22%	3.15%	0.0%	0.46%	0.71%	0.69%	0.20%	0.10%	0.0%	18.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	62	2	2	6	19	7	0	4	9	7	0	4	0	2					
		0.21%	0.07%	0.09%	0.26%	1.05%	0.32%	0.0%	0.18%	0.35%	0.28%	0.0%	0.20%	0.0%	0.13%					
37	"20. ""Политическая партия ""Единая Россия"""	18601	1610	1628	1986	1281	1262	1597	1075	1592	1752	1589	1553	1432	244					
		65.86%	62.16%	76.32%	86.61%	70.85%	57.78%	73.96%	49.60%	62.94%	71.16%	66.56%	77.72%	70.23%	16.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	3	0	1	3	5	0	2	4	1	0	3	0	6					
		0.09%	0.11%	0.0%	0.04%	0.16%	0.22%	0.0%	0.09%	0.15%	0.04%	0.0%	0.15%	0.0%	0.40%					
39	"22. ""Развитие предпринимательства"""	9	0	0	0	1	0	0	0	1	1	1	0	0	5					
		0.03%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.0%	0.03%	0.04%	0.04%	0.0%	0.0%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	278	25	23	27	12	11	0	16	36	49	16	37	0	26					
		0.98%	0.96%	1.07%	1.17%	0.66%	0.50%	0.0%	0.73%	1.42%	1.99%	0.67%	1.85%	0.0%	1.74%					
																				
41	Против всех	236	10	4	23	9	19	0	10	13	9	5	11	0	123					
		0.83%	0.38%	0.18%	1.00%	0.49%	0.86%	0.0%	0.46%	0.51%	0.36%	0.20%	0.55%	0.0%	8.24%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
