Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Похвистневская городская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110					
1	"Число избирателей, внесенных в список избирателей"	21233	1595	2393	1850	1630	1577	2547	2741	1277	1446	1395	1284	668	830					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21150	1600	2400	1850	1600	1550	2550	2700	1300	1400	1400	1300	700	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11950	774	1470	1104	959	803	1459	1472	713	800	748	653	479	516					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	961	93	100	55	44	85	73	88	72	63	73	99	66	50					
6	Число погашенных избирательных бюллетеней	8239	733	830	691	597	662	1018	1140	515	537	579	548	155	234					
7	Число избирательных бюллетеней в переносных ящиках для голосования	961	93	100	55	44	85	73	88	72	63	73	99	66	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11949	774	1470	1104	959	803	1459	1472	713	800	747	653	479	516					
9	Число недействительных избирательных бюллетеней	253	18	31	17	25	15	33	29	19	12	20	18	6	10					
10	Число действительных избирательных бюллетеней	12657	849	1539	1142	978	873	1499	1531	766	851	800	734	539	556					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	60	110	60	90	60	100	100	60	60	60	60	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	511	40	50	38	44	28	56	53	53	43	40	15	37	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	190	6	29	9	36	7	10	24	10	11	12	10	7	19					
14	Число погашенных неиспользованных открепительных удостоверений	389	20	60	22	46	32	44	47	7	17	20	45	3	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	6	1	3	1	3	9	1	1	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2463	129	332	220	179	168	307	345	158	159	164	112	95	95					
		19.08%	14.88%	21.15%	18.98%	17.85%	18.92%	20.04%	22.12%	20.13%	18.42%	20.00%	14.89%	17.43%	16.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1750	127	190	152	149	101	214	263	86	124	113	114	74	43					
		13.56%	14.65%	12.10%	13.11%	14.86%	11.37%	13.97%	16.86%	10.96%	14.37%	13.78%	15.16%	13.58%	7.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	135	7	22	16	9	16	17	21	5	3	7	5	1	6					
		1.05%	0.81%	1.40%	1.38%	0.90%	1.80%	1.11%	1.35%	0.64%	0.35%	0.85%	0.66%	0.18%	1.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3019	238	328	275	242	226	328	362	214	210	237	199	63	97					
		23.38%	27.45%	20.89%	23.73%	24.13%	25.45%	21.41%	23.21%	27.26%	24.33%	28.90%	26.46%	11.56%	17.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	238	9	37	30	30	14	18	19	9	20	15	18	14	5					
		1.84%	1.04%	2.36%	2.59%	2.99%	1.58%	1.17%	1.22%	1.15%	2.32%	1.83%	2.39%	2.57%	0.88%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4999	334	623	446	365	345	607	518	291	329	263	282	289	307					
		38.72%	38.52%	39.68%	38.48%	36.39%	38.85%	39.62%	33.21%	37.07%	38.12%	32.07%	37.50%	53.03%	54.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	53	5	7	3	4	3	8	3	3	6	1	4	3	3					
		0.41%	0.58%	0.45%	0.26%	0.40%	0.34%	0.52%	0.19%	0.38%	0.70%	0.12%	0.53%	0.55%	0.53%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
