Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Цумадинская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577					
1	"Число избирателей, внесенных в список"	12936	475	461	472	275	81	837	153	306	567	256	292	290	1237	118	67	105	94	289	295	60	632	177	345	104	82	243	74	68	121	127	198	455	67	302	287	255	116	295	109	168	193	204	96	510	361	114	133	276	94					
2	Число полученных избирательных бюллетеней	12845	465	451	470	266	81	837	152	306	567	262	292	290	1237	118	66	105	94	289	295	60	632	184	345	104	82	243	74	68	121	127	198	417	61	302	287	255	116	295	109	167	193	204	96	520	360	100	126	276	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11691	443	405	358	215	62	637	122	282	500	240	282	287	1212	88	59	102	94	287	215	52	550	165	317	104	71	187	58	60	112	108	198	417	61	294	277	245	110	287	109	166	191	199	91	490	321	88	117	276	80					
5	"Число избирательных бюллетеней, выданных вне помещения"	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	1082	22	46	112	51	19	200	30	24	67	22	10	3	25	30	7	3	0	2	80	8	10	19	28	0	11	56	16	8	9	19	0	0	0	8	10	10	6	8	0	1	2	5	5	30	39	12	9	0	0					
7	Число избирательных бюллетеней в переносных ящиках	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11691	443	405	358	215	62	637	122	282	500	240	282	287	1212	88	59	102	94	287	215	52	550	165	317	104	71	187	58	60	112	108	198	417	61	294	277	245	110	287	109	166	191	199	91	490	321	88	117	276	80					
9	Число недействительных избирательных бюллетеней	97	4	1	0	2	0	0	0	8	5	0	0	0	0	2	0	1	1	0	0	1	1	0	0	0	0	15	3	0	2	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	21	20	0	0	2					
10	Число действительных избирательных бюллетеней	11666	439	404	358	213	62	637	122	274	495	240	282	287	1212	86	59	101	93	287	215	51	621	165	317	104	71	172	55	60	110	108	198	417	61	294	271	243	110	287	109	166	191	199	91	490	300	68	117	276	78					
11	Число полученных открепительных  удостоверений	361	15	15	15	8	5	12	5	7	10	8	8	5	15	5	5	5	5	7	7	5	12	5	7	5	5	5	5	5	5	5	5	10	5	5	8	7	5	7	5	7	7	8	7	10	10	7	10	7	5					
12	Число выданных открепительных удостоверений	13	2	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	348	13	15	14	8	5	12	5	7	10	5	8	5	13	5	5	5	4	7	7	5	11	5	7	5	5	5	5	5	5	5	5	10	5	5	8	7	5	7	5	7	7	8	7	10	10	6	10	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	26	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	4	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0					
		0.22%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.32%	0.00%	0.00%	0.00%	1.41%	2.14%	10.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.20%	0.00%	0.00%	0.00%	1.09%	0.00%					
19	. Малышкин Олег Александрович	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11182	411	386	311	201	44	625	120	264	492	226	279	283	1212	84	59	97	92	279	203	46	565	153	309	102	70	134	41	60	105	105	193	398	61	285	271	231	110	287	109	150	191	198	90	487	276	63	112	237	75					
		95.06%	92.78%	95.31%	86.87%	93.49%	70.97%	98.12%	98.36%	93.62%	98.40%	94.17%	98.94%	98.61%	100.00%	95.45%	100.00%	95.10%	97.87%	97.21%	94.42%	88.46%	90.84%	92.73%	97.48%	98.08%	98.59%	71.66%	70.69%	100.00%	93.75%	97.22%	97.47%	95.44%	100.00%	96.94%	97.83%	94.29%	100.00%	100.00%	100.00%	90.36%	100.00%	99.50%	98.90%	99.39%	85.98%	71.59%	95.73%	85.87%	93.75%					
22	. Хакамада Ирина Муцуовна	42	2	1	9	4	0	5	1	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	8	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0					
		0.36%	0.45%	0.25%	2.51%	1.86%	0.00%	0.78%	0.82%	0.00%	0.00%	0.83%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	1.92%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.36%	0.00%					
23	. Харитонов Николай Михайлович	377	18	16	36	5	18	7	0	2	2	11	3	2	0	2	0	4	1	8	10	2	52	12	8	2	0	32	8	0	5	3	4	8	0	1	0	8	0	0	0	15	0	1	0	2	24	4	5	34	2					
		3.20%	4.06%	3.95%	10.06%	2.33%	29.03%	1.10%	0.00%	0.71%	0.40%	4.58%	1.06%	0.70%	0.00%	2.27%	0.00%	3.92%	1.06%	2.79%	4.65%	3.85%	8.36%	7.27%	2.52%	1.92%	0.00%	17.11%	13.79%	0.00%	4.46%	2.78%	2.02%	1.92%	0.00%	0.34%	0.00%	3.27%	0.00%	0.00%	0.00%	9.04%	0.00%	0.50%	0.00%	0.41%	7.48%	4.55%	4.27%	12.32%	2.50%					
																																																								
24	Против всех	31	6	0	2	3	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1					
		0.26%	1.35%	0.00%	0.56%	1.40%	0.00%	0.00%	0.82%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	1.02%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	1.25%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
