Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Путятинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в список"	6803	285	107	203	335	223	281	309	287	177	266	162	728	63	1079	1437	240	183	148	75	215					
2	Число полученных избирательных бюллетеней	6950	285	110	205	345	230	295	315	295	180	270	165	740	65	1100	1470	240	190	150	70	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4027	184	55	111	211	130	149	171	146	86	144	85	417	41	620	1033	136	71	83	22	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	786	22	22	41	34	35	52	74	52	33	70	38	47	6	71	38	43	36	13	37	22					
6	Число погашенных избирательных бюллетеней	2138	79	33	53	100	65	94	70	97	61	56	42	276	18	409	399	62	83	54	11	76					
7	Число избирательных бюллетеней в переносных ящиках	786	22	22	41	34	35	52	74	52	33	70	38	47	6	71	38	43	36	13	37	22					
8	Число бюллетеней в стационарных ящиках для голосования	4024	184	55	111	211	130	149	171	146	86	144	85	417	41	620	1030	136	71	83	22	132					
9	Число недействительных избирательных бюллетеней	69	1	0	2	2	3	3	5	2	4	3	5	7	0	9	8	8	1	1	0	5					
10	Число действительных избирательных бюллетеней	4741	205	77	150	243	162	198	240	196	115	211	118	457	47	682	1060	171	106	95	59	149					
11	Число полученных открепительных  удостоверений	380	20	10	20	20	20	20	20	20	20	20	20	20	15	30	30	20	15	15	5	20					
12	Число выданных открепительных удостоверений	62	0	1	0	7	1	8	2	3	2	0	0	6	1	8	13	1	2	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	2	1	1	2	4	0	5	2	3	2	2	3	3	3	8	0	2	0	6	2					
14	Число неиспользованных открепительных удостоверений	318	20	9	20	13	19	12	18	17	18	20	20	14	14	22	17	19	13	15	5	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	99	4	0	0	2	1	1	4	0	2	3	6	12	0	16	34	3	3	2	0	6					
		2.06%	1.94%	0.00%	0.00%	0.82%	0.61%	0.50%	1.63%	0.00%	1.68%	1.40%	4.88%	2.59%	0.00%	2.32%	3.18%	1.68%	2.80%	2.08%	0.00%	3.90%					
19	. Малышкин Олег Александрович	85	9	1	1	4	5	6	10	3	1	3	2	8	0	13	11	2	2	0	0	4					
		1.77%	4.37%	1.30%	0.66%	1.63%	3.03%	2.99%	4.08%	1.52%	0.84%	1.40%	1.63%	1.72%	0.00%	1.88%	1.03%	1.12%	1.87%	0.00%	0.00%	2.60%					
20	. Миронов Сергей Михайлович	41	2	2	0	4	2	2	1	2	1	2	1	2	0	3	8	2	0	1	3	3					
		0.85%	0.97%	2.60%	0.00%	1.63%	1.21%	1.00%	0.41%	1.01%	0.84%	0.93%	0.81%	0.43%	0.00%	0.43%	0.75%	1.12%	0.00%	1.04%	5.08%	1.95%					
21	. Путин Владимир Владимирович	3836	152	62	130	212	144	171	200	160	96	186	66	344	44	558	846	142	77	80	49	117					
		79.75%	73.79%	80.52%	85.53%	86.53%	87.27%	85.07%	81.63%	80.81%	80.67%	86.92%	53.66%	74.14%	93.62%	80.75%	79.21%	79.33%	71.96%	83.33%	83.05%	75.97%					
22	. Хакамада Ирина Муцуовна	60	1	0	0	3	2	3	3	8	2	0	2	3	1	11	16	1	3	0	0	1					
		1.25%	0.49%	0.00%	0.00%	1.22%	1.21%	1.49%	1.22%	4.04%	1.68%	0.00%	1.63%	0.65%	2.13%	1.59%	1.50%	0.56%	2.80%	0.00%	0.00%	0.65%					
23	. Харитонов Николай Михайлович	559	32	12	17	15	6	15	17	23	12	13	41	84	1	76	125	19	18	12	6	15					
		11.62%	15.53%	15.58%	11.18%	6.12%	3.64%	7.46%	6.94%	11.62%	10.08%	6.07%	33.33%	18.10%	2.13%	11.00%	11.70%	10.61%	16.82%	12.50%	10.17%	9.74%					
																											
24	Против всех	61	5	0	2	3	2	0	5	0	1	4	0	4	1	5	20	2	3	0	1	3					
		1.27%	2.43%	0.00%	1.32%	1.22%	1.21%	0.00%	2.04%	0.00%	0.84%	1.87%	0.00%	0.86%	2.13%	0.72%	1.87%	1.12%	2.80%	0.00%	1.69%	1.95%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
