7	Число избирательных бюллетеней в переносных ящиках для голосования	9757	11	28	26	19	32	59	49	30	12	21	22	28	20	23	19	24	34	32	43	32	37	94	56	30	27	40	24	24	5	87	55	73	127	100	58	37	29	20	24	6	12	84	45	49	22	22	30	23	57	67	40	5	1	10	35	40	34	41	20	40	17	24	39	65	51	50	26	46	20	28	24	20	11	57	60	45	53	41	67	30	87	140	56	50	31	24	34	24	53	21	45	30	32	38	44	52	59	34	34	151	132	81	145	59	32	38	90	66	44	60	69	57	44	57	73	52	20	36	41	19	94	37	227	146	65	37	67	33	21	36	52	68	58	56	24	30	60	23	32	35	38	44	44	28	33	33	63	55	29	45	47	9	28	50	48	69	25	28	70	24	38	69	39	28	65	327	38	43	36	42	5	32	420	121	489	0	465	140	14	47	0	0	0	62	0	4	0									
8	Число бюллетеней в стационарных ящиках для голосования	194339	1308	1266	1101	1259	1108	1392	1267	834	687	1161	1162	1359	1138	1213	1235	1225	1391	1507	1491	1541	1455	991	1100	985	1312	1347	1424	1233	442	877	1324	1386	1184	935	919	1338	870	1360	1297	304	939	1099	957	1079	1038	1112	1299	780	836	1007	791	885	878	1343	1295	1121	1357	1188	1047	1033	1037	1353	871	1305	1217	1015	1850	1029	1185	1114	1163	1332	1252	1340	964	1626	1453	683	795	273	837	936	979	1202	1435	1131	1283	1105	1134	1495	687	992	887	1055	928	1127	937	862	1141	1097	789	895	1179	1208	1375	985	885	1126	1041	1901	1129	1012	1149	1586	1102	1652	1408	1100	751	757	1050	306	996	1061	1124	957	1007	892	802	1207	1335	673	860	869	1267	790	1021	1007	1181	751	806	551	737	1586	1030	1321	1201	946	866	1007	2133	1064	1125	984	660	561	2150	1753	1395	1293	1044	1423	1276	1332	1320	1264	995	1122	1139	1123	536	1235	380	154	41	173	675	326	132	435	367	75	121	68	92	155	62									
9	Число недействительных избирательных бюллетеней	2438	20	9	8	17	15	24	12	13	9	10	8	11	15	15	11	13	12	9	23	17	22	12	13	12	15	13	13	8	4	9	21	17	16	5	3	10	13	27	25	4	20	18	5	6	9	16	15	4	11	6	11	14	16	29	15	11	18	18	10	12	9	14	13	13	11	16	37	14	9	12	11	11	15	15	10	21	12	8	7	0	9	17	15	12	15	10	14	10	12	21	13	13	12	16	11	14	13	13	12	10	14	8	3	11	54	13	7	5	7	22	12	9	11	24	12	19	21	14	19	5	13	4	9	13	14	9	12	12	5	20	20	6	17	5	12	5	7	8	40	11	10	13	8	19	17	19	4	12	8	25	20	14	14	14	9	11	71	40	17	20	5	28	16	6	10	23	6	19	15	15	3	13	13	7	7	3	10	3	3	7	7	1	1	1	1	1	0									
10	Число действительных избирательных бюллетеней	201658	1299	1285	1119	1261	1125	1427	1304	851	690	1172	1176	1376	1143	1221	1243	1236	1413	1530	1511	1556	1470	1073	1143	1003	1324	1374	1435	1249	443	955	1358	1442	1295	1030	974	1365	886	1353	1296	306	931	1165	997	1122	1051	1118	1314	799	882	1068	820	876	863	1324	1315	1150	1373	1211	1057	1061	1045	1363	897	1357	1257	1049	1839	1061	1196	1130	1176	1341	1248	1382	1014	1650	1494	716	855	303	915	1059	1020	1240	1451	1145	1303	1119	1175	1495	719	1009	907	1077	961	1165	983	883	1163	1238	907	968	1321	1256	1353	1010	968	1187	1078	1939	1186	1060	1182	1619	1163	1685	1407	1122	773	771	1131	339	1214	1194	1175	985	1062	913	818	1223	1367	735	901	920	1279	815	1074	1022	1173	775	834	582	773	1595	1046	1335	1260	989	887	1027	2160	1059	1139	1020	699	619	2104	1741	1448	1297	1077	1464	1299	1354	1375	1568	1027	1146	1160	1150	538	1254	787	268	523	170	1130	463	143	475	360	74	120	129	91	158	62									
11	Число полученных открепительных  удостоверений	8001	45	45	50	45	70	60	30	30	30	45	45	60	60	50	35	60	58	65	45	55	60	50	50	45	45	68	55	55	20	35	40	40	40	30	30	40	35	50	50	20	35	45	35	45	45	45	65	50	35	35	35	35	55	115	55	35	46	48	50	75	30	60	30	45	45	45	75	45	55	45	45	42	60	50	35	45	50	35	30	20	30	30	30	35	78	40	42	98	50	60	35	35	45	45	30	70	95	40	57	35	35	35	45	80	60	35	30	45	55	140	45	42	50	85	45	40	30	35	35	35	35	20	30	40	50	45	35	35	35	45	60	35	45	45	35	30	38	50	45	30	45	30	30	90	40	55	45	35	30	45	45	55	50	35	30	35	80	90	35	40	44	55	35	50	55	60	50	45	50	50	30	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	7239	45	40	47	39	54	55	29	30	19	40	39	54	58	45	35	53	52	60	41	53	53	40	47	45	45	68	55	55	11	31	37	38	32	30	23	40	20	40	42	6	35	38	28	45	36	43	57	38	35	30	28	30	49	102	55	32	44	48	50	75	26	57	23	39	45	45	68	43	51	39	39	41	54	41	25	44	47	32	21	6	22	30	17	28	78	40	38	98	44	59	28	33	37	37	21	64	95	40	51	31	26	29	44	79	55	31	23	43	52	135	43	42	48	83	41	40	29	35	34	25	32	6	16	36	50	45	30	30	27	44	53	35	41	45	30	19	36	44	38	26	40	21	23	89	35	55	39	31	19	44	43	55	46	35	30	21	75	89	35	34	44	48	29	50	55	60	48	38	45	45	17	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	7134	22	19	14	31	35	42	19	18	11	20	30	45	26	43	24	37	24	22	26	25	51	24	18	29	27	37	47	25	14	16	39	34	43	15	24	22	13	17	21	9	18	17	30	11	22	22	27	23	19	21	16	23	31	451	34	17	27	18	51	48	32	31	15	33	22	24	33	70	23	15	40	25	23	40	56	35	53	14	36	16	40	20	10	45	29	26	21	53	14	54	18	17	125	23	71	10	70	14	40	37	23	19	28	24	13	16	15	64	15	26	44	19	36	30	30	72	72	18	14	21	19	15	22	15	23	13	8	31	17	25	34	18	19	30	21	24	38	23	26	28	18	25	42	79	60	59	43	19	30	37	36	19	25	38	26	18	97	68	30	22	24	86	29	26	26	26	11	14	24	17	15	24	158	78	148	70	429	183	54	94	59	0	22	63	37	159	62									
14	Число неиспользованных открепительных удостоверений	762	0	5	3	6	16	5	1	0	11	5	6	6	2	5	0	7	6	5	4	2	7	10	3	0	0	0	0	0	9	4	3	2	8	0	7	0	15	10	8	14	0	7	7	0	9	2	8	12	0	5	7	5	6	13	0	3	2	0	0	0	4	3	7	6	0	0	7	2	4	6	6	1	6	9	10	1	3	3	9	14	8	0	13	7	0	0	4	0	6	1	7	2	8	8	9	6	0	0	6	4	9	6	1	1	5	4	7	2	3	5	2	0	2	2	4	0	1	0	1	10	3	14	14	4	0	0	5	5	8	1	7	0	4	0	5	11	2	6	7	4	5	9	7	1	5	0	6	4	11	1	2	0	4	0	0	14	5	1	0	6	0	7	6	0	0	0	2	7	5	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	249	2	1	2	0	0	1	0	0	3	0	3	4	6	4	1	2	2	3	4	2	6	3	1	2	5	3	5	2	0	0	1	1	0	3	2	3	0	0	2	0	2	3	1	0	3	1	0	0	0	2	0	0	2	0	2	1	0	1	0	0	1	2	0	0	2	0	1	2	1	1	1	3	2	2	0	3	0	0	1	0	0	0	0	0	2	3	1	2	1	1	0	1	1	0	2	2	10	0	2	5	2	0	0	1	1	3	1	3	3	2	1	1	1	1	2	2	1	1	1	0	2	0	0	1	0	0	1	0	0	0	2	0	1	0	1	3	1	1	0	0	1	1	0	7	1	0	2	2	3	2	0	0	0	0	2	1	8	0	3	3	2	1	0	1	2	3	0	1	6	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																																																																						
19	Жириновский Владимир Вольфович	13628	109	120	68	91	81	107	65	60	45	90	100	104	77	79	83	102	70	95	96	82	83	79	70	62	90	80	101	93	27	77	94	96	72	85	62	100	73	90	89	19	67	90	60	60	79	81	79	60	72	63	53	98	90	125	88	74	90	78	66	70	72	72	46	88	120	78	153	74	76	68	65	77	76	101	46	114	86	42	76	22	66	79	70	90	82	63	97	69	70	111	38	52	42	62	50	108	74	57	81	82	44	62	60	93	77	63	67	71	74	162	97	63	76	121	59	107	77	60	43	67	65	31	87	69	73	56	69	55	45	70	79	68	64	87	78	58	74	65	77	48	57	54	62	121	73	115	88	91	53	58	234	93	55	54	29	50	154	159	93	79	71	93	77	72	91	106	66	94	64	66	27	86	36	32	21	12	51	19	10	14	41	8	10	7	1	13	3									
		6.68%	8.26%	9.27%	6.03%	7.12%	7.11%	7.37%	4.94%	6.94%	6.44%	7.61%	8.45%	7.50%	6.65%	6.39%	6.62%	8.17%	4.91%	6.17%	6.26%	5.21%	5.56%	7.28%	6.06%	6.11%	6.72%	5.77%	6.98%	7.40%	6.04%	7.99%	6.82%	6.58%	5.49%	8.21%	6.35%	7.27%	8.12%	6.52%	6.74%	6.13%	7.05%	7.61%	5.99%	5.32%	7.45%	7.14%	5.94%	7.47%	8.06%	5.87%	6.38%	11.01%	10.24%	9.24%	6.62%	6.37%	6.47%	6.35%	6.19%	6.52%	6.83%	5.23%	5.05%	6.42%	9.46%	7.32%	8.16%	6.88%	6.31%	5.95%	5.48%	5.70%	6.02%	7.23%	4.49%	6.82%	5.71%	5.80%	8.82%	7.26%	7.14%	7.34%	6.76%	7.19%	5.59%	5.45%	7.37%	6.11%	5.90%	7.32%	5.19%	5.09%	4.57%	5.67%	5.14%	9.16%	7.43%	6.36%	6.89%	6.57%	4.78%	6.35%	4.53%	7.34%	5.47%	6.16%	6.87%	5.96%	6.82%	8.26%	8.10%	5.89%	6.37%	7.36%	5.02%	6.28%	5.39%	5.28%	5.43%	8.63%	5.68%	9.04%	7.11%	5.72%	6.14%	5.63%	6.42%	5.95%	5.47%	5.63%	5.70%	9.18%	6.97%	9.41%	6.04%	7.07%	6.85%	6.31%	6.35%	6.11%	6.75%	9.08%	7.94%	7.50%	6.87%	8.49%	6.96%	9.09%	5.92%	5.51%	10.73%	8.67%	4.77%	5.22%	4.10%	7.94%	7.08%	8.93%	6.35%	5.99%	6.56%	6.23%	5.86%	5.29%	6.57%	6.66%	6.39%	8.07%	5.45%	5.67%	4.99%	6.79%	4.50%	11.64%	3.96%	6.94%	4.47%	4.08%	6.85%	2.90%	11.17%	10.67%	8.26%	5.38%	1.09%	8.18%	4.84%									
20	Зюганов Геннадий Андреевич	49423	328	314	314	324	275	328	287	216	201	299	286	284	224	218	243	239	330	359	310	370	331	301	296	214	286	289	313	264	139	201	324	319	306	221	201	345	225	373	374	85	238	311	265	350	314	327	342	181	215	319	222	192	194	224	364	292	339	371	246	254	269	331	199	391	340	289	391	246	321	361	354	356	319	333	260	356	423	208	194	64	236	235	232	334	401	326	324	258	306	366	181	247	226	294	216	298	204	210	301	330	216	232	327	346	326	322	234	321	286	419	296	263	323	297	324	277	321	323	229	212	318	61	332	317	280	237	251	265	179	359	359	168	208	226	341	210	276	283	310	199	202	113	172	264	239	295	301	262	228	280	427	259	265	271	202	180	449	367	374	320	298	365	346	331	341	371	287	303	307	316	85	344	188	59	97	1	240	47	31	112	53	17	11	25	0	45	14									
		24.22%	24.87%	24.27%	27.86%	25.35%	24.12%	22.61%	21.81%	25.00%	28.76%	25.30%	24.16%	20.48%	19.34%	17.64%	19.38%	19.14%	23.16%	23.33%	20.21%	23.52%	22.18%	27.74%	25.61%	21.08%	21.36%	20.84%	21.62%	21.00%	31.10%	20.85%	23.50%	21.86%	23.34%	21.35%	20.57%	25.09%	25.03%	27.03%	28.31%	27.42%	25.03%	26.29%	26.45%	31.03%	29.62%	28.84%	25.73%	22.54%	24.08%	29.70%	26.71%	21.57%	22.07%	16.56%	27.37%	25.15%	24.37%	30.19%	23.06%	23.67%	25.52%	24.04%	21.87%	28.54%	26.81%	27.14%	20.84%	22.88%	26.64%	31.61%	29.82%	26.33%	25.26%	23.84%	25.39%	21.30%	28.09%	28.73%	22.51%	21.12%	25.54%	21.84%	22.42%	26.68%	27.35%	28.23%	24.60%	22.85%	25.78%	24.14%	24.73%	24.17%	24.59%	26.90%	22.22%	25.28%	20.48%	23.44%	25.62%	26.44%	23.45%	23.77%	24.70%	27.31%	23.17%	31.48%	24.00%	26.93%	26.36%	21.37%	24.71%	24.60%	27.07%	18.08%	27.57%	16.26%	22.48%	28.43%	28.91%	27.32%	27.80%	17.78%	27.15%	26.26%	23.55%	23.84%	23.37%	28.65%	21.75%	28.88%	25.88%	22.67%	22.66%	24.43%	26.41%	25.61%	25.53%	27.48%	25.56%	25.32%	23.93%	18.99%	22.02%	16.36%	22.48%	21.79%	23.81%	26.17%	25.47%	26.62%	19.59%	24.14%	22.98%	26.21%	28.53%	28.57%	20.64%	20.61%	25.53%	24.30%	27.54%	24.46%	26.31%	24.34%	24.62%	23.32%	27.78%	26.01%	26.13%	27.12%	15.71%	27.15%	23.50%	21.45%	18.30%	0.58%	21.05%	10.09%	21.23%	23.24%	14.44%	22.67%	9.09%	19.23%	0.00%	28.30%	22.58%									
21	Миронов Сергей Михайлович	10210	71	58	67	59	69	53	50	51	27	52	58	66	43	61	49	56	62	55	70	70	46	56	70	49	79	51	75	48	22	55	75	80	61	51	37	78	42	68	67	27	54	59	55	63	57	72	74	40	60	43	44	39	42	48	59	62	51	79	56	58	56	59	48	92	72	45	86	49	63	60	52	64	63	70	45	65	73	37	49	17	51	47	39	69	60	54	43	58	80	83	34	56	61	57	62	54	44	56	48	46	60	51	62	70	63	56	52	71	54	105	72	70	55	75	58	81	42	47	51	44	40	19	59	58	63	59	52	58	51	75	76	35	65	51	79	36	52	60	63	44	41	21	39	82	60	65	85	63	39	45	78	61	57	49	44	34	76	82	71	73	71	108	63	64	77	83	48	52	68	75	23	87	41	10	26	1	48	23	4	28	21	4	4	7	0	5	4									
		5.00%	5.38%	4.48%	5.94%	4.62%	6.05%	3.65%	3.80%	5.90%	3.86%	4.40%	4.90%	4.76%	3.71%	4.94%	3.91%	4.48%	4.35%	3.57%	4.56%	4.45%	3.08%	5.16%	6.06%	4.83%	5.90%	3.68%	5.18%	3.82%	4.92%	5.71%	5.44%	5.48%	4.65%	4.93%	3.79%	5.67%	4.67%	4.93%	5.07%	8.71%	5.68%	4.99%	5.49%	5.59%	5.38%	6.35%	5.57%	4.98%	6.72%	4.00%	5.29%	4.38%	4.78%	3.55%	4.44%	5.34%	3.67%	6.43%	5.25%	5.41%	5.31%	4.28%	5.27%	6.72%	5.68%	4.23%	4.58%	4.56%	5.23%	5.25%	4.38%	4.73%	4.99%	5.01%	4.39%	3.89%	4.85%	5.11%	5.68%	5.61%	5.52%	4.37%	3.77%	5.51%	4.09%	4.68%	3.26%	5.14%	6.74%	5.47%	4.64%	5.48%	6.64%	5.22%	6.38%	4.58%	4.42%	6.25%	4.09%	3.69%	6.51%	5.23%	4.68%	5.52%	4.48%	5.47%	5.33%	5.96%	4.98%	5.35%	6.01%	6.55%	4.61%	4.56%	4.94%	4.75%	2.94%	4.14%	6.44%	5.67%	3.50%	5.54%	4.82%	4.81%	5.30%	5.94%	4.84%	6.27%	6.20%	6.03%	5.48%	4.72%	7.08%	5.51%	6.12%	4.39%	4.81%	5.83%	5.19%	5.60%	4.86%	3.53%	4.99%	5.08%	5.64%	4.80%	6.72%	6.29%	4.36%	4.28%	3.58%	5.68%	4.94%	4.74%	6.21%	5.40%	3.49%	4.60%	4.85%	5.54%	6.56%	7.24%	4.79%	4.71%	5.56%	5.22%	4.65%	4.46%	5.79%	6.44%	4.25%	6.87%	5.13%	3.64%	4.91%	0.58%	4.21%	4.94%	2.74%	5.81%	5.72%	5.33%	3.31%	5.38%	0.00%	3.14%	6.45%									
22	Прохоров Михаил Дмитриевич	17041	96	105	78	113	100	115	158	55	42	89	110	144	89	129	120	131	156	148	188	133	121	88	87	118	160	153	135	144	40	83	135	107	90	55	93	108	67	84	112	22	65	96	80	68	64	76	110	60	52	76	56	57	65	94	100	91	110	97	80	84	88	128	128	74	77	72	269	109	98	94	83	114	104	145	96	226	126	66	48	12	58	68	68	115	140	121	160	77	72	83	66	104	83	71	77	87	71	55	86	72	56	63	125	89	139	81	55	82	69	175	72	84	79	207	101	130	129	92	60	89	86	34	70	58	58	74	59	71	98	90	118	65	111	61	120	61	94	104	116	77	57	34	53	105	59	82	70	57	106	97	171	74	113	86	72	44	335	251	119	166	88	114	113	127	115	128	86	86	101	71	80	95	44	14	36	9	65	44	10	34	11	1	19	12	0	8	4									
