Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N2"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876					
1	"Число избирателей, внесенных в список"	88223	2292	2295	2925	2794	2908	2887	2918	2482	2473	2808	1940	2184	2346	2745	2755	2953	2564	2553	2669	2758	2541	2612	2897	2423	2498	2435	2148	2253	2142	2286	2449	2714	2794	1879	1903					
2	Число полученных избирательных бюллетеней	83560	2165	2175	2775	2655	2755	2705	2770	2350	2350	2675	1830	2070	2235	2605	2605	2760	2435	2415	2515	2620	2410	2480	2735	2290	2375	2290	2040	2130	2020	2160	2330	2580	2655	1785	1815					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	50339	1246	1351	1699	1544	1681	1711	1740	1466	1300	1444	1095	1203	1376	1542	1591	1600	1400	1441	1495	1561	1509	1625	1639	1444	1429	1435	1188	1305	1268	1283	1423	1414	1691	1114	1086					
5	"Число избирательных бюллетеней, выданных вне помещения"	496	14	9	16	17	17	10	21	20	17	24	8	12	7	14	12	16	27	11	11	22	10	14	16	11	11	16	20	11	16	18	9	10	7	7	15					
6	Число погашенных избирательных бюллетеней	32725	905	815	1060	1094	1057	984	1009	864	1033	1207	727	855	852	1049	1002	1144	1008	963	1009	1037	891	841	1080	835	935	839	832	814	736	859	898	1156	957	664	714					
7	Число избирательных бюллетеней в переносных ящиках	496	14	9	16	17	17	10	21	20	17	24	8	12	7	14	12	16	27	11	11	22	10	14	16	11	11	16	20	11	16	18	9	10	7	7	15					
8	Число бюллетеней в стационарных ящиках для голосования	50207	1246	1351	1698	1544	1679	1610	1735	1466	1299	1444	1092	1203	1376	1542	1588	1600	1399	1440	1495	1561	1509	1625	1639	1443	1428	1435	1188	1305	1268	1280	1423	1413	1684	1114	1085					
9	Число недействительных избирательных бюллетеней	359	5	7	13	10	12	10	16	8	13	14	8	11	9	14	10	16	25	11	11	8	6	13	7	6	13	17	9	5	7	4	12	9	13	3	4					
10	Число действительных избирательных бюллетеней	50344	1255	1353	1701	1551	1684	1610	1740	1478	1303	1454	1092	1204	1374	1542	1590	1600	1401	1440	1495	1575	1513	1626	1648	1448	1426	1434	1199	1311	1277	1294	1420	1414	1678	1118	1096					
11	Число полученных открепительных  удостоверений	1890	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54					
12	Число выданных открепительных удостоверений	520	11	18	20	21	12	15	16	17	17	22	10	16	15	14	18	21	9	16	10	10	19	12	11	14	16	12	13	10	10	14	19	12	20	13	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	303	6	10	9	7	7	17	7	11	8	6	16	7	5	12	10	16	10	17	15	6	7	6	10	9	3	6	0	2	14	12	6	4	5	5	12					
14	Число неиспользованных открепительных удостоверений	1370	43	36	34	33	42	39	38	37	37	32	44	38	39	40	36	33	45	38	44	44	35	42	43	40	38	42	41	44	44	40	35	42	34	41	37					
15	"Число открепительных удостоверений, выданных в ТИК"	40	0	5	0	0	1	2	1	0	0	2	1	1	1	3	2	2	2	1	0	4	0	1	1	0	1	0	0	2	0	2	1	1	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	4917	110	147	183	173	171	178	153	161	114	146	85	112	109	149	119	165	87	148	153	151	145	172	141	104	157	134	144	118	160	117	144	131	177	128	131					
		9.70%	8.73%	10.81%	10.68%	11.08%	10.08%	10.99%	8.71%	10.83%	8.66%	9.95%	7.73%	9.22%	7.88%	9.58%	7.44%	10.21%	6.10%	10.20%	10.16%	9.54%	9.55%	10.49%	8.52%	7.15%	10.91%	9.24%	11.92%	8.97%	12.46%	9.01%	10.06%	9.21%	10.47%	11.42%	11.91%					
19	. Малышкин Олег Александрович	1041	27	25	22	25	42	37	43	30	25	35	24	24	35	40	38	32	22	30	25	33	44	36	29	29	39	27	26	22	25	27	34	27	31	17	14					
		2.05%	2.14%	1.84%	1.28%	1.60%	2.48%	2.28%	2.45%	2.02%	1.90%	2.38%	2.18%	1.98%	2.53%	2.57%	2.38%	1.98%	1.54%	2.07%	1.66%	2.08%	2.90%	2.20%	1.75%	1.99%	2.71%	1.86%	2.15%	1.67%	1.95%	2.08%	2.37%	1.90%	1.83%	1.52%	1.27%					
20	. Миронов Сергей Михайлович	545	12	13	12	19	14	25	15	8	20	14	11	19	18	14	18	13	21	11	11	14	22	28	30	11	21	11	15	16	18	18	9	16	10	11	7					
		1.07%	0.95%	0.96%	0.70%	1.22%	0.83%	1.54%	0.85%	0.54%	1.52%	0.95%	1.00%	1.56%	1.30%	0.90%	1.12%	0.80%	1.47%	0.76%	0.73%	0.88%	1.45%	1.71%	1.81%	0.76%	1.46%	0.76%	1.24%	1.22%	1.40%	1.39%	0.63%	1.12%	0.59%	0.98%	0.64%					
21	. Путин Владимир Владимирович	33882	857	903	1153	998	1101	1054	1134	994	846	976	754	827	944	1033	1124	1117	1021	994	1043	1067	1008	1073	1093	987	954	961	790	905	837	888	945	968	1089	721	723					
