Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Еловская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117					
1	"Число избирателей, внесенных в список"	8962	441	776	1591	1426	1414	266	373	331	389	193	194	320	479	208	215	226	120					
2	Число полученных избирательных бюллетеней	8830	450	750	1500	1400	1400	250	400	300	380	200	200	300	500	230	220	220	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5158	235	340	940	737	826	186	233	224	203	144	154	147	294	161	128	130	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	1550	86	239	95	210	122	48	66	76	131	19	27	110	119	39	57	70	36					
6	Число погашенных избирательных бюллетеней	2122	129	171	465	453	452	16	101	0	46	37	19	43	87	30	35	20	18					
7	Число избирательных бюллетеней в переносных ящиках	1550	86	239	95	210	122	48	66	76	131	19	27	110	119	39	57	70	36					
8	Число бюллетеней в стационарных ящиках для голосования	5157	235	340	940	737	826	186	233	224	203	144	154	147	294	161	127	130	76					
9	Число недействительных избирательных бюллетеней	76	2	6	28	6	12	4	1	2	2	3	0	2	1	1	3	3	0					
10	Число действительных избирательных бюллетеней	6631	319	573	1007	941	936	230	298	298	332	160	181	255	412	199	181	197	112					
11	Число полученных открепительных  удостоверений	246	10	10	30	30	38	15	10	15	10	0	20	5	30	5	8	5	5					
12	Число выданных открепительных удостоверений	185	4	8	21	25	37	13	5	15	7	0	8	2	27	0	8	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	3	3	13	3	17	5	3	5	5	4	0	2	5	2	2	3	2					
14	Число неиспользованных открепительных удостоверений	61	6	2	9	5	1	2	5	0	3	0	12	3	3	5	0	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	138	8	5	28	26	24	3	15	3	5	0	0	4	7	0	2	6	2					
		2.06%	2.49%	0.86%	2.71%	2.75%	2.53%	1.28%	5.02%	1.00%	1.50%	0.00%	0.00%	1.56%	1.69%	0.00%	1.09%	3.00%	1.79%					
19	. Малышкин Олег Александрович	261	9	24	36	45	35	18	16	11	9	0	3	7	14	5	13	9	7					
		3.89%	2.80%	4.15%	3.48%	4.75%	3.69%	7.69%	5.35%	3.67%	2.69%	0.00%	1.66%	2.72%	3.39%	2.50%	7.07%	4.50%	6.25%					
20	. Миронов Сергей Михайлович	63	4	6	9	8	4	2	2	4	2	3	3	4	5	2	2	3	0					
		0.94%	1.25%	1.04%	0.87%	0.84%	0.42%	0.85%	0.67%	1.33%	0.60%	1.84%	1.66%	1.56%	1.21%	1.00%	1.09%	1.50%	0.00%					
21	. Путин Владимир Владимирович	4808	232	398	709	637	649	176	184	236	265	141	155	181	324	173	101	156	91					
		71.69%	72.27%	68.74%	68.50%	67.27%	68.46%	75.21%	61.54%	78.67%	79.34%	86.50%	85.64%	70.43%	78.45%	86.50%	54.89%	78.00%	81.25%					
22	. Хакамада Ирина Муцуовна	197	3	16	32	44	36	5	16	6	4	1	3	10	10	0	4	3	4					
		2.94%	0.93%	2.76%	3.09%	4.65%	3.80%	2.14%	5.35%	2.00%	1.20%	0.61%	1.66%	3.89%	2.42%	0.00%	2.17%	1.50%	3.57%					
23	. Харитонов Николай Михайлович	1001	56	113	154	150	161	25	52	34	43	10	15	48	40	19	56	18	7					
		14.92%	17.45%	19.52%	14.88%	15.84%	16.98%	10.68%	17.39%	11.33%	12.87%	6.13%	8.29%	18.68%	9.69%	9.50%	30.43%	9.00%	6.25%					
																								
24	Против всех	163	7	11	39	31	27	1	13	4	4	5	2	1	12	0	3	2	1					
		2.43%	2.18%	1.90%	3.77%	3.27%	2.85%	0.43%	4.35%	1.33%	1.20%	3.07%	1.10%	0.39%	2.91%	0.00%	1.63%	1.00%	0.89%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
