Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Аргунская																
																
Итоги голосования 																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №419	УИК №427					
1	"Число избирателей, внесенных в список"	14924	2130	2120	2461	2099	1204	945	1659	952	1354					
2	Число полученных избирательных бюллетеней	13800	1950	1950	2300	1950	1150	900	1500	850	1250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13673	1950	1944	2289	1945	1130	845	1500	826	1244					
5	"Число избирательных бюллетеней, выданных вне помещения"	17	0	0	0	0	0	0	0	17	0					
6	Число погашенных избирательных бюллетеней	110	0	6	11	5	20	55	0	7	6					
7	Число избирательных бюллетеней в переносных ящиках	17	0	0	0	0	0	0	0	17	0					
8	Число бюллетеней в стационарных ящиках для голосования	13671	1950	1942	2289	1945	1130	845	1500	826	1244					
9	Число недействительных избирательных бюллетеней	65	0	20	4	0	0	12	0	19	10					
10	Число действительных избирательных бюллетеней	13623	1950	1922	2285	1945	1130	833	1500	824	1234					
11	Число полученных открепительных  удостоверений	100	11	12	11	11	11	11	11	11	11					
12	Число выданных открепительных удостоверений	1	0	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	0	1	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	99	11	12	11	10	11	11	11	11	11					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	114	0	29	5	2	45	5	15	0	13					
		0.83%	0.00%	1.49%	0.22%	0.10%	3.98%	0.59%	1.00%	0.00%	1.05%					
19	. Малышкин Олег Александрович	33	0	0	5	0	0	4	0	0	24					
		0.24%	0.00%	0.00%	0.22%	0.00%	0.00%	0.47%	0.00%	0.00%	1.93%					
20	. Миронов Сергей Михайлович	19	0	4	5	0	0	6	1	0	3					
		0.14%	0.00%	0.21%	0.22%	0.00%	0.00%	0.71%	0.07%	0.00%	0.24%					
21	. Путин Владимир Владимирович	12837	1877	1847	2077	1922	1020	740	1386	821	1147					
		93.78%	96.26%	95.11%	90.74%	98.82%	90.27%	87.57%	92.40%	97.39%	92.20%					
22	. Хакамада Ирина Муцуовна	333	65	17	91	15	42	33	47	3	20					
		2.43%	3.33%	0.88%	3.98%	0.77%	3.72%	3.91%	3.13%	0.36%	1.61%					
23	. Харитонов Николай Михайлович	201	8	16	77	3	18	26	47	0	6					
		1.47%	0.41%	0.82%	3.36%	0.15%	1.59%	3.08%	3.13%	0.00%	0.48%					
																
24	Против всех	86	0	9	25	3	5	19	4	0	21					
		0.63%	0.00%	0.46%	1.09%	0.15%	0.44%	2.25%	0.27%	0.00%	1.69%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
