Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Аликовская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89					
1	"Число избирателей, внесенных в список"	16008	1589	847	707	379	412	229	184	313	519	741	403	719	650	429	421	643	252	396	304	363	127	202	273	295	331	675	205	419	323	403	353	237	278	239	343	308	497					
2	Число полученных избирательных бюллетеней	14450	1420	760	625	340	365	205	165	300	465	670	355	650	590	395	380	590	225	360	270	325	115	190	250	275	295	615	185	375	300	355	320	210	250	215	310	280	455					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8751	848	386	353	204	218	180	122	205	266	382	193	354	298	224	208	350	133	201	157	229	90	120	175	194	191	391	116	202	182	244	188	152	194	152	223	174	252					
5	"Число избирательных бюллетеней, выданных вне помещения"	1442	35	40	29	45	44	10	16	36	57	26	31	49	88	66	50	51	51	68	47	31	10	31	35	26	44	41	14	34	49	54	55	14	20	12	38	32	63					
6	Число погашенных избирательных бюллетеней	4257	537	334	243	91	103	15	27	59	142	262	131	247	204	105	122	189	41	91	66	65	15	39	40	55	60	183	55	139	69	57	77	44	36	51	49	74	140					
7	Число избирательных бюллетеней в переносных ящиках	1442	35	40	29	45	44	10	16	36	57	26	31	49	88	66	50	51	51	68	47	31	10	31	35	26	44	41	14	34	49	54	55	14	20	12	38	32	63					
8	Число бюллетеней в стационарных ящиках для голосования	8749	848	386	353	203	218	179	122	205	266	382	193	354	298	224	208	350	133	201	157	229	90	120	175	194	191	391	116	202	182	244	188	152	194	152	223	174	252					
9	Число недействительных избирательных бюллетеней	227	10	4	7	6	7	2	3	4	8	4	1	15	10	4	8	2	6	19	2	6	3	3	8	5	11	16	4	1	1	8	12	6	5	3	7	3	3					
10	Число действительных избирательных бюллетеней	9964	873	422	375	242	255	187	135	237	315	404	223	388	376	286	250	399	178	250	202	254	97	148	202	215	224	416	126	235	230	290	231	160	209	161	254	203	312					
11	Число полученных открепительных  удостоверений	543	50	40	30	13	12	11	11	22	12	14	12	15	15	12	12	12	11	12	11	12	11	11	15	12	11	15	11	12	12	12	12	11	12	11	12	12	12					
12	Число выданных открепительных удостоверений	196	21	6	2	0	2	4	0	20	4	6	4	0	2	10	4	10	3	3	1	8	5	11	11	7	2	15	1	0	12	3	0	1	2	0	8	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	12	5	6	1	1	0	0	4	2	2	2	3	1	2	3	0	4	2	1	4	1	2	2	3	2	5	1	1	1	2	0	0	2	4	3	1	0					
14	Число неиспользованных открепительных удостоверений	347	29	34	28	13	10	7	11	2	8	8	8	15	13	2	8	2	8	9	10	4	6	0	4	5	9	0	10	12	0	9	12	10	10	11	4	10	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	190	18	10	15	6	1	1	3	5	3	4	5	9	9	3	3	5	2	3	2	3	0	2	4	4	1	13	1	4	4	1	7	1	5	1	8	1	23					
