Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Краснощековская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973					
1	"Число избирателей, внесенных в список"	17304	1742	1604	1519	507	567	289	1171	296	1172	1352	770	765	1150	799	1542	735	436	708	180					
2	Число полученных избирательных бюллетеней	16735	1600	1500	1450	500	550	285	1150	289	1150	1300	750	750	1100	800	1500	730	430	720	181					
3	"Число избирательных бюллетеней, выданных  досрочно"	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11294	1070	985	922	313	394	232	782	177	720	1020	581	393	755	595	1044	456	319	413	123					
5	"Число избирательных бюллетеней, выданных вне помещения"	1395	110	122	140	89	68	20	68	32	74	69	41	190	48	18	74	102	36	81	13					
6	Число погашенных избирательных бюллетеней	3998	420	393	388	98	88	33	300	80	356	211	128	167	297	187	382	172	75	178	45					
7	Число избирательных бюллетеней в переносных ящиках	1441	110	122	140	89	68	20	68	32	74	69	41	188	48	18	74	102	36	129	13					
8	Число бюллетеней в стационарных ящиках для голосования	11252	1065	985	920	313	394	232	758	177	720	1017	581	393	755	595	1036	456	319	413	123					
9	Число недействительных избирательных бюллетеней	128	12	9	7	2	9	5	4	2	6	9	0	9	10	1	22	13	4	4	0					
10	Число действительных избирательных бюллетеней	12565	1163	1098	1053	400	453	247	822	207	788	1077	622	572	793	612	1088	545	351	538	136					
11	Число полученных открепительных  удостоверений	194	21	15	15	7	7	5	10	5	15	15	8	8	15	8	15	8	5	7	5					
12	Число выданных открепительных удостоверений	51	15	8	6	0	0	0	5	0	1	5	1	1	1	2	4	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	6	5	0	0	1	0	2	1	1	1	1	2	1	0	1	3	3	1					
14	Число неиспользованных открепительных удостоверений	143	6	7	9	7	7	5	5	5	14	10	7	7	14	6	11	7	5	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	420	57	55	29	12	5	4	16	6	13	43	7	10	31	36	47	9	16	22	2					
		3.31%	4.85%	4.97%	2.74%	2.99%	1.08%	1.59%	1.94%	2.87%	1.64%	3.96%	1.13%	1.72%	3.86%	5.87%	4.23%	1.61%	4.51%	4.06%	1.47%					
19	. Малышкин Олег Александрович	373	17	56	35	27	13	8	2	8	23	23	16	29	26	19	30	15	12	13	1					
		2.94%	1.45%	5.06%	3.30%	6.72%	2.81%	3.17%	0.24%	3.83%	2.90%	2.12%	2.57%	4.99%	3.24%	3.10%	2.70%	2.69%	3.38%	2.40%	0.74%					
20	. Миронов Сергей Михайлович	86	11	9	6	3	6	1	6	0	5	5	6	3	4	1	4	10	1	5	0					
		0.68%	0.94%	0.81%	0.57%	0.75%	1.30%	0.40%	0.73%	0.00%	0.63%	0.46%	0.96%	0.52%	0.50%	0.16%	0.36%	1.79%	0.28%	0.92%	0.00%					
21	. Путин Владимир Владимирович	7916	836	765	751	263	299	147	592	139	412	546	305	336	451	361	619	392	206	379	117					
		62.37%	71.15%	69.11%	70.85%	65.42%	64.72%	58.33%	71.67%	66.51%	51.89%	50.28%	49.04%	57.83%	56.16%	58.89%	55.77%	70.25%	58.03%	69.93%	86.03%					
22	. Хакамада Ирина Муцуовна	163	10	11	16	4	6	5	8	5	10	20	8	9	7	4	22	7	8	2	1					
		1.28%	0.85%	0.99%	1.51%	1.00%	1.30%	1.98%	0.97%	2.39%	1.26%	1.84%	1.29%	1.55%	0.87%	0.65%	1.98%	1.25%	2.25%	0.37%	0.74%					
23	. Харитонов Николай Михайлович	3494	228	194	209	86	119	81	191	46	316	430	277	178	267	186	358	104	103	110	11					
		27.53%	19.40%	17.52%	19.72%	21.39%	25.76%	32.14%	23.12%	22.01%	39.80%	39.59%	44.53%	30.64%	33.25%	30.34%	32.25%	18.64%	29.01%	20.30%	8.09%					
																										
24	Против всех	113	4	8	7	5	5	1	7	3	9	10	3	7	7	5	8	8	5	7	4					
		0.89%	0.34%	0.72%	0.66%	1.24%	1.08%	0.40%	0.85%	1.44%	1.13%	0.92%	0.48%	1.20%	0.87%	0.82%	0.72%	1.43%	1.41%	1.29%	2.94%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
