Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Парфинская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, внесенных в список"	12061	1087	1283	1215	1229	1140	79	118	295	773	155	749	739	299	250	189	457	1069	935					
2	Число полученных избирательных бюллетеней	12095	1094	1290	1212	1226	1134	78	117	296	768	155	748	736	300	260	193	464	1081	943					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6403	505	588	617	634	596	53	81	214	471	97	383	383	203	178	133	312	496	459					
5	"Число избирательных бюллетеней, выданных вне помещения"	632	41	41	11	20	20	23	28	58	44	31	39	45	34	31	19	50	47	50					
6	Число погашенных избирательных бюллетеней	5060	548	661	584	572	518	2	8	24	253	27	326	308	63	51	41	102	538	434					
7	Число избирательных бюллетеней в переносных ящиках	632	41	41	11	20	20	23	28	58	44	31	39	45	34	31	19	50	47	50					
8	Число бюллетеней в стационарных ящиках для голосования	6402	504	588	617	634	596	53	81	214	471	97	383	383	203	178	133	312	496	459					
9	Число недействительных избирательных бюллетеней	58	4	2	6	1	1	0	0	2	5	0	7	3	6	5	1	4	7	4					
10	Число действительных избирательных бюллетеней	6976	541	627	622	653	615	76	109	270	510	128	415	425	231	204	151	358	536	505					
11	Число полученных открепительных  удостоверений	185	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10					
12	Число выданных открепительных удостоверений	72	1	2	5	2	3	2	4	5	1	0	1	3	2	8	0	8	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	1	4	0	1	2	4	3	2	4	0	0	0	3	0	0	3	1	2					
14	Число неиспользованных открепительных удостоверений	113	9	8	5	8	7	8	6	5	9	10	9	7	8	2	10	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	166	18	11	20	12	23	2	1	2	12	4	7	3	0	9	3	11	16	12					
		2.36%	3.30%	1.75%	3.18%	1.83%	3.73%	2.63%	0.92%	0.74%	2.33%	3.12%	1.66%	0.70%	0.00%	4.31%	1.97%	3.04%	2.95%	2.36%					
19	. Малышкин Олег Александрович	185	16	14	11	25	15	1	4	7	13	0	16	17	4	5	3	10	16	8					
		2.63%	2.94%	2.23%	1.75%	3.82%	2.44%	1.32%	3.67%	2.57%	2.52%	0.00%	3.79%	3.97%	1.69%	2.39%	1.97%	2.76%	2.95%	1.57%					
20	. Миронов Сергей Михайлович	68	2	7	10	6	7	1	0	3	4	0	4	5	3	1	1	5	3	6					
		0.97%	0.37%	1.11%	1.59%	0.92%	1.14%	1.32%	0.00%	1.10%	0.78%	0.00%	0.95%	1.17%	1.27%	0.48%	0.66%	1.38%	0.55%	1.18%					
21	. Путин Владимир Владимирович	5191	405	465	466	488	436	52	84	230	392	96	320	326	182	139	114	228	421	347					
		73.80%	74.31%	73.93%	74.20%	74.62%	70.78%	68.42%	77.06%	84.56%	76.12%	75.00%	75.83%	76.17%	76.79%	66.51%	75.00%	62.98%	77.53%	68.17%					
22	. Хакамада Ирина Муцуовна	149	13	7	16	19	18	2	6	0	6	4	9	8	5	7	3	8	9	9					
		2.12%	2.39%	1.11%	2.55%	2.91%	2.92%	2.63%	5.50%	0.00%	1.17%	3.12%	2.13%	1.87%	2.11%	3.35%	1.97%	2.21%	1.66%	1.77%					
23	. Харитонов Николай Михайлович	1057	82	103	81	84	92	16	12	26	73	24	53	58	30	37	24	88	58	116					
		15.03%	15.05%	16.38%	12.90%	12.84%	14.94%	21.05%	11.01%	9.56%	14.17%	18.75%	12.56%	13.55%	12.66%	17.70%	15.79%	24.31%	10.68%	22.79%					
																									
24	Против всех	160	5	20	18	19	24	2	2	2	10	0	6	8	7	6	3	8	13	7					
		2.27%	0.92%	3.18%	2.87%	2.91%	3.90%	2.63%	1.83%	0.74%	1.94%	0.00%	1.42%	1.87%	2.95%	2.87%	1.97%	2.21%	2.39%	1.38%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
