Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Пыталовская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в список"	11353	875	2030	1816	820	403	273	423	302	496	206	430	306	829	716	414	311	428	275					
2	Число полученных избирательных бюллетеней	11110	870	2000	1770	800	400	250	420	280	480	200	400	300	810	690	420	300	440	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5592	487	1138	946	368	246	146	211	76	253	56	117	125	531	238	223	154	189	88					
5	"Число избирательных бюллетеней, выданных вне помещения"	1755	16	80	89	60	31	73	63	114	176	91	163	83	49	258	82	96	103	128					
6	Число погашенных избирательных бюллетеней	3763	367	782	735	372	123	31	146	90	51	53	120	92	230	194	115	50	148	64					
7	Число избирательных бюллетеней в переносных ящиках	1755	16	80	89	60	31	73	63	114	176	91	163	83	49	258	82	96	103	128					
8	Число бюллетеней в стационарных ящиках для голосования	5591	487	1138	946	367	246	146	211	76	253	56	117	125	531	238	223	154	189	88					
9	Число недействительных избирательных бюллетеней	38	0	9	7	4	4	1	1	2	2	1	0	0	0	0	1	1	4	1					
10	Число действительных избирательных бюллетеней	7308	503	1209	1028	423	273	218	273	188	427	146	280	208	580	496	304	249	288	215					
11	Число полученных открепительных  удостоверений	170	10	25	15	10	10	10	5	10	10	5	5	5	10	10	10	5	10	5					
12	Число выданных открепительных удостоверений	81	7	17	8	2	5	0	3	6	1	0	2	2	10	3	4	3	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	9	5	12	0	0	0	2	1	3	0	0	3	7	4	2	2	3	2					
14	Число неиспользованных открепительных удостоверений	89	3	8	7	8	5	10	2	4	9	5	3	3	0	7	6	2	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	15	2	4	3	1	0	0	1	2	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	167	13	35	26	6	8	5	5	9	5	2	4	7	13	8	12	0	6	3					
		2.27%	2.58%	2.87%	2.51%	1.41%	2.89%	2.28%	1.82%	4.74%	1.17%	1.36%	1.43%	3.37%	2.24%	1.61%	3.93%	0.00%	2.05%	1.39%					
19	. Малышкин Олег Александрович	175	13	20	21	11	9	4	12	6	8	5	7	4	13	11	15	3	5	8					
		2.38%	2.58%	1.64%	2.03%	2.58%	3.25%	1.83%	4.38%	3.16%	1.86%	3.40%	2.50%	1.92%	2.24%	2.22%	4.92%	1.20%	1.71%	3.70%					
20	. Миронов Сергей Михайлович	90	6	20	12	6	4	4	6	3	3	2	2	2	3	7	3	1	3	3					
		1.23%	1.19%	1.64%	1.16%	1.41%	1.44%	1.83%	2.19%	1.58%	0.70%	1.36%	0.71%	0.96%	0.52%	1.41%	0.98%	0.40%	1.03%	1.39%					
21	. Путин Владимир Владимирович	5329	373	872	689	317	213	154	204	138	350	107	230	166	464	364	202	177	169	140					
		72.54%	74.16%	71.59%	66.57%	74.24%	76.90%	70.32%	74.45%	72.63%	81.59%	72.79%	82.14%	79.81%	80.00%	73.39%	66.23%	70.80%	57.88%	64.81%					
22	. Хакамада Ирина Муцуовна	168	19	36	38	7	7	6	1	3	2	1	1	8	6	10	8	7	5	3					
		2.29%	3.78%	2.96%	3.67%	1.64%	2.53%	2.74%	0.36%	1.58%	0.47%	0.68%	0.36%	3.85%	1.03%	2.02%	2.62%	2.80%	1.71%	1.39%					
23	. Харитонов Николай Михайлович	1170	54	183	202	61	26	40	36	25	54	25	33	19	67	87	53	56	93	56					
		15.93%	10.74%	15.02%	19.52%	14.29%	9.39%	18.26%	13.14%	13.16%	12.59%	17.01%	11.79%	9.13%	11.55%	17.54%	17.38%	22.40%	31.85%	25.93%					
																									
24	Против всех	209	25	43	40	15	6	5	9	4	5	4	3	2	14	9	11	5	7	2					
		2.85%	4.97%	3.53%	3.86%	3.51%	2.17%	2.28%	3.28%	2.11%	1.17%	2.72%	1.07%	0.96%	2.41%	1.81%	3.61%	2.00%	2.40%	0.93%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
