Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Уйский район																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436					
1	"Число избирателей, внесенных в список"	19801	611	183	488	138	724	909	222	182	604	1339	260	208	281	227	55	729	524	153	143	675	1335	287	341	388	255	192	251	314	168	260	2968	2497	184	274	372	138	371	296	255					
2	Число полученных избирательных бюллетеней	19020	650	200	500	130	680	900	180	200	580	1400	240	220	300	230	60	670	470	160	160	660	1300	270	320	360	250	200	250	270	200	260	2700	2250	200	250	360	130	350	280	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13935	468	142	385	97	442	632	180	158	452	830	199	176	219	157	51	465	382	117	128	501	936	191	270	280	212	171	228	230	145	213	1960	1459	174	180	268	99	262	272	204					
5	"Число избирательных бюллетеней, выданных вне помещения"	900	49	27	14	15	60	10	0	3	39	70	7	0	0	23	0	67	22	0	3	53	74	14	10	36	0	0	8	3	3	7	55	158	0	9	25	15	21	0	0					
6	Число погашенных избирательных бюллетеней	4185	133	31	101	18	178	258	0	39	89	500	34	44	81	50	9	138	66	43	29	106	290	65	40	44	38	29	14	37	52	40	685	633	26	61	67	16	67	8	26					
7	Число избирательных бюллетеней в переносных ящиках	900	49	27	14	15	60	10	0	3	39	70	7	0	0	23	0	67	22	0	3	53	74	14	10	36	0	0	8	3	3	7	55	158	0	9	25	15	21	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13933	468	142	385	97	442	632	180	158	452	829	199	176	219	157	51	465	382	117	128	501	936	191	270	280	212	171	228	230	145	213	1960	1459	174	180	267	99	262	272	204					
9	Число недействительных избирательных бюллетеней	143	3	0	6	4	6	4	0	1	8	9	1	2	2	1	0	5	5	2	3	6	9	4	4	6	0	3	1	2	2	2	10	17	1	2	4	3	1	3	1					
10	Число действительных избирательных бюллетеней	14690	514	169	393	108	496	638	180	160	483	890	205	174	217	179	51	527	399	115	128	548	1001	201	276	310	212	168	235	231	146	218	2005	1600	173	187	288	111	282	269	203					
