Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Завьяловская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759					
1	"Число избирателей, внесенных в список"	40544	1176	226	83	88	92	242	378	2170	380	931	130	91	510	1281	1906	1123	1276	728	1723	328	1062	1045	229	208	167	176	718	200	608	614	197	2462	1774	501	2594	803	1238	273	146	155	740	285	1021	1745	543	737	43	64	673	765	502	256	656	319	386	316	134	1214	113					
2	Число полученных избирательных бюллетеней	37197	1050	200	80	80	90	220	340	2000	350	840	120	95	450	1150	1720	1000	1150	650	1600	300	1000	1000	210	200	150	160	700	200	550	550	170	2200	1650	500	2500	700	1100	250	130	150	660	260	850	1600	500	650	48	64	660	750	440	240	600	270	350	280	120	1100	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28581	785	174	72	68	69	181	271	1723	237	514	86	54	338	893	1397	803	842	466	1390	253	695	721	174	150	130	121	544	152	443	452	136	1920	1346	329	1474	515	812	176	80	66	496	193	597	1209	445	433	40	58	561	637	408	195	517	225	232	215	83	880	105					
5	"Число избирательных бюллетеней, выданных вне помещения"	1405	32	7	0	8	11	12	11	33	36	113	10	20	21	4	18	23	10	6	16	13	69	15	0	8	6	3	36	9	41	6	1	49	33	19	71	45	40	14	18	41	31	33	88	28	11	24	2	5	39	34	24	9	19	18	18	13	12	69	0					
6	Число погашенных избирательных бюллетеней	7211	233	19	8	4	10	27	58	244	77	213	24	21	91	253	305	174	298	178	194	34	236	264	36	42	14	36	120	39	66	92	33	231	271	152	955	140	248	60	32	43	133	34	165	363	44	193	6	1	60	79	8	36	64	27	100	52	25	151	95					
7	Число избирательных бюллетеней в переносных ящиках	1404	32	7	0	8	11	12	11	33	36	112	10	20	21	4	18	23	10	6	16	13	69	15	0	8	6	3	36	9	41	6	1	49	33	19	71	45	40	14	18	41	31	33	88	28	11	24	2	5	39	34	24	9	19	18	18	13	12	69	0					
8	Число бюллетеней в стационарных ящиках для голосования	28573	785	174	72	68	69	181	271	1722	237	514	86	54	338	893	1396	803	842	466	1390	253	695	721	174	150	130	121	544	152	443	452	136	1920	1343	329	1473	515	812	176	80	66	496	193	597	1209	443	433	40	58	561	637	408	195	517	225	232	215	83	880	105					
9	Число недействительных избирательных бюллетеней	548	6	3	0	0	1	2	7	19	6	7	3	1	8	12	11	22	2	17	22	4	5	9	5	119	6	0	7	7	15	5	1	23	23	7	10	7	11	1	0	2	11	3	11	17	10	10	1	0	12	10	8	5	8	6	3	2	0	14	1					
10	Число действительных избирательных бюллетеней	29429	811	178	72	76	79	191	275	1736	267	619	93	73	351	885	1403	804	850	455	1384	262	759	727	169	39	130	124	573	154	469	453	136	1946	1353	341	1534	553	841	189	98	105	516	223	674	1220	444	447	41	63	588	661	424	199	528	237	247	226	95	935	104					
11	Число полученных открепительных  удостоверений	629	15	5	5	0	5	5	5	25	4	17	4	2	2	17	26	13	10	2	20	5	23	10	5	5	5	2	37	8	10	10	5	45	45	5	55	5	11	4	5	5	10	5	10	10	15	5	9	1	14	15	5	3	10	5	5	5	5	10	0					
12	Число выданных открепительных удостоверений	521	13	0	1	0	4	0	3	25	3	17	4	0	2	12	25	13	7	2	17	3	21	8	1	2	0	0	37	7	10	10	4	45	45	5	43	1	11	3	2	3	10	5	4	10	15	5	9	0	14	14	1	0	10	1	3	3	2	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	580	10	2	0	1	1	3	3	18	8	12	6	1	4	8	24	10	5	4	24	11	10	6	2	2	4	0	9	3	6	19	8	115	19	2	7	48	15	2	3	5	12	0	18	11	3	12	6	6	7	11	6	8	9	10	2	3	4	4	8					
14	Число неиспользованных открепительных удостоверений	108	2	5	4	0	1	5	2	0	1	0	0	2	0	5	1	0	3	0	3	2	2	2	4	3	5	2	0	1	0	0	1	0	0	0	12	4	0	1	3	2	0	0	6	0	0	0	0	1	0	1	4	3	0	4	2	2	3	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
