Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Коммунаровская городская													
													
Итоги голосования 													
													
		Сумма	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441					
1	"Число избирателей, внесенных в список"	14630	2875	2606	2241	2476	2496	1936					
2	Число полученных избирательных бюллетеней	14100	2600	2600	2200	2400	2400	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7511	1609	1379	1220	1238	1260	805					
5	"Число избирательных бюллетеней, выданных вне помещения"	156	43	7	35	13	20	38					
6	Число погашенных избирательных бюллетеней	6431	948	1214	945	1149	1120	1055					
7	Число избирательных бюллетеней в переносных ящиках	156	43	7	35	13	20	38					
8	Число бюллетеней в стационарных ящиках для голосования	7482	1609	1379	1191	1238	1260	805					
9	Число недействительных избирательных бюллетеней	32	7	7	6	1	2	9					
10	Число действительных избирательных бюллетеней	7606	1645	1379	1220	1250	1278	834					
11	Число полученных открепительных  удостоверений	210	35	35	35	35	35	35					
12	Число выданных открепительных удостоверений	70	12	12	21	5	11	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	16	8	10	5	8	6					
14	Число неиспользованных открепительных удостоверений	140	23	23	14	30	24	26					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	2					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	237	59	45	30	42	33	28					
		3.10%	3.57%	3.25%	2.45%	3.36%	2.58%	3.32%					
19	. Малышкин Олег Александрович	91	19	21	14	13	13	11					
		1.19%	1.15%	1.52%	1.14%	1.04%	1.02%	1.30%					
20	. Миронов Сергей Михайлович	89	19	14	14	12	17	13					
		1.17%	1.15%	1.01%	1.14%	0.96%	1.33%	1.54%					
21	. Путин Владимир Владимирович	6083	1314	1107	982	1015	1000	665					
		79.64%	79.54%	79.87%	80.10%	81.14%	78.12%	78.88%					
22	. Хакамада Ирина Муцуовна	327	79	59	41	57	67	24					
		4.28%	4.78%	4.26%	3.34%	4.56%	5.23%	2.85%					
23	. Харитонов Николай Михайлович	517	95	82	100	65	102	73					
		6.77%	5.75%	5.92%	8.16%	5.20%	7.97%	8.66%					
													
24	Против всех	262	60	51	39	46	46	20					
		3.43%	3.63%	3.68%	3.18%	3.68%	3.59%	2.37%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
