Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Краснохолмская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586					
1	"Число избирателей, внесенных в список"	11610	417	1861	1825	1676	723	172	390	228	487	282	432	329	323	120	203	139	281	357	342	183	325	515					
2	Число полученных избирательных бюллетеней	11301	400	1800	1800	1600	700	172	390	230	480	270	420	320	310	122	200	142	270	350	320	185	320	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4812	110	799	869	788	298	109	78	76	232	108	150	179	97	56	85	63	120	148	113	47	139	148					
5	"Число избирательных бюллетеней, выданных вне помещения"	2289	222	68	35	59	135	46	178	110	145	107	104	11	144	23	65	59	108	109	104	106	127	224					
6	Число погашенных избирательных бюллетеней	4200	68	933	896	753	267	17	134	44	103	55	166	130	69	43	50	20	42	93	103	32	54	128					
7	Число избирательных бюллетеней в переносных ящиках	2289	222	68	35	59	135	46	178	110	145	107	104	11	144	23	65	59	108	109	104	106	127	224					
8	Число бюллетеней в стационарных ящиках для голосования	4812	110	799	869	788	298	109	78	76	232	108	150	179	97	56	85	63	120	148	113	47	139	148					
9	Число недействительных избирательных бюллетеней	22	0	9	4	4	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	7079	332	858	900	843	432	155	256	186	376	215	254	188	241	79	150	122	228	257	216	153	266	372					
11	Число полученных открепительных  удостоверений	270	10	30	30	30	10	10	10	10	10	10	10	10	10	5	10	5	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	42	1	10	11	10	1	0	0	2	1	0	0	1	0	0	0	0	0	2	1	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	9	6	8	2	0	1	1	1	2	1	1	1	1	2	0	0	4	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	228	9	20	19	20	9	10	10	8	9	10	10	9	10	5	10	5	10	8	9	10	9	9					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	2	2	2	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	190	2	28	34	32	16	4	2	0	4	8	4	2	3	8	5	2	9	6	9	4	7	1					
		2.68%	0.60%	3.23%	3.76%	3.78%	3.70%	2.58%	0.78%	0.00%	1.06%	3.72%	1.57%	1.05%	1.24%	10.13%	3.33%	1.64%	3.95%	2.33%	4.15%	2.61%	2.63%	0.27%					
19	. Малышкин Олег Александрович	167	5	28	18	23	17	2	7	5	10	1	1	8	6	0	4	2	9	3	3	3	4	8					
		2.35%	1.51%	3.23%	1.99%	2.72%	3.93%	1.29%	2.73%	2.69%	2.65%	0.47%	0.39%	4.21%	2.49%	0.00%	2.67%	1.64%	3.95%	1.17%	1.38%	1.96%	1.50%	2.15%					
20	. Миронов Сергей Михайлович	47	3	6	7	4	0	2	2	2	2	1	2	1	0	1	3	2	1	2	3	1	1	1					
		0.66%	0.90%	0.69%	0.77%	0.47%	0.00%	1.29%	0.78%	1.08%	0.53%	0.47%	0.79%	0.53%	0.00%	1.27%	2.00%	1.64%	0.44%	0.78%	1.38%	0.65%	0.38%	0.27%					
21	. Путин Владимир Владимирович	4806	251	593	624	575	324	94	165	105	302	117	165	122	157	50	92	62	149	149	147	111	197	255					
		67.68%	75.60%	68.40%	69.03%	67.89%	74.83%	60.65%	64.45%	56.45%	80.11%	54.42%	64.96%	64.21%	65.15%	63.29%	61.33%	50.82%	65.35%	57.98%	67.74%	72.55%	74.06%	68.55%					
22	. Хакамада Ирина Муцуовна	104	2	9	15	11	6	4	10	6	9	5	2	2	2	1	5	1	3	2	4	0	2	3					
		1.46%	0.60%	1.04%	1.66%	1.30%	1.39%	2.58%	3.91%	3.23%	2.39%	2.33%	0.79%	1.05%	0.83%	1.27%	3.33%	0.82%	1.32%	0.78%	1.84%	0.00%	0.75%	0.81%					
23	. Харитонов Николай Михайлович	1615	66	176	180	169	63	47	67	63	46	80	78	44	68	19	39	46	52	87	47	33	50	95					
		22.74%	19.88%	20.30%	19.91%	19.95%	14.55%	30.32%	26.17%	33.87%	12.20%	37.21%	30.71%	23.16%	28.22%	24.05%	26.00%	37.70%	22.81%	33.85%	21.66%	21.57%	18.80%	25.54%					
																													
24	Против всех	150	3	18	22	29	6	2	3	5	3	3	2	9	5	0	2	7	5	8	3	1	5	9					
		2.11%	0.90%	2.08%	2.43%	3.42%	1.39%	1.29%	1.17%	2.69%	0.80%	1.40%	0.79%	4.74%	2.07%	0.00%	1.33%	5.74%	2.19%	3.11%	1.38%	0.65%	1.88%	2.42%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
