Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Ольховатская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522					
1	"Число избирателей, внесенных в список"	20156	1717	1994	1462	1479	1334	1771	1280	1429	604	371	509	942	586	384	609	775	705	299	750	147	598	411					
2	Число полученных избирательных бюллетеней	19085	1650	1900	1400	1400	1250	1700	1200	1300	600	350	450	900	550	375	600	740	650	270	710	150	550	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11214	1007	1057	819	761	610	974	694	744	385	146	342	431	356	235	318	436	417	157	528	109	398	290					
5	"Число избирательных бюллетеней, выданных вне помещения"	3185	115	168	96	111	151	125	105	221	132	147	98	189	103	140	239	298	216	113	153	32	134	99					
6	Число погашенных избирательных бюллетеней	4686	528	675	485	528	489	601	401	335	83	57	10	280	91	0	43	6	17	0	29	9	18	1					
7	Число избирательных бюллетеней в переносных ящиках	3185	115	168	96	111	151	125	105	221	132	147	98	189	103	140	239	298	216	113	153	32	134	99					
8	Число бюллетеней в стационарных ящиках для голосования	11210	1005	1057	819	761	610	974	694	742	385	146	342	431	356	235	318	436	417	157	528	109	398	290					
9	Число недействительных избирательных бюллетеней	153	14	20	15	7	15	6	11	12	4	6	3	3	1	0	6	9	5	0	5	2	6	3					
10	Число действительных избирательных бюллетеней	14242	1106	1205	900	865	746	1093	788	951	513	287	437	617	458	375	551	725	628	270	676	139	526	386					
11	Число полученных открепительных  удостоверений	135	15	16	6	4	5	8	5	6	13	4	9	4	4	3	4	4	4	2	9	2	4	4					
12	Число выданных открепительных удостоверений	76	11	13	5	2	1	5	2	0	13	0	4	2	1	0	3	2	2	0	8	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	9	4	5	1	1	1	2	3	2	1	0	1	3	3	1	0	2	2	1	3	1	2					
14	Число неиспользованных открепительных удостоверений	59	4	3	1	2	4	3	3	6	0	4	5	2	3	3	1	2	2	2	1	2	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	364	35	39	34	30	22	34	18	30	10	17	8	14	9	7	5	12	10	9	6	1	8	6					
		2.53%	3.12%	3.18%	3.72%	3.44%	2.89%	3.09%	2.25%	3.12%	1.93%	5.80%	1.82%	2.26%	1.96%	1.87%	0.90%	1.63%	1.58%	3.33%	0.88%	0.71%	1.50%	1.54%					
19	. Малышкин Олег Александрович	471	31	44	21	46	28	34	54	35	12	10	10	12	15	18	10	17	18	8	9	3	27	9					
		3.27%	2.77%	3.59%	2.30%	5.28%	3.68%	3.09%	6.76%	3.63%	2.32%	3.41%	2.27%	1.94%	3.27%	4.80%	1.80%	2.32%	2.84%	2.96%	1.32%	2.13%	5.08%	2.31%					
20	. Миронов Сергей Михайлович	117	12	8	10	15	6	13	5	9	3	5	1	2	1	2	3	7	4	2	5	1	1	2					
		0.81%	1.07%	0.65%	1.09%	1.72%	0.79%	1.18%	0.63%	0.93%	0.58%	1.71%	0.23%	0.32%	0.22%	0.53%	0.54%	0.95%	0.63%	0.74%	0.73%	0.71%	0.19%	0.51%					
21	. Путин Владимир Владимирович	9300	714	732	569	507	476	718	509	646	348	198	300	411	289	280	358	380	404	167	522	106	358	308					
		64.61%	63.75%	59.76%	62.19%	58.14%	62.55%	65.33%	63.70%	67.08%	67.31%	67.58%	68.18%	66.29%	62.96%	74.67%	64.27%	51.77%	63.82%	61.85%	76.65%	75.18%	67.29%	79.18%					
22	. Хакамада Ирина Муцуовна	209	22	13	16	6	11	26	10	20	10	3	4	3	3	2	7	12	17	1	6	5	9	3					
		1.45%	1.96%	1.06%	1.75%	0.69%	1.45%	2.37%	1.25%	2.08%	1.93%	1.02%	0.91%	0.48%	0.65%	0.53%	1.26%	1.63%	2.69%	0.37%	0.88%	3.55%	1.69%	0.77%					
23	. Харитонов Николай Михайлович	3437	266	327	227	236	182	233	167	190	110	43	111	161	133	61	150	287	167	81	119	20	111	55					
		23.88%	23.75%	26.69%	24.81%	27.06%	23.92%	21.20%	20.90%	19.73%	21.28%	14.68%	25.23%	25.97%	28.98%	16.27%	26.93%	39.10%	26.38%	30.00%	17.47%	14.18%	20.86%	14.14%					
																													
24	Против всех	344	26	42	23	25	21	35	25	21	20	11	3	14	8	5	18	10	8	2	9	3	12	3					
		2.39%	2.32%	3.43%	2.51%	2.87%	2.76%	3.18%	3.13%	2.18%	3.87%	3.75%	0.68%	2.26%	1.74%	1.33%	3.23%	1.36%	1.26%	0.74%	1.32%	2.13%	2.26%	0.77%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
