Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Брюховецкая																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741					
1	"Число избирателей, внесенных в список"	43069	1997	2416	2658	2293	2322	977	1475	1416	1588	1104	223	131	86	659	215	2040	2121	277	682	1534	330	345	359	278	1544	1516	1547	1819	1167	523	310	270	885	318	1404	1513	253	180	506	551	1237					
2	Число полученных избирательных бюллетеней	44180	2020	2370	2670	2340	2500	990	1540	1440	1560	1100	210	120	90	670	215	2050	2200	280	710	1600	340	350	360	280	1580	1740	1680	1920	1180	520	315	270	950	340	1380	1520	260	180	560	580	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25516	1058	1316	1334	1128	1401	558	803	824	932	330	150	100	63	333	131	1181	1411	207	527	955	249	264	272	204	1043	1014	972	1071	616	250	220	140	578	169	859	1050	160	144	375	390	734					
5	"Число избирательных бюллетеней, выданных вне помещения"	3882	127	273	134	183	118	59	72	72	60	460	11	0	20	90	31	57	81	44	46	132	11	11	8	15	117	103	136	140	241	134	76	97	215	113	92	66	32	28	48	75	54					
6	Число погашенных избирательных бюллетеней	14782	835	781	1202	1029	981	373	665	544	568	310	49	20	7	247	53	812	708	29	137	513	80	75	80	61	420	623	572	709	323	136	19	33	157	58	429	404	68	8	137	115	412					
7	Число избирательных бюллетеней в переносных ящиках	3882	127	273	134	183	118	59	72	72	60	460	11	0	20	90	31	57	81	44	46	132	11	11	8	15	117	103	136	140	241	134	76	97	215	113	92	66	32	28	48	75	54					
8	Число бюллетеней в стационарных ящиках для голосования	25511	1057	1316	1333	1128	1401	558	803	824	932	330	150	100	63	333	131	1179	1411	207	527	955	249	264	272	204	1043	1013	972	1071	616	250	220	140	578	169	859	1050	160	144	375	390	734					
9	Число недействительных избирательных бюллетеней	191	8	10	14	6	2	2	6	7	12	2	4	2	1	4	0	7	6	0	4	6	4	0	2	2	8	7	11	8	6	2	0	5	3	2	10	6	0	3	1	7	1					
10	Число действительных избирательных бюллетеней	29202	1176	1579	1453	1305	1517	615	869	889	980	788	157	98	82	419	162	1229	1486	251	569	1081	256	275	278	217	1152	1109	1097	1203	851	382	296	232	790	280	941	1110	192	169	422	458	787					
11	Число полученных открепительных  удостоверений	698	43	25	25	25	25	15	25	25	25	15	10	10	10	10	10	20	20	10	15	20	15	15	15	15	20	20	20	20	15	15	10	10	15	10	20	20	10	10	10	10	20					
12	Число выданных открепительных удостоверений	240	28	9	11	9	13	5	8	10	8	4	2	0	3	6	3	13	14	0	1	13	3	0	0	0	3	16	4	5	4	1	0	2	9	1	2	5	0	0	10	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	131	10	7	5	3	10	3	2	2	1	8	1	4	2	3	2	10	3	5	5	4	2	0	3	2	4	2	2	3	2	2	0	2	4	1	3	2	0	0	1	1	5					
14	Число неиспользованных открепительных удостоверений	458	15	16	14	16	12	10	17	15	17	11	8	10	7	4	7	7	6	10	14	7	12	15	15	15	17	4	16	15	11	14	10	8	6	9	18	15	10	10	0	0	15					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	2384	94	142	113	148	157	66	64	67	93	44	6	6	2	12	3	73	101	16	20	127	45	33	11	14	75	91	67	89	101	26	14	10	50	20	128	122	17	5	33	31	48					
		8.11%	7.94%	8.94%	7.70%	11.29%	10.34%	10.70%	7.31%	7.48%	9.38%	5.57%	3.73%	6.00%	2.41%	2.84%	1.85%	5.91%	6.77%	6.37%	3.49%	11.68%	17.31%	12.00%	3.93%	6.39%	6.47%	8.15%	6.05%	7.35%	11.79%	6.77%	4.73%	4.22%	6.31%	7.09%	13.46%	10.93%	8.85%	2.91%	7.80%	6.67%	6.09%					
19	. Малышкин Олег Александрович	701	29	30	26	26	26	16	16	24	21	32	3	5	1	14	2	37	27	3	6	37	7	11	9	6	30	21	17	33	39	7	4	16	16	7	33	18	4	5	7	10	20					
