Выборы Президента Российской Федерации																																																										
																																																										
"Наименование Избирательной комиссии:    Ростов-на-Дону, Советская"																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1760	УИК №2475	УИК №2476	УИК №2477	УИК №2492	УИК №2544	УИК №2545	УИК №2546					
1	"Число избирателей, внесенных в список"	120657	2417	2152	2451	2680	2605	2563	2239	2310	2366	2757	2739	2536	2428	2259	2962	2810	2776	2219	1954	2353	2644	2737	2082	1559	2540	2650	3197	3000	2931	2701	2100	3002	2468	2392	2601	2346	1628	2352	2080	2931	2763	1404	984	2587	2444	2443	1475	1142	1540	2169	2189					
2	Число полученных избирательных бюллетеней	119780	2430	2150	2470	2700	2608	2612	2230	2352	2385	2758	2731	2510	2480	2300	2936	2845	2799	2275	1982	2300	2674	2765	2144	1208	2600	2700	3250	3000	3009	2700	1900	3050	2500	2400	2640	2376	1650	2180	2000	2655	2482	1379	967	2130	2400	2460	1500	1288	1550	2170	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80016	2206	1614	1287	2438	1844	1817	1475	1772	1576	1563	1545	2167	1989	1619	2391	2067	1864	1697	1632	1444	1951	1776	1627	1109	1896	1751	2049	1669	1567	1241	811	1101	1766	1482	1586	1679	1200	1611	1301	1970	1466	861	667	1558	1720	1609	850	647	1117	1161	1210					
5	"Число избирательных бюллетеней, выданных вне помещения"	6066	103	207	43	31	267	138	86	81	60	86	194	91	68	73	124	135	89	170	64	128	40	246	95	10	72	148	111	110	58	195	451	247	224	151	36	51	47	41	47	22	77	264	134	27	84	68	108	495	81	43	45					
6	Число погашенных избирательных бюллетеней	33698	121	329	1140	231	497	657	669	499	749	1109	992	252	423	608	421	643	846	408	286	728	683	743	422	89	632	801	1090	1221	1384	1264	638	1702	510	767	1018	646	403	528	652	663	939	254	166	545	596	783	542	146	352	966	945					
7	Число избирательных бюллетеней в переносных ящиках	6066	103	207	43	31	267	138	86	81	60	86	194	91	68	73	124	135	89	170	64	128	40	246	95	10	72	148	111	110	58	195	451	247	224	151	36	51	47	41	47	22	77	264	134	27	84	68	108	495	81	43	45					
8	Число бюллетеней в стационарных ящиках для голосования	79845	2206	1614	1285	2438	1844	1816	1443	1772	1568	1561	1539	2167	1989	1619	2391	2063	1864	1697	1632	1444	1951	1775	1627	1109	1886	1712	2049	1669	1567	1241	811	1101	1766	1480	1576	1679	1200	1611	1301	1948	1460	861	666	1558	1716	1604	850	635	1117	1161	1206					
9	Число недействительных избирательных бюллетеней	494	6	10	5	2	5	6	12	11	12	8	13	6	16	44	7	12	24	7	2	4	8	0	28	3	15	6	9	18	12	7	6	11	7	8	4	22	4	8	3	12	11	2	3	9	13	6	25	1	4	13	4					
10	Число действительных избирательных бюллетеней	85417	2303	1811	1323	2467	2106	1948	1517	1842	1616	1639	1720	2252	2041	1648	2508	2186	1929	1860	1694	1568	1983	2021	1694	1116	1943	1854	2151	1761	1613	1429	1256	1337	1983	1623	1608	1708	1243	1644	1345	1958	1526	1123	797	1576	1787	1666	933	1129	1194	1191	1247					
