Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Хворостянская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482					
1	"Число избирателей, внесенных в список"	11041	577	679	105	302	937	116	172	208	759	520	314	274	406	845	234	389	417	2009	1437	242	99					
2	Число полученных избирательных бюллетеней	11000	580	665	105	299	948	124	169	211	749	522	312	272	401	843	231	393	406	2003	1424	244	99					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9084	412	480	90	277	828	110	153	166	563	444	232	234	346	711	209	305	366	1621	1243	200	94					
5	"Число избирательных бюллетеней, выданных вне помещения"	1111	109	141	7	19	37	0	11	0	112	60	62	28	26	91	13	54	36	180	95	25	5					
6	Число погашенных избирательных бюллетеней	805	59	44	8	3	83	14	5	45	74	18	18	10	29	41	9	34	4	202	86	19	0					
7	Число избирательных бюллетеней в переносных ящиках	1111	109	141	7	19	37	0	11	0	112	60	62	28	26	91	13	54	36	180	95	25	5					
8	Число бюллетеней в стационарных ящиках для голосования	9084	412	480	90	277	828	110	153	166	563	444	232	234	346	711	209	305	366	1621	1243	200	94					
9	Число недействительных избирательных бюллетеней	69	4	3	0	0	8	0	0	1	6	2	1	1	2	4	12	1	2	11	9	2	0					
10	Число действительных избирательных бюллетеней	10126	517	618	97	296	857	110	164	165	669	502	293	261	370	798	210	358	400	1790	1329	223	99					
11	Число полученных открепительных  удостоверений	200	5	5	5	5	10	5	5	5	10	10	5	5	5	10	5	10	10	40	35	5	5					
12	Число выданных открепительных удостоверений	114	1	5	1	0	10	5	5	5	5	10	0	1	5	6	0	5	0	30	19	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	0	9	1	4	5	1	3	1	3	5	2	2	1	0	2	1	5	3	3	2	5					
14	Число неиспользованных открепительных удостоверений	86	4	0	4	5	0	0	0	0	5	0	5	4	0	4	5	5	10	10	16	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	291	7	25	2	3	22	0	13	3	6	11	7	10	7	24	4	6	31	50	52	7	1					
		2.85%	1.34%	4.03%	2.06%	1.01%	2.54%	0.00%	7.93%	1.81%	0.89%	2.18%	2.38%	3.82%	1.88%	2.99%	1.80%	1.67%	7.71%	2.78%	3.89%	3.11%	1.01%					
19	. Малышкин Олег Александрович	275	23	30	3	1	34	4	5	6	10	5	11	9	18	16	4	4	8	32	44	7	1					
		2.70%	4.41%	4.83%	3.09%	0.34%	3.93%	3.64%	3.05%	3.61%	1.48%	0.99%	3.74%	3.44%	4.84%	2.00%	1.80%	1.11%	1.99%	1.78%	3.29%	3.11%	1.01%					
20	. Миронов Сергей Михайлович	59	2	2	2	4	9	0	0	2	0	1	2	2	5	6	1	2	3	8	5	3	0					
		0.58%	0.38%	0.32%	2.06%	1.35%	1.04%	0.00%	0.00%	1.20%	0.00%	0.20%	0.68%	0.76%	1.34%	0.75%	0.45%	0.56%	0.75%	0.44%	0.37%	1.33%	0.00%					
21	. Путин Владимир Владимирович	7387	351	426	65	242	593	92	123	91	529	399	198	201	254	577	139	256	264	1379	952	164	92					
		72.46%	67.37%	68.60%	67.01%	81.76%	68.55%	83.64%	75.00%	54.82%	78.37%	79.17%	67.35%	76.72%	68.28%	71.95%	62.61%	71.31%	65.67%	76.57%	71.15%	72.89%	92.93%					
22	. Хакамада Ирина Муцуовна	185	8	10	0	3	18	2	2	4	5	4	7	3	12	19	5	2	10	39	28	4	0					
		1.81%	1.54%	1.61%	0.00%	1.01%	2.08%	1.82%	1.22%	2.41%	0.74%	0.79%	2.38%	1.15%	3.23%	2.37%	2.25%	0.56%	2.49%	2.17%	2.09%	1.78%	0.00%					
23	. Харитонов Николай Михайлович	1700	113	122	18	39	147	12	19	48	104	70	57	31	64	134	54	85	80	250	213	35	5					
		16.67%	21.69%	19.65%	18.56%	13.18%	16.99%	10.91%	11.59%	28.92%	15.41%	13.89%	19.39%	11.83%	17.20%	16.71%	24.32%	23.68%	19.90%	13.88%	15.92%	15.56%	5.05%					
																												
24	Против всех	229	13	3	7	4	34	0	2	11	15	12	11	5	10	22	3	3	4	32	35	3	0					
		2.25%	2.50%	0.48%	7.22%	1.35%	3.93%	0.00%	1.22%	6.63%	2.22%	2.38%	3.74%	1.91%	2.69%	2.74%	1.35%	0.84%	1.00%	1.78%	2.62%	1.33%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
