Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Кочевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030					
1	"Число избирателей, внесенных в список"	8983	732	653	552	543	159	451	223	225	158	360	173	52	112	482	158	305	100	429	99	175	122	207	512	271	424	94	304	459	186	263					
2	Число полученных избирательных бюллетеней	8756	700	650	550	500	158	440	225	225	157	350	172	55	112	470	153	300	99	400	99	174	121	201	500	260	400	94	300	450	186	255					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5027	382	295	331	297	102	244	116	97	93	241	104	26	69	249	129	120	60	303	69	118	96	84	215	149	253	56	185	264	125	155					
5	"Число избирательных бюллетеней, выданных вне помещения"	432	15	5	5	7	1	2	14	24	11	17	16	11	6	46	0	47	11	20	6	15	8	39	30	7	0	16	11	15	17	10					
6	Число погашенных избирательных бюллетеней	3297	303	350	214	196	55	194	95	104	53	92	52	18	37	175	24	133	28	77	24	41	17	78	255	104	147	22	104	171	44	90					
7	Число избирательных бюллетеней в переносных ящиках	432	15	5	5	7	1	2	14	24	11	17	16	11	6	46	0	47	11	20	6	15	8	39	30	7	0	16	11	15	17	10					
8	Число бюллетеней в стационарных ящиках для голосования	5024	382	295	331	297	102	244	116	97	93	241	104	26	69	249	129	118	60	303	69	118	96	84	215	149	253	56	185	264	124	155					
9	Число недействительных избирательных бюллетеней	61	4	1	4	6	2	2	2	0	3	3	1	1	0	4	2	5	0	2	0	1	2	0	2	2	2	0	3	4	1	2					
10	Число действительных избирательных бюллетеней	5395	393	299	332	298	101	244	128	121	101	255	119	36	75	291	127	160	71	321	75	132	102	123	243	154	251	72	193	275	140	163					
11	Число полученных открепительных  удостоверений	250	20	20	10	10	5	10	5	5	5	10	5	5	5	10	5	10	5	10	5	5	5	5	10	10	10	5	10	10	10	10					
12	Число выданных открепительных удостоверений	24	8	2	4	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	3	2	1	2	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	8	1	2	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	226	12	18	6	8	5	10	5	4	5	10	5	5	5	8	5	10	5	9	5	5	5	5	10	8	10	5	8	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	75	3	2	2	7	1	2	0	2	1	7	4	0	0	2	0	4	0	5	1	2	0	4	14	2	2	1	1	4	2	0					
		1.37%	0.76%	0.67%	0.60%	2.30%	0.97%	0.81%	0.00%	1.65%	0.96%	2.71%	3.33%	0.00%	0.00%	0.68%	0.00%	2.42%	0.00%	1.55%	1.33%	1.50%	0.00%	3.25%	5.71%	1.28%	0.79%	1.39%	0.51%	1.43%	1.42%	0.00%					
19	. Малышкин Олег Александрович	135	8	9	3	3	0	6	2	0	0	32	5	2	3	2	0	10	1	5	5	4	5	3	5	3	2	3	3	10	0	1					
		2.47%	2.02%	3.00%	0.89%	0.99%	0.00%	2.44%	1.54%	0.00%	0.00%	12.40%	4.17%	5.41%	4.00%	0.68%	0.00%	6.06%	1.41%	1.55%	6.67%	3.01%	4.81%	2.44%	2.04%	1.92%	0.79%	4.17%	1.53%	3.58%	0.00%	0.61%					
20	. Миронов Сергей Михайлович	40	3	0	1	1	0	2	1	0	0	2	3	0	0	3	0	2	1	1	0	2	1	0	4	1	5	0	1	5	1	0					
		0.73%	0.76%	0.00%	0.30%	0.33%	0.00%	0.81%	0.77%	0.00%	0.00%	0.78%	2.50%	0.00%	0.00%	1.02%	0.00%	1.21%	1.41%	0.31%	0.00%	1.50%	0.96%	0.00%	1.63%	0.64%	1.98%	0.00%	0.51%	1.79%	0.71%	0.00%					
21	. Путин Владимир Владимирович	4566	334	254	289	262	96	215	117	115	80	185	80	29	67	257	125	118	59	263	65	107	88	96	167	139	222	64	160	230	127	156					
		83.69%	84.13%	84.67%	86.01%	86.18%	93.20%	87.40%	90.00%	95.04%	76.92%	71.71%	66.67%	78.38%	89.33%	87.12%	96.90%	71.52%	83.10%	81.42%	86.67%	80.45%	84.62%	78.05%	68.16%	89.10%	87.75%	88.89%	81.63%	82.44%	90.07%	94.55%					
22	. Хакамада Ирина Муцуовна	95	9	9	9	4	1	6	3	1	2	2	4	1	0	0	0	6	1	6	1	4	1	0	3	3	6	0	3	7	2	1					
		1.74%	2.27%	3.00%	2.68%	1.32%	0.97%	2.44%	2.31%	0.83%	1.92%	0.78%	3.33%	2.70%	0.00%	0.00%	0.00%	3.64%	1.41%	1.86%	1.33%	3.01%	0.96%	0.00%	1.22%	1.92%	2.37%	0.00%	1.53%	2.51%	1.42%	0.61%					
23	. Харитонов Николай Михайлович	415	24	20	25	18	3	12	5	1	18	20	20	4	5	23	2	18	8	36	3	9	5	18	49	6	7	4	25	16	7	4					
		7.61%	6.05%	6.67%	7.44%	5.92%	2.91%	4.88%	3.85%	0.83%	17.31%	7.75%	16.67%	10.81%	6.67%	7.80%	1.55%	10.91%	11.27%	11.15%	4.00%	6.77%	4.81%	14.63%	20.00%	3.85%	2.77%	5.56%	12.76%	5.73%	4.96%	2.42%					
																																					
24	Против всех	69	12	5	3	3	0	1	0	2	0	7	3	0	0	4	0	2	1	5	0	4	2	2	1	0	7	0	0	3	1	1					
		1.26%	3.02%	1.67%	0.89%	0.99%	0.00%	0.41%	0.00%	1.65%	0.00%	2.71%	2.50%	0.00%	0.00%	1.36%	0.00%	1.21%	1.41%	1.55%	0.00%	3.01%	1.92%	1.63%	0.41%	0.00%	2.77%	0.00%	0.00%	1.08%	0.71%	0.61%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
