Выборы Президента Российской Федерации																								
																								
"Наименование Избирательной комиссии:    Новокузнецк, Кузнецкая"																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699					
1	"Число избирателей, внесенных в список"	35034	1965	2190	2021	2018	2473	2425	2385	2181	2150	1886	2486	2053	2115	1637	1927	2104	1018					
2	Число полученных избирательных бюллетеней	35300	2000	2000	2000	2000	2500	2400	2400	2200	2600	1700	2400	2000	2000	2000	2000	2000	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21324	866	1354	1113	1075	1683	1409	1510	1270	1262	1083	1522	1373	1175	1151	1138	1322	1018					
5	"Число избирательных бюллетеней, выданных вне помещения"	1576	122	45	55	59	53	55	53	86	427	184	75	33	106	81	65	77	0					
6	Число погашенных избирательных бюллетеней	12400	1012	601	832	866	764	936	837	844	911	433	803	594	719	768	797	601	82					
7	Число избирательных бюллетеней в переносных ящиках	1576	122	45	55	59	53	55	53	86	427	184	75	33	106	81	65	77	0					
8	Число бюллетеней в стационарных ящиках для голосования	21324	866	1354	1113	1075	1683	1409	1510	1270	1262	1083	1522	1373	1175	1151	1138	1322	1018					
9	Число недействительных избирательных бюллетеней	147	6	5	13	4	11	20	12	9	2	6	8	6	13	14	2	16	0					
10	Число действительных избирательных бюллетеней	22753	982	1394	1155	1130	1725	1444	1551	1347	1687	1261	1589	1400	1268	1218	1201	1383	1018					
11	Число полученных открепительных  удостоверений	385	20	30	20	20	35	30	20	25	20	20	30	35	20	20	20	20	0					
12	Число выданных открепительных удостоверений	289	11	30	15	12	35	24	10	22	20	11	17	28	12	16	9	17	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	181	2	17	8	12	6	9	15	6	14	14	15	12	9	2	8	14	18					
14	Число неиспользованных открепительных удостоверений	96	9	0	5	8	0	6	10	3	0	9	13	7	8	4	11	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	1237	23	110	26	92	106	129	111	63	93	91	104	14	54	18	82	120	1					
		5.40%	2.33%	7.86%	2.23%	8.11%	6.11%	8.81%	7.10%	4.65%	5.51%	7.18%	6.51%	1.00%	4.22%	1.46%	6.82%	8.58%	0.10%					
19	. Малышкин Олег Александрович	729	39	42	5	43	52	60	60	54	73	46	70	36	34	35	45	35	0					
		3.18%	3.95%	3.00%	0.43%	3.79%	3.00%	4.10%	3.84%	3.98%	4.32%	3.63%	4.38%	2.56%	2.65%	2.84%	3.74%	2.50%	0.00%					
20	. Миронов Сергей Михайлович	334	7	28	19	6	18	17	24	12	26	15	20	16	25	36	31	31	3					
		1.46%	0.71%	2.00%	1.63%	0.53%	1.04%	1.16%	1.54%	0.88%	1.54%	1.18%	1.25%	1.14%	1.95%	2.92%	2.58%	2.22%	0.29%					
21	. Путин Владимир Владимирович	16342	801	918	909	737	1286	840	1003	972	1220	886	1138	1016	961	984	749	912	1010					
		71.36%	81.07%	65.62%	77.83%	64.99%	74.08%	57.38%	64.17%	71.68%	72.23%	69.93%	71.26%	72.26%	75.02%	79.87%	62.26%	65.19%	99.21%					
22	. Хакамада Ирина Муцуовна	1397	25	109	67	63	87	134	91	99	92	93	100	151	56	68	67	92	3					
		6.10%	2.53%	7.79%	5.74%	5.56%	5.01%	9.15%	5.82%	7.30%	5.45%	7.34%	6.26%	10.74%	4.37%	5.52%	5.57%	6.58%	0.29%					
23	. Харитонов Николай Михайлович	2121	62	183	126	117	174	152	180	128	133	115	142	141	71	75	141	181	0					
		9.26%	6.28%	13.08%	10.79%	10.32%	10.02%	10.38%	11.52%	9.44%	7.87%	9.08%	8.89%	10.03%	5.54%	6.09%	11.72%	12.94%	0.00%					
																								
24	Против всех	593	25	4	3	72	2	112	82	19	50	15	15	26	67	2	86	12	1					
		2.59%	2.53%	0.29%	0.26%	6.35%	0.12%	7.65%	5.25%	1.40%	2.96%	1.18%	0.94%	1.85%	5.23%	0.16%	7.15%	0.86%	0.10%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
