Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Карабулакская													
													
Итоги голосования 													
													
		Сумма	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13					
1	"Число избирателей, внесенных в список"	9563	1921	1450	2078	1216	1502	1396					
2	Число полученных избирательных бюллетеней	9487	1952	1475	2085	1230	1495	1250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7924	1469	1226	1726	1038	1417	1048					
5	"Число избирательных бюллетеней, выданных вне помещения"	177	9	7	6	3	5	147					
6	Число погашенных избирательных бюллетеней	1386	474	242	353	189	73	55					
7	Число избирательных бюллетеней в переносных ящиках	177	9	7	6	3	5	147					
8	Число бюллетеней в стационарных ящиках для голосования	7917	1469	1225	1723	1036	1416	1048					
9	Число недействительных избирательных бюллетеней	13	3	2	4	1	2	1					
10	Число действительных избирательных бюллетеней	8081	1475	1230	1725	1038	1419	1194					
11	Число полученных открепительных  удостоверений	120	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	3	0	0	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	0	1	1	0					
14	Число неиспользованных открепительных удостоверений	117	20	20	20	20	20	17					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	6	0	1	1	2	1	1					
		0.07%	0.00%	0.08%	0.06%	0.19%	0.07%	0.08%					
19	. Малышкин Олег Александрович	9	1	2	1	2	2	1					
		0.11%	0.07%	0.16%	0.06%	0.19%	0.14%	0.08%					
20	. Миронов Сергей Михайлович	83	9	1	5	24	29	15					
		1.03%	0.61%	0.08%	0.29%	2.31%	2.04%	1.26%					
21	. Путин Владимир Владимирович	7920	1457	1214	1709	998	1378	1164					
		97.85%	98.58%	98.54%	98.84%	96.05%	96.97%	97.41%					
22	. Хакамада Ирина Муцуовна	8	1	2	0	2	1	2					
		0.10%	0.07%	0.16%	0.00%	0.19%	0.07%	0.17%					
23	. Харитонов Николай Михайлович	50	7	10	8	9	6	10					
		0.62%	0.47%	0.81%	0.46%	0.87%	0.42%	0.84%					
													
24	Против всех	5	0	0	1	1	2	1					
		0.06%	0.00%	0.00%	0.06%	0.10%	0.14%	0.08%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
