Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Цильнинская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733					
1	"Число избирателей, внесенных в список"	21570	436	725	2183	1799	148	95	803	712	321	511	186	502	525	252	283	81	402	95	1006	611	338	629	89	135	529	540	324	432	245	126	245	650	1320	544	90	277	2520	861					
2	Число полученных избирательных бюллетеней	20808	425	700	2140	1710	149	96	770	690	310	500	192	475	500	245	270	80	380	95	960	590	320	600	94	140	500	520	310	420	230	132	230	620	1290	520	90	265	2430	820					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14086	302	461	1431	1000	119	70	534	490	243	370	142	321	355	184	189	58	299	71	647	380	221	385	78	88	421	339	225	322	167	95	170	409	782	319	63	175	1623	538					
5	"Число избирательных бюллетеней, выданных вне помещения"	1523	57	90	78	144	8	8	96	45	24	57	9	41	49	14	42	3	38	9	92	20	12	37	4	11	62	41	35	26	24	10	21	49	120	39	8	20	42	38					
6	Число погашенных избирательных бюллетеней	5199	66	149	631	566	22	18	140	155	43	73	41	113	96	47	39	19	43	15	221	190	87	178	12	41	17	140	50	72	39	27	39	162	388	162	19	70	765	244					
7	Число избирательных бюллетеней в переносных ящиках	1523	57	90	78	144	8	8	96	45	24	57	9	41	49	14	42	3	38	9	92	20	12	37	4	11	62	41	35	26	24	10	21	49	120	39	8	20	42	38					
8	Число бюллетеней в стационарных ящиках для голосования	14086	302	461	1431	1000	119	70	534	490	243	370	142	321	355	184	189	58	299	71	647	380	221	385	78	88	421	339	225	322	167	95	170	409	782	319	63	175	1623	538					
9	Число недействительных избирательных бюллетеней	299	5	4	16	26	1	1	6	7	2	26	1	4	10	1	3	0	1	1	61	6	2	5	0	4	12	4	4	6	3	7	3	8	18	2	0	5	20	14					
10	Число действительных избирательных бюллетеней	15310	354	547	1493	1118	126	77	624	528	265	401	150	358	394	197	228	61	336	79	678	394	231	417	82	95	471	376	256	342	188	98	188	450	884	356	71	190	1645	562					
11	Число полученных открепительных  удостоверений	355	5	10	20	20	5	5	15	10	5	5	5	10	10	5	5	5	10	5	20	10	5	10	5	5	10	10	5	10	5	5	5	10	25	10	5	5	20	20					
12	Число выданных открепительных удостоверений	138	3	3	20	16	0	0	3	10	1	3	1	0	0	5	5	0	0	0	3	5	1	1	1	2	1	4	0	4	0	1	1	3	24	4	0	0	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	1	0	6	4	1	1	2	3	0	4	0	4	2	1	0	2	3	1	4	0	2	6	0	2	1	5	0	0	2	1	3	2	1	1	1	0	6	1					
14	Число неиспользованных открепительных удостоверений	217	2	7	0	4	5	5	12	0	4	2	4	10	10	0	0	5	10	5	17	5	4	9	4	3	9	6	5	6	5	4	4	7	1	6	5	5	8	19					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	511	2	8	74	55	2	2	19	8	6	8	2	5	7	8	6	5	6	4	9	23	4	18	3	3	18	13	9	10	3	2	6	19	12	20	4	9	62	37					
		3.27%	0.56%	1.45%	4.90%	4.81%	1.57%	2.56%	3.02%	1.50%	2.25%	1.87%	1.32%	1.38%	1.73%	4.04%	2.60%	8.20%	1.78%	5.00%	1.22%	5.75%	1.72%	4.27%	3.66%	3.03%	3.73%	3.42%	3.46%	2.87%	1.57%	1.90%	3.14%	4.15%	1.33%	5.59%	5.63%	4.62%	3.72%	6.42%					
19	. Малышкин Олег Александрович	330	4	11	26	23	6	6	11	2	5	4	3	17	8	2	9	0	3	0	16	5	6	11	7	6	4	7	16	4	7	1	4	8	17	7	1	5	44	14					
		2.11%	1.11%	2.00%	1.72%	2.01%	4.72%	7.69%	1.75%	0.37%	1.87%	0.94%	1.99%	4.70%	1.98%	1.01%	3.90%	0.00%	0.89%	0.00%	2.17%	1.25%	2.58%	2.61%	8.54%	6.06%	0.83%	1.84%	6.15%	1.15%	3.66%	0.95%	2.09%	1.75%	1.88%	1.96%	1.41%	2.56%	2.64%	2.43%					
20	. Миронов Сергей Михайлович	75	0	5	4	9	1	0	4	0	0	3	1	5	0	1	2	0	2	0	2	2	1	3	1	1	4	1	1	1	1	0	0	2	2	2	0	1	11	2					
		0.48%	0.00%	0.91%	0.27%	0.79%	0.79%	0.00%	0.63%	0.00%	0.00%	0.70%	0.66%	1.38%	0.00%	0.51%	0.87%	0.00%	0.59%	0.00%	0.27%	0.50%	0.43%	0.71%	1.22%	1.01%	0.83%	0.26%	0.38%	0.29%	0.52%	0.00%	0.00%	0.44%	0.22%	0.56%	0.00%	0.51%	0.66%	0.35%					
21	. Путин Владимир Владимирович	10758	277	446	1142	815	94	56	336	399	191	271	126	271	290	161	155	50	272	62	493	209	117	295	61	44	333	290	147	236	157	85	148	269	636	244	46	134	1044	356					
		68.92%	77.16%	80.94%	75.68%	71.24%	74.02%	71.79%	53.33%	74.58%	71.54%	63.47%	83.44%	74.86%	71.78%	81.31%	67.10%	81.97%	80.71%	77.50%	66.71%	52.25%	50.21%	69.91%	74.39%	44.44%	68.94%	76.32%	56.54%	67.82%	82.20%	80.95%	77.49%	58.73%	70.51%	68.16%	64.79%	68.72%	62.70%	61.81%					
22	. Хакамада Ирина Муцуовна	150	3	3	16	14	0	1	6	3	3	10	0	0	1	0	2	1	1	0	3	5	2	2	0	0	4	5	3	7	2	0	2	5	7	6	2	2	21	8					
		0.96%	0.84%	0.54%	1.06%	1.22%	0.00%	1.28%	0.95%	0.56%	1.12%	2.34%	0.00%	0.00%	0.25%	0.00%	0.87%	1.64%	0.30%	0.00%	0.41%	1.25%	0.86%	0.47%	0.00%	0.00%	0.83%	1.32%	1.15%	2.01%	1.05%	0.00%	1.05%	1.09%	0.78%	1.68%	2.82%	1.03%	1.26%	1.39%					
23	. Харитонов Николай Михайлович	3230	67	66	182	182	22	11	240	108	58	101	15	55	86	22	51	5	46	10	148	146	98	85	8	39	107	52	79	71	18	10	25	145	200	72	16	37	407	140					
		20.69%	18.66%	11.98%	12.06%	15.91%	17.32%	14.10%	38.10%	20.19%	21.72%	23.65%	9.93%	15.19%	21.29%	11.11%	22.08%	8.20%	13.65%	12.50%	20.03%	36.50%	42.06%	20.14%	9.76%	39.39%	22.15%	13.68%	30.38%	20.40%	9.42%	9.52%	13.09%	31.66%	22.17%	20.11%	22.54%	18.97%	24.44%	24.31%					
																																													
24	Против всех	256	1	8	49	20	1	1	8	8	2	4	3	5	2	3	3	0	6	3	7	4	3	3	2	2	1	8	1	13	0	0	3	2	10	5	2	2	56	5					
		1.64%	0.28%	1.45%	3.25%	1.75%	0.79%	1.28%	1.27%	1.50%	0.75%	0.94%	1.99%	1.38%	0.50%	1.52%	1.30%	0.00%	1.78%	3.75%	0.95%	1.00%	1.29%	0.71%	2.44%	2.02%	0.21%	2.11%	0.38%	3.74%	0.00%	0.00%	1.57%	0.44%	1.11%	1.40%	2.82%	1.03%	3.36%	0.87%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
