Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Шумерлинская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023					
1	"Число избирателей, внесенных в список"	26842	1907	1899	1640	1261	1400	1882	1727	1290	1470	1360	1009	1055	1468	1154	1613	1675	915	673	606	838					
2	Число полученных избирательных бюллетеней	26937	1890	1794	1590	1250	1434	2000	1800	1300	1484	1360	950	1005	1500	1130	1600	1714	934	680	620	902					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15850	1228	1085	951	747	891	1149	1146	790	1000	841	622	696	818	617	820	942	469	326	274	438					
5	"Число избирательных бюллетеней, выданных вне помещения"	1290	51	74	31	68	40	56	93	120	77	44	37	40	75	63	165	44	57	65	40	50					
6	Число погашенных избирательных бюллетеней	9797	611	635	608	435	503	795	561	390	407	475	291	269	607	450	615	728	408	289	306	414					
7	Число избирательных бюллетеней в переносных ящиках	1290	51	74	31	68	40	56	93	120	77	44	37	40	75	63	165	44	57	65	40	50					
8	Число бюллетеней в стационарных ящиках для голосования	15848	1228	1085	951	747	891	1149	1145	790	1000	841	622	696	818	617	820	942	468	326	274	438					
9	Число недействительных избирательных бюллетеней	278	16	12	6	2	59	12	5	2	14	18	11	2	6	25	32	39	0	5	8	4					
10	Число действительных избирательных бюллетеней	16860	1263	1147	976	813	872	1193	1233	908	1063	867	648	734	887	655	953	947	525	386	306	484					
11	Число полученных открепительных  удостоверений	1000	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	276	26	27	11	12	11	26	23	23	9	17	8	11	19	6	14	15	5	5	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	5	3	1	2	6	2	14	3	3	10	5	7	6	6	1	1	3	2	2	3					
14	Число неиспользованных открепительных удостоверений	724	24	23	39	38	39	24	27	27	41	33	42	39	31	44	36	35	45	45	47	45					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	1	0	0	2	1	4	0	0	0	0	0	0	0	1	0	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	548	35	57	42	35	28	24	37	28	29	19	21	35	31	23	29	22	16	11	8	18					
		3.20%	2.74%	4.92%	4.28%	4.29%	3.01%	1.99%	2.99%	3.08%	2.69%	2.15%	3.19%	4.76%	3.47%	3.38%	2.94%	2.23%	3.05%	2.81%	2.55%	3.69%					
19	. Малышкин Олег Александрович	261	17	26	5	18	18	15	9	23	8	14	8	15	12	10	15	17	13	7	2	9					
		1.52%	1.33%	2.24%	0.51%	2.21%	1.93%	1.24%	0.73%	2.53%	0.74%	1.58%	1.21%	2.04%	1.34%	1.47%	1.52%	1.72%	2.48%	1.79%	0.64%	1.84%					
20	. Миронов Сергей Михайлович	51	5	3	1	3	2	7	3	4	4	1	1	1	2	0	6	1	1	1	1	4					
		0.30%	0.39%	0.26%	0.10%	0.37%	0.21%	0.58%	0.24%	0.44%	0.37%	0.11%	0.15%	0.14%	0.22%	0.00%	0.61%	0.10%	0.19%	0.26%	0.32%	0.82%					
21	. Путин Владимир Владимирович	11029	865	739	579	520	616	755	842	607	710	565	405	428	563	424	684	617	354	254	198	304					
		64.35%	67.63%	63.76%	58.96%	63.80%	66.17%	62.66%	68.01%	66.70%	65.92%	63.84%	61.46%	58.15%	63.05%	62.35%	69.44%	62.58%	67.43%	64.96%	63.06%	62.30%					
22	. Хакамада Ирина Муцуовна	270	20	9	23	11	13	20	17	21	12	15	10	16	15	6	17	19	10	3	4	9					
		1.58%	1.56%	0.78%	2.34%	1.35%	1.40%	1.66%	1.37%	2.31%	1.11%	1.69%	1.52%	2.17%	1.68%	0.88%	1.73%	1.93%	1.90%	0.77%	1.27%	1.84%					
23	. Харитонов Николай Михайлович	4273	286	281	309	194	171	331	299	208	278	226	190	212	244	176	185	237	125	108	89	124					
		24.93%	22.36%	24.25%	31.47%	23.80%	18.37%	27.47%	24.15%	22.86%	25.81%	25.54%	28.83%	28.80%	27.32%	25.88%	18.78%	24.04%	23.81%	27.62%	28.34%	25.41%					
																											
24	Против всех	428	35	32	17	32	24	41	26	17	22	27	13	27	20	16	17	34	6	2	4	16					
		2.50%	2.74%	2.76%	1.73%	3.93%	2.58%	3.40%	2.10%	1.87%	2.04%	3.05%	1.97%	3.67%	2.24%	2.35%	1.73%	3.45%	1.14%	0.51%	1.27%	3.28%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
