Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Ашинская городская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870					
1	"Число избирателей, внесенных в список"	53657	1243	1010	1435	1324	919	1662	1185	1496	1005	1976	652	577	787	1155	560	1066	1200	1247	1426	1923	436	552	819	517	1296	1118	1344	1335	1173	1271	592	1123	741	975	1721	1400	1060	812	1036	1150	1036	1174	792	520	876	1926	590	181	143	105	239	204	1112	200	240					
2	Число полученных избирательных бюллетеней	53645	1200	1000	1450	1300	850	1650	1150	1500	1000	2150	620	930	720	1130	520	1050	1150	1150	1400	1900	400	540	800	500	1300	1150	1400	1400	1300	1300	580	1100	750	980	1750	1400	1050	830	1000	1100	1000	1140	750	490	850	1930	610	184	148	118	240	200	1090	240	205					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33025	847	654	1018	913	606	1066	749	954	637	1344	359	548	413	658	329	659	692	695	761	1225	265	265	439	287	775	655	848	843	775	749	380	706	441	599	1100	994	620	584	583	637	526	663	605	293	485	1003	346	141	106	87	166	106	591	127	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	1636	25	18	28	13	28	44	33	49	12	44	25	29	34	38	34	19	18	39	59	43	23	82	35	33	52	41	57	35	54	156	10	8	23	3	5	0	10	8	28	15	13	7	0	24	48	62	39	0	0	0	9	36	37	19	32					
6	Число погашенных избирательных бюллетеней	18984	328	328	404	374	216	540	368	497	351	762	236	353	273	434	157	372	440	416	580	632	112	193	326	180	473	454	495	522	471	395	190	386	286	378	645	406	420	238	389	448	461	470	145	173	317	865	225	43	42	31	65	58	462	94	65					
7	Число избирательных бюллетеней в переносных ящиках	1636	25	18	28	13	28	44	33	49	12	44	25	29	34	38	34	19	18	39	59	43	23	82	35	33	52	41	57	35	54	156	10	8	23	3	5	0	10	8	28	15	13	7	0	24	48	62	39	0	0	0	9	36	37	19	32					
8	Число бюллетеней в стационарных ящиках для голосования	33019	846	654	1018	913	606	1064	749	953	637	1344	359	548	412	658	329	659	692	695	761	1225	265	265	439	287	775	655	848	843	775	749	380	706	441	599	1100	994	620	584	583	636	526	663	605	293	485	1003	346	141	106	87	166	106	591	127	108					
9	Число недействительных избирательных бюллетеней	510	5	9	13	13	6	23	8	10	4	18	7	7	4	11	9	11	10	6	18	27	2	2	7	11	19	16	22	13	21	29	2	10	7	4	12	7	35	3	4	2	4	16	3	0	4	17	5	2	0	1	1	0	8	0	2					
10	Число действительных избирательных бюллетеней	34145	866	663	1033	913	628	1085	774	992	645	1370	377	570	442	685	354	667	700	728	802	1241	286	345	467	309	808	680	883	865	808	876	388	704	457	598	1093	987	595	589	607	649	535	654	602	317	529	1048	380	139	106	86	174	142	620	146	138					
