Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Ребрихинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309					
1	"Число избирателей, внесенных в список"	22277	3122	2903	620	665	2133	1376	887	591	937	923	360	671	415	1087	595	774	1019	159	451	221	69	855	374	960	110					
2	Число полученных избирательных бюллетеней	21189	2800	2700	550	600	2100	1350	850	600	900	900	350	650	400	1050	550	750	1000	157	440	210	72	850	350	900	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14040	1870	1647	348	401	1215	935	540	456	599	549	242	477	288	756	403	447	626	126	360	163	39	549	264	650	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	983	99	124	36	17	90	32	25	23	83	58	15	38	26	36	20	14	44	14	31	14	0	56	26	57	5					
6	Число погашенных избирательных бюллетеней	6166	831	929	166	182	795	383	285	121	218	293	93	135	86	258	127	289	330	17	49	33	33	245	60	193	15					
7	Число избирательных бюллетеней в переносных ящиках	983	99	124	36	17	90	32	25	23	83	58	15	38	26	36	20	14	44	14	31	14	0	56	26	57	5					
8	Число бюллетеней в стационарных ящиках для голосования	14030	1868	1647	348	401	1213	935	539	453	599	549	242	477	287	756	403	446	626	126	360	163	39	549	264	650	90					
9	Число недействительных избирательных бюллетеней	160	21	21	2	9	8	9	8	0	12	9	5	3	6	10	4	6	4	6	3	0	0	7	3	4	0					
10	Число действительных избирательных бюллетеней	14853	1946	1750	382	409	1295	958	556	476	670	598	252	512	307	782	419	454	666	134	388	177	39	598	287	703	95					
11	Число полученных открепительных  удостоверений	270	20	20	10	10	20	15	10	10	10	10	10	10	10	15	10	10	15	5	10	5	5	10	5	10	5					
12	Число выданных открепительных удостоверений	44	11	7	0	0	11	0	0	0	3	0	0	2	1	2	0	0	1	0	3	1	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	5	6	1	1	0	3	1	0	0	0	0	0	0	3	1	2	2	2	3	3	0	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	226	9	13	10	10	9	15	10	10	7	10	10	8	9	13	10	10	14	5	7	4	5	8	5	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
