Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Таборинская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890					
1	"Число избирателей, внесенных в список"	3488	121	123	119	144	51	1144	439	80	222	287	112	79	567					
2	Число полученных избирательных бюллетеней	3603	155	130	130	150	55	1143	440	85	220	300	110	90	595					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2055	88	98	111	115	39	546	243	65	170	203	75	43	259					
5	"Число избирательных бюллетеней, выданных вне помещения"	232	0	0	2	17	0	58	33	0	26	25	0	21	50					
6	Число погашенных избирательных бюллетеней	1316	67	32	17	18	16	539	164	20	24	72	35	26	286					
7	Число избирательных бюллетеней в переносных ящиках	232	0	0	2	17	0	58	33	0	26	25	0	21	50					
8	Число бюллетеней в стационарных ящиках для голосования	2055	88	98	111	115	39	546	243	65	170	203	75	43	259					
9	Число недействительных избирательных бюллетеней	22	0	0	1	1	1	5	4	0	4	0	1	1	4					
10	Число действительных избирательных бюллетеней	2265	88	98	112	131	38	599	272	65	192	228	74	63	305					
11	Число полученных открепительных  удостоверений	148	5	5	5	10	5	45	15	5	10	10	5	5	23					
12	Число выданных открепительных удостоверений	19	0	0	2	0	0	4	2	0	3	1	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	0	1	1	0	0	4	0	0	0	0	2	1	0					
14	Число неиспользованных открепительных удостоверений	129	5	5	3	10	5	41	13	5	7	9	5	5	16					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	44	1	1	0	1	2	18	2	1	1	5	0	2	10					
		1.92%	1.14%	1.02%	0.00%	0.76%	5.13%	2.98%	0.72%	1.54%	0.51%	2.19%	0.00%	3.12%	3.24%					
19	. Малышкин Олег Александрович	57	4	2	0	9	1	16	6	0	3	3	4	4	5					
		2.49%	4.55%	2.04%	0.00%	6.82%	2.56%	2.65%	2.17%	0.00%	1.53%	1.32%	5.33%	6.25%	1.62%					
20	. Миронов Сергей Михайлович	14	1	5	0	1	1	0	2	0	3	1	0	0	0					
		0.61%	1.14%	5.10%	0.00%	0.76%	2.56%	0.00%	0.72%	0.00%	1.53%	0.44%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	1868	72	83	102	95	30	454	226	60	173	205	61	54	253					
		81.68%	81.82%	84.69%	90.27%	71.97%	76.92%	75.17%	81.88%	92.31%	88.27%	89.91%	81.33%	84.38%	81.88%					
22	. Хакамада Ирина Муцуовна	34	0	0	4	1	1	18	5	0	1	0	0	0	4					
		1.49%	0.00%	0.00%	3.54%	0.76%	2.56%	2.98%	1.81%	0.00%	0.51%	0.00%	0.00%	0.00%	1.29%					
23	. Харитонов Николай Михайлович	213	7	7	5	19	0	83	27	4	8	14	8	2	29					
		9.31%	7.95%	7.14%	4.42%	14.39%	0.00%	13.74%	9.78%	6.15%	4.08%	6.14%	10.67%	3.12%	9.39%					
																				
24	Против всех	35	3	0	1	5	3	10	4	0	3	0	1	1	4					
		1.53%	3.41%	0.00%	0.88%	3.79%	7.69%	1.66%	1.45%	0.00%	1.53%	0.00%	1.33%	1.56%	1.29%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
