Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Котельниковская поселковая															
															
Итоги голосования 															
															
		Сумма	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001					
1	"Число избирателей, внесенных в список"	14064	378	1961	2006	2018	1658	1660	2058	2325					
2	Число полученных избирательных бюллетеней	13000	350	1800	1900	1900	1500	1500	1900	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8151	256	1071	1218	1244	954	949	1136	1323					
5	"Число избирательных бюллетеней, выданных вне помещения"	244	7	18	16	75	50	15	46	17					
6	Число погашенных избирательных бюллетеней	4605	87	711	666	581	496	536	718	810					
7	Число избирательных бюллетеней в переносных ящиках	244	7	18	16	75	50	15	46	17					
8	Число бюллетеней в стационарных ящиках для голосования	8151	256	1071	1218	1244	954	949	1136	1323					
9	Число недействительных избирательных бюллетеней	102	2	16	21	12	9	5	22	15					
10	Число действительных избирательных бюллетеней	8293	261	1073	1213	1307	995	959	1160	1325					
11	Число полученных открепительных  удостоверений	400	30	50	50	50	50	50	60	60					
12	Число выданных открепительных удостоверений	123	4	22	24	19	7	8	19	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	6	3	10	18	2	5	8	4					
14	Число неиспользованных открепительных удостоверений	277	26	28	26	31	43	42	41	40					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	402	10	85	64	60	48	33	41	61					
		4.79%	3.80%	7.81%	5.19%	4.55%	4.78%	3.42%	3.47%	4.55%					
19	. Малышкин Олег Александрович	185	4	23	22	26	38	23	32	17					
		2.20%	1.52%	2.11%	1.78%	1.97%	3.78%	2.39%	2.71%	1.27%					
20	. Миронов Сергей Михайлович	37	4	3	5	7	3	3	4	8					
		0.44%	1.52%	0.28%	0.41%	0.53%	0.30%	0.31%	0.34%	0.60%					
21	. Путин Владимир Владимирович	6023	191	748	886	950	676	726	866	980					
		71.75%	72.62%	68.69%	71.80%	72.02%	67.33%	75.31%	73.27%	73.13%					
22	. Хакамада Ирина Муцуовна	335	18	38	52	40	27	53	41	66					
		3.99%	6.84%	3.49%	4.21%	3.03%	2.69%	5.50%	3.47%	4.93%					
23	. Харитонов Николай Михайлович	883	19	121	110	150	158	72	124	129					
		10.52%	7.22%	11.11%	8.91%	11.37%	15.74%	7.47%	10.49%	9.63%					
															
24	Против всех	428	15	55	74	74	45	49	52	64					
		5.10%	5.70%	5.05%	6.00%	5.61%	4.48%	5.08%	4.40%	4.78%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
