Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Урмарская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676					
1	"Число избирателей, внесенных в список"	20435	1991	2463	1149	407	492	414	110	403	267	681	96	119	235	66	912	237	208	252	257	930	247	322	1141	493	329	135	829	286	301	151	257	177	570	176	255	716	512	152	324	789	357	71	156					
2	Число полученных избирательных бюллетеней	18744	1790	2210	1040	380	490	395	105	380	260	635	94	107	215	55	840	225	185	220	245	855	235	320	1040	450	305	125	750	265	280	135	235	168	520	170	225	650	470	135	290	720	325	65	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13652	1132	1437	670	266	367	290	81	295	175	542	81	94	174	54	688	165	151	180	161	762	173	221	733	287	231	104	542	195	206	90	155	126	381	149	150	548	360	122	209	534	227	50	94					
5	"Число избирательных бюллетеней, выданных вне помещения"	1034	22	9	65	37	18	50	6	17	12	46	11	12	19	0	28	0	7	17	20	15	23	51	66	41	20	7	44	17	13	17	11	9	35	10	43	58	24	8	32	54	18	1	21					
6	Число погашенных избирательных бюллетеней	4058	636	764	305	77	105	55	18	68	73	47	2	1	22	1	124	60	27	23	64	78	39	48	241	122	54	14	164	53	61	28	69	33	104	11	32	44	86	5	49	132	80	14	25					
7	Число избирательных бюллетеней в переносных ящиках	1034	22	9	65	37	18	50	6	17	12	46	11	12	19	0	28	0	7	17	20	15	23	51	66	41	20	7	44	17	13	17	11	9	35	10	43	58	24	8	32	54	18	1	21					
8	Число бюллетеней в стационарных ящиках для голосования	13652	1132	1437	670	266	367	290	81	295	175	542	81	94	174	54	688	165	151	180	161	762	173	221	733	287	231	104	542	195	206	90	155	126	381	149	150	548	360	122	209	534	227	50	94					
9	Число недействительных избирательных бюллетеней	233	24	20	7	2	4	1	1	1	2	11	13	3	2	0	10	5	1	8	3	12	2	12	17	10	1	2	9	1	2	1	0	3	6	1	4	5	2	3	3	9	9	1	0					
10	Число действительных избирательных бюллетеней	14453	1130	1426	728	301	381	339	86	311	185	577	79	103	191	54	706	160	157	189	178	765	194	260	782	318	250	109	577	211	217	106	166	132	410	158	189	601	382	127	238	579	236	50	115					
