Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Давлекановская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
1	"Число избирателей, внесенных в список"	29550	988	1735	933	856	1609	1426	1661	1596	879	1813	1739	941	960	162	255	418	143	291	522	433	320	475	313	701	200	421	336	298	194	255	236	196	174	243	433	309	855	286	179	170	230	384	227	224	828	472	354	398	161	318					
2	Число полученных избирательных бюллетеней	29506	982	1804	931	872	1521	1460	1634	1558	818	1765	1749	935	960	167	253	422	146	284	524	467	314	465	308	702	201	443	370	294	194	254	233	198	170	245	448	309	864	289	172	167	227	389	247	227	826	462	347	405	158	326					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23587	895	903	866	726	921	1367	1513	753	773	1583	1496	789	870	145	211	331	91	206	349	367	284	315	245	583	193	341	237	278	186	240	204	173	160	223	403	128	706	236	124	149	163	367	208	200	633	375	319	350	139	270					
5	"Число избирательных бюллетеней, выданных вне помещения"	1776	13	51	37	26	33	22	15	28	7	103	34	26	13	16	36	58	22	18	32	66	23	130	46	112	0	42	99	7	7	9	17	6	7	9	27	163	80	8	7	8	3	10	19	7	146	70	12	24	6	16					
6	Число погашенных избирательных бюллетеней	4143	74	850	28	120	567	71	106	777	38	79	219	120	77	6	6	33	33	60	143	34	7	20	17	7	8	60	34	9	1	5	12	19	3	13	18	18	78	45	41	10	61	12	20	20	47	17	16	31	13	40					
7	Число избирательных бюллетеней в переносных ящиках	1776	13	51	37	26	33	22	15	28	7	103	34	26	13	16	36	58	22	18	32	66	23	130	46	112	0	42	99	7	7	9	17	6	7	9	27	163	80	8	7	8	3	10	19	7	146	70	12	24	6	16					
8	Число бюллетеней в стационарных ящиках для голосования	23584	893	903	866	726	921	1367	1513	752	773	1583	1496	789	870	145	211	331	91	206	349	367	284	315	245	583	193	341	237	278	186	240	204	173	160	223	403	128	706	236	124	149	163	367	208	200	633	375	319	350	139	270					
9	Число недействительных избирательных бюллетеней	209	0	14	13	9	2	0	18	13	0	5	0	1	0	7	10	5	2	1	4	1	2	4	13	9	3	5	1	0	0	5	0	1	4	0	4	7	7	0	2	1	4	0	1	2	0	0	23	0	0	6					
10	Число действительных избирательных бюллетеней	25151	906	940	890	743	952	1389	1510	767	780	1681	1530	814	883	154	237	384	111	223	377	432	305	441	278	686	190	378	335	285	193	244	221	178	163	232	426	284	779	244	129	156	162	377	226	205	779	445	308	374	145	280					
11	Число полученных открепительных  удостоверений	845	30	50	30	25	50	50	60	50	30	50	30	25	20	0	10	10	20	5	10	10	5	10	5	5	5	10	5	5	5	5	5	5	5	10	20	10	30	10	5	5	5	30	10	5	20	10	10	10	5	10					
12	Число выданных открепительных удостоверений	441	14	27	16	19	32	27	36	14	16	27	22	11	18	0	0	1	1	1	6	5	5	7	2	3	2	10	2	2	0	0	5	3	0	1	20	10	15	10	0	2	5	8	2	1	13	2	1	5	2	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	354	6	22	1	8	10	9	13	12	3	12	4	3	1	161	0	2	2	1	5	1	2	6	3	3	1	4	3	2	2	2	3	4	5	0	4	0	8	0	1	1	4	5	1	2	2	3	2	0	2	3					
14	Число неиспользованных открепительных удостоверений	404	16	23	14	6	18	23	24	36	14	23	8	14	2	0	10	9	19	4	4	5	0	3	3	2	3	0	3	3	5	5	0	2	5	9	0	0	15	0	5	3	0	22	8	4	7	8	9	5	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	191	3	24	6	2	23	1	12	23	8	4	5	13	11	3	0	3	0	2	5	0	2	1	0	0	0	1	3	0	1	3	0	0	0	1	0	1	6	4	2	2	3	0	4	0	2	0	4	2	0	1					
		0.75%	0.33%	2.52%	0.66%	0.27%	2.41%	0.07%	0.79%	2.95%	1.03%	0.24%	0.33%	1.60%	1.25%	1.86%	0.00%	0.77%	0.00%	0.89%	1.31%	0.00%	0.65%	0.22%	0.00%	0.00%	0.00%	0.26%	0.89%	0.00%	0.52%	1.20%	0.00%	0.00%	0.00%	0.43%	0.00%	0.34%	0.76%	1.64%	1.53%	1.27%	1.81%	0.00%	1.76%	0.00%	0.26%	0.00%	1.21%	0.53%	0.00%	0.35%					
19	. Малышкин Олег Александрович	114	2	5	5	0	6	5	7	13	8	1	2	2	4	1	2	1	0	1	0	3	1	2	0	3	0	2	2	0	0	0	0	0	0	0	1	2	9	3	3	2	3	2	4	0	2	0	2	1	0	2					
		0.45%	0.22%	0.52%	0.55%	0.00%	0.63%	0.36%	0.46%	1.67%	1.03%	0.06%	0.13%	0.25%	0.45%	0.62%	0.81%	0.26%	0.00%	0.45%	0.00%	0.69%	0.33%	0.45%	0.00%	0.43%	0.00%	0.52%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.69%	1.15%	1.23%	2.29%	1.27%	1.81%	0.53%	1.76%	0.00%	0.26%	0.00%	0.60%	0.27%	0.00%	0.70%					
20	. Миронов Сергей Михайлович	90	0	3	5	4	7	0	7	8	1	0	4	5	3	3	1	6	0	1	0	1	3	2	0	0	0	2	1	0	1	0	0	1	2	1	0	2	7	2	0	0	2	0	3	0	1	0	0	1	0	0					
		0.35%	0.00%	0.31%	0.55%	0.53%	0.73%	0.00%	0.46%	1.03%	0.13%	0.00%	0.26%	0.61%	0.34%	1.86%	0.40%	1.54%	0.00%	0.45%	0.00%	0.23%	0.98%	0.45%	0.00%	0.00%	0.00%	0.52%	0.30%	0.00%	0.52%	0.00%	0.00%	0.56%	1.20%	0.43%	0.00%	0.69%	0.89%	0.82%	0.00%	0.00%	1.20%	0.00%	1.32%	0.00%	0.13%	0.00%	0.00%	0.27%	0.00%	0.00%					
21	. Путин Владимир Владимирович	22987	862	687	786	706	743	1309	1433	579	736	1601	1450	768	839	128	201	321	108	216	364	405	270	371	266	659	189	365	324	265	188	209	210	175	153	216	421	232	738	186	109	148	127	356	177	193	734	415	276	360	142	271					
		90.64%	95.14%	72.01%	87.04%	93.88%	77.88%	94.24%	93.78%	74.23%	94.36%	94.96%	94.77%	94.23%	95.02%	79.50%	81.38%	82.52%	95.58%	96.43%	95.54%	93.53%	87.95%	83.37%	91.41%	94.82%	97.93%	95.30%	96.43%	92.98%	97.41%	83.94%	95.02%	97.77%	91.62%	93.10%	97.91%	79.73%	93.89%	76.23%	83.21%	94.27%	76.51%	94.43%	77.97%	93.24%	94.22%	93.26%	83.38%	96.26%	97.93%	94.76%					
22	. Хакамада Ирина Муцуовна	208	11	24	11	12	18	14	4	15	3	4	3	8	5	1	2	2	0	1	0	2	4	8	2	6	0	2	3	0	0	0	7	0	3	4	1	6	9	2	2	2	0	0	3	2	1	0	0	1	0	0					
		0.82%	1.21%	2.52%	1.22%	1.60%	1.89%	1.01%	0.26%	1.92%	0.38%	0.24%	0.20%	0.98%	0.57%	0.62%	0.81%	0.51%	0.00%	0.45%	0.00%	0.46%	1.30%	1.80%	0.69%	0.86%	0.00%	0.52%	0.89%	0.00%	0.00%	0.00%	3.17%	0.00%	1.80%	1.72%	0.23%	2.06%	1.15%	0.82%	1.53%	1.27%	0.00%	0.00%	1.32%	0.97%	0.13%	0.00%	0.00%	0.27%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1459	22	188	73	8	152	60	39	117	20	62	66	15	17	14	30	49	3	1	8	20	25	57	10	15	0	6	2	20	3	32	2	1	5	10	3	39	6	43	13	1	27	19	34	9	39	30	26	9	3	6					
		5.75%	2.43%	19.71%	8.08%	1.06%	15.93%	4.32%	2.55%	15.00%	2.56%	3.68%	4.31%	1.84%	1.93%	8.70%	12.15%	12.60%	2.65%	0.45%	2.10%	4.62%	8.14%	12.81%	3.44%	2.16%	0.00%	1.57%	0.60%	7.02%	1.55%	12.85%	0.90%	0.56%	2.99%	4.31%	0.70%	13.40%	0.76%	17.62%	9.92%	0.64%	16.27%	5.04%	14.98%	4.35%	5.01%	6.74%	7.85%	2.41%	2.07%	2.10%					
																																																									
24	Против всех	102	6	9	4	11	3	0	8	12	4	9	0	3	4	4	1	2	0	1	0	1	0	0	0	3	1	0	0	0	0	0	2	1	0	0	0	2	4	4	0	1	0	0	1	1	0	0	0	0	0	0					
