Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Александрово-Гайская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22					
1	"Число избирателей, внесенных в список"	11298	1277	1077	1090	1185	890	1027	330	203	101	207	701	153	448	128	487	129	387	77	105	463	107	726					
2	Число полученных избирательных бюллетеней	11057	1200	1046	1000	1180	880	1008	329	201	101	208	703	145	442	136	482	126	382	82	109	458	105	734					
3	"Число избирательных бюллетеней, выданных  досрочно"	417	0	0	0	0	0	0	50	19	23	34	54	24	32	14	31	24	1	10	10	25	0	66					
4	"Число избирательных бюллетеней, выданных в день голосования"	8608	1030	816	759	737	751	835	238	162	76	142	528	109	343	95	402	97	332	52	93	386	100	525					
5	"Число избирательных бюллетеней, выданных вне помещения"	676	62	38	65	173	20	38	11	6	0	24	63	7	32	14	0	0	12	8	0	20	0	83					
6	Число погашенных избирательных бюллетеней	1356	108	192	176	270	109	135	30	14	2	8	58	5	35	13	49	5	37	12	6	27	5	60					
7	Число избирательных бюллетеней в переносных ящиках	1093	62	38	65	173	20	38	61	25	23	58	117	31	64	28	31	24	13	18	10	45	0	149					
8	Число бюллетеней в стационарных ящиках для голосования	8608	1030	816	759	737	751	835	238	162	76	142	528	109	343	95	402	97	332	52	93	386	100	525					
9	Число недействительных избирательных бюллетеней	59	2	5	6	7	0	6	2	0	0	0	2	0	3	0	4	0	20	0	0	1	0	1					
10	Число действительных избирательных бюллетеней	9642	1090	849	818	903	771	867	297	187	99	200	643	140	404	123	429	121	325	70	103	430	100	673					
11	Число полученных открепительных  удостоверений	196	34	21	15	15	15	15	5	2	2	2	10	5	7	2	7	2	7	5	2	10	3	10					
12	Число выданных открепительных удостоверений	123	28	16	10	13	7	12	4	1	0	1	9	3	2	0	0	0	3	1	0	3	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	5	3	8	0	2	5	2	0	0	1	1	2	0	1	2	1	2	2	0	3	0	0					
14	Число неиспользованных открепительных удостоверений	73	6	5	5	2	8	3	1	1	2	1	1	2	5	2	7	2	4	4	2	7	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	166	25	23	27	18	7	7	2	2	2	3	8	1	1	3	9	0	5	1	1	5	0	16					
		1.71%	2.29%	2.69%	3.28%	1.98%	0.91%	0.80%	0.67%	1.07%	2.02%	1.50%	1.24%	0.71%	0.25%	2.44%	2.08%	0.00%	1.45%	1.43%	0.97%	1.16%	0.00%	2.37%					
19	. Малышкин Олег Александрович	115	19	13	18	20	2	5	1	3	0	1	15	4	2	1	1	1	1	0	0	1	1	6					
		1.19%	1.74%	1.52%	2.18%	2.20%	0.26%	0.57%	0.33%	1.60%	0.00%	0.50%	2.33%	2.86%	0.49%	0.81%	0.23%	0.83%	0.29%	0.00%	0.00%	0.23%	1.00%	0.89%					
20	. Миронов Сергей Михайлович	39	0	5	6	1	2	1	0	1	3	3	0	2	1	0	1	2	3	0	0	2	0	6					
		0.40%	0.00%	0.59%	0.73%	0.11%	0.26%	0.11%	0.00%	0.53%	3.03%	1.50%	0.00%	1.43%	0.25%	0.00%	0.23%	1.65%	0.87%	0.00%	0.00%	0.46%	0.00%	0.89%					
21	. Путин Владимир Владимирович	7583	943	633	586	669	620	688	231	135	79	148	575	115	325	101	320	93	250	58	88	327	80	519					
		78.17%	86.36%	74.12%	71.12%	73.52%	80.42%	78.81%	77.26%	72.19%	79.80%	74.00%	89.15%	82.14%	79.85%	82.11%	73.90%	76.86%	72.46%	82.86%	85.44%	75.87%	80.00%	77.00%					
22	. Хакамада Ирина Муцуовна	178	14	24	15	20	11	18	3	8	5	4	12	1	3	2	10	0	5	0	3	6	2	12					
		1.83%	1.28%	2.81%	1.82%	2.20%	1.43%	2.06%	1.00%	4.28%	5.05%	2.00%	1.86%	0.71%	0.74%	1.63%	2.31%	0.00%	1.45%	0.00%	2.91%	1.39%	2.00%	1.78%					
23	. Харитонов Николай Михайлович	1417	70	131	146	156	119	145	58	34	9	39	18	12	69	15	84	25	59	10	10	85	17	106					
		14.61%	6.41%	15.34%	17.72%	17.14%	15.43%	16.61%	19.40%	18.18%	9.09%	19.50%	2.79%	8.57%	16.95%	12.20%	19.40%	20.66%	17.10%	14.29%	9.71%	19.72%	17.00%	15.73%					
																													
24	Против всех	144	19	20	20	19	10	3	2	4	1	2	15	5	3	1	4	0	2	1	1	4	0	8					
		1.48%	1.74%	2.34%	2.43%	2.09%	1.30%	0.34%	0.67%	2.14%	1.01%	1.00%	2.33%	3.57%	0.74%	0.81%	0.92%	0.00%	0.58%	1.43%	0.97%	0.93%	0.00%	1.19%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
