Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Новодеревенская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в список"	9216	3321	197	181	130	413	313	371	158	212	77	227	296	75	82	98	764	452	92	225	171	87	106	309	241	353	265					
2	Число полученных избирательных бюллетеней	8340	2550	200	180	140	410	310	380	160	260	70	220	290	80	80	100	600	450	90	230	170	90	100	310	240	360	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5221	1796	124	83	92	223	175	224	95	159	39	137	183	47	55	52	471	263	29	128	85	56	57	129	125	226	168					
5	"Число избирательных бюллетеней, выданных вне помещения"	1313	145	23	55	25	98	68	76	25	53	23	59	56	21	11	39	29	86	44	46	53	19	39	88	68	43	21					
6	Число погашенных избирательных бюллетеней	1806	609	53	42	23	89	67	80	40	48	8	24	51	12	14	9	100	101	17	56	32	15	4	93	47	91	81					
7	Число избирательных бюллетеней в переносных ящиках	1313	145	23	55	25	98	68	76	25	53	23	59	56	21	11	39	29	86	44	46	53	19	39	88	68	43	21					
8	Число бюллетеней в стационарных ящиках для голосования	5221	1796	124	83	92	223	175	224	95	159	39	137	183	47	55	52	471	263	29	128	85	56	57	129	125	226	168					
9	Число недействительных избирательных бюллетеней	101	25	0	0	6	2	4	4	1	0	0	3	7	0	1	2	11	7	2	2	0	0	2	2	12	5	3					
10	Число действительных избирательных бюллетеней	6433	1916	147	138	111	319	239	296	119	212	62	193	232	68	65	89	489	342	71	172	138	75	94	215	181	264	186					
11	Число полученных открепительных  удостоверений	300	50	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	22	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	7	2	0	1	1	1	0	1	1	3	1	1	0	0	1	0	0	1	1	1	2	3	1	3	2	1					
14	Число неиспользованных открепительных удостоверений	278	36	10	10	9	10	10	10	10	10	10	10	10	10	10	10	6	10	10	10	10	9	10	10	8	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	135	43	3	4	6	6	7	4	2	6	0	0	2	1	2	1	8	15	2	2	1	1	3	1	6	5	4					
		2.07%	2.22%	2.04%	2.90%	5.13%	1.87%	2.88%	1.33%	1.67%	2.83%	0.00%	0.00%	0.84%	1.47%	3.03%	1.10%	1.60%	4.30%	2.74%	1.15%	0.72%	1.33%	3.12%	0.46%	3.11%	1.86%	2.12%					
19	. Малышкин Олег Александрович	133	42	4	4	3	10	2	9	2	3	0	5	6	1	0	1	10	6	1	2	1	0	2	6	4	7	2					
		2.04%	2.16%	2.72%	2.90%	2.56%	3.12%	0.82%	3.00%	1.67%	1.42%	0.00%	2.55%	2.51%	1.47%	0.00%	1.10%	2.00%	1.72%	1.37%	1.15%	0.72%	0.00%	2.08%	2.76%	2.07%	2.60%	1.06%					
20	. Миронов Сергей Михайлович	46	8	0	1	2	2	5	3	0	2	0	1	1	1	1	0	3	4	1	3	1	0	1	3	2	0	1					
		0.70%	0.41%	0.00%	0.72%	1.71%	0.62%	2.06%	1.00%	0.00%	0.94%	0.00%	0.51%	0.42%	1.47%	1.52%	0.00%	0.60%	1.15%	1.37%	1.72%	0.72%	0.00%	1.04%	1.38%	1.04%	0.00%	0.53%					
21	. Путин Владимир Владимирович	5073	1468	126	112	89	276	195	237	92	165	49	149	184	57	58	78	382	256	50	154	111	67	62	164	125	204	163					
		77.64%	75.63%	85.71%	81.16%	76.07%	85.98%	80.25%	79.00%	76.67%	77.83%	79.03%	76.02%	76.99%	83.82%	87.88%	85.71%	76.40%	73.35%	68.49%	88.51%	80.43%	89.33%	64.58%	75.58%	64.77%	75.84%	86.24%					
22	. Хакамада Ирина Муцуовна	78	31	1	1	1	0	0	3	0	4	1	5	5	1	0	0	6	5	1	1	1	1	3	0	2	5	0					
		1.19%	1.60%	0.68%	0.72%	0.85%	0.00%	0.00%	1.00%	0.00%	1.89%	1.61%	2.55%	2.09%	1.47%	0.00%	0.00%	1.20%	1.43%	1.37%	0.57%	0.72%	1.33%	3.12%	0.00%	1.04%	1.86%	0.00%					
23	. Харитонов Николай Михайлович	825	265	7	16	8	23	24	34	22	29	12	26	28	7	4	8	64	51	14	10	23	2	23	38	38	35	14					
		12.63%	13.65%	4.76%	11.59%	6.84%	7.17%	9.88%	11.33%	18.33%	13.68%	19.35%	13.27%	11.72%	10.29%	6.06%	8.79%	12.80%	14.61%	19.18%	5.75%	16.67%	2.67%	23.96%	17.51%	19.69%	13.01%	7.41%					
																																	
24	Против всех	143	59	6	0	2	2	6	6	1	3	0	7	6	0	0	1	16	5	2	0	0	4	0	3	4	8	2					
		2.19%	3.04%	4.08%	0.00%	1.71%	0.62%	2.47%	2.00%	0.83%	1.42%	0.00%	3.57%	2.51%	0.00%	0.00%	1.10%	3.20%	1.43%	2.74%	0.00%	0.00%	5.33%	0.00%	1.38%	2.07%	2.97%	1.06%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
