Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кольчугинская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145					
1	"Число избирателей, внесенных в список"	47944	2716	1211	1467	1599	1363	1424	1586	1554	1411	2744	1338	1646	1318	1936	1324	1783	2168	1399	1534	1543	1734	1735	2821	2015	706	353	473	170	498	317	130	258	353	117	170	361	415	140	128	539	612	217	618					
2	Число полученных избирательных бюллетеней	48020	2756	1180	1479	1601	1392	1447	1597	1438	1417	2765	1359	1678	1307	1938	1296	1808	2203	1410	1544	1511	1718	1739	2853	2016	707	345	467	174	503	316	130	258	359	104	172	373	406	142	133	535	612	210	622					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23768	1341	624	747	785	639	591	811	743	732	1431	794	915	579	913	617	841	1109	669	747	759	761	868	1477	1001	458	158	200	99	240	142	88	124	224	69	87	158	203	84	67	260	238	103	272					
5	"Число избирательных бюллетеней, выданных вне помещения"	2977	80	46	53	76	114	190	96	95	14	64	46	32	23	59	132	53	22	66	91	65	39	53	212	25	58	95	120	29	95	40	26	37	37	18	10	59	79	15	31	102	210	39	131					
6	Число погашенных избирательных бюллетеней	21275	1335	510	679	740	639	666	690	600	671	1270	519	731	705	966	547	914	1072	675	706	687	918	818	1164	990	191	92	147	46	168	134	16	97	98	17	75	156	124	43	35	173	164	68	219					
7	Число избирательных бюллетеней в переносных ящиках	2977	80	46	53	76	114	190	96	95	14	64	46	32	23	59	132	53	22	66	91	65	39	53	212	25	58	95	120	29	95	40	26	37	37	18	10	59	79	15	31	102	210	39	131					
8	Число бюллетеней в стационарных ящиках для голосования	23700	1341	624	747	785	639	591	811	743	732	1431	794	915	579	913	617	841	1107	603	747	759	761	868	1477	1001	458	158	200	99	240	142	88	124	224	69	87	158	203	84	67	260	238	103	272					
9	Число недействительных избирательных бюллетеней	258	12	3	13	11	11	4	7	10	0	20	2	12	5	9	31	4	10	5	3	11	11	12	15	11	3	2	7	0	2	0	1	0	2	2	0	0	3	0	0	1	1	0	2					
10	Число действительных избирательных бюллетеней	26419	1409	667	787	850	742	777	900	828	746	1475	838	935	597	963	718	890	1119	664	835	813	789	909	1674	1015	513	251	313	128	333	182	113	161	259	85	97	217	279	99	98	361	447	142	401					
11	Число полученных открепительных  удостоверений	453	25	10	10	10	12	10	10	10	10	31	25	10	10	10	10	25	25	10	10	10	10	15	20	15	8	3	18	2	3	9	2	3	6	5	3	4	5	7	4	10	12	3	3					
12	Число выданных открепительных удостоверений	293	21	6	9	9	10	5	2	6	1	28	19	8	6	6	3	15	20	7	9	7	3	10	18	6	8	0	12	0	0	3	0	2	5	0	1	3	2	6	2	6	9	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	204	7	6	7	8	15	5	10	4	1	11	4	2	1	5	9	6	7	5	5	5	3	2	5	8	11	2	3	3	3	1	3	2	2	1	3	0	3	8	2	1	3	3	9					
14	Число неиспользованных открепительных удостоверений	160	4	4	1	1	2	5	8	4	9	3	6	2	4	4	7	10	5	3	1	3	7	5	2	9	0	3	6	2	3	6	2	1	1	5	2	1	3	1	2	4	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1546	71	47	58	74	56	33	54	42	48	113	79	73	45	67	38	58	82	36	42	46	39	56	104	63	13	6	3	0	5	3	0	3	13	6	4	5	16	7	7	2	13	5	11					
		5.80%	5.00%	7.01%	7.25%	8.59%	7.44%	4.23%	5.95%	5.01%	6.43%	7.56%	9.40%	7.71%	7.48%	6.89%	5.07%	6.49%	7.26%	5.38%	5.01%	5.58%	4.88%	6.08%	6.16%	6.14%	2.52%	2.37%	0.94%	0.00%	1.49%	1.65%	0.00%	1.86%	4.98%	6.90%	4.12%	2.30%	5.67%	7.07%	7.14%	0.55%	2.90%	3.52%	2.73%					
19	. Малышкин Олег Александрович	744	45	23	16	21	15	26	24	22	24	34	20	25	22	27	25	28	35	17	21	22	23	22	25	35	8	7	16	9	10	8	0	3	12	3	6	2	5	2	2	13	30	2	9					
		2.79%	3.17%	3.43%	2.00%	2.44%	1.99%	3.33%	2.65%	2.63%	3.22%	2.27%	2.38%	2.64%	3.65%	2.78%	3.34%	3.13%	3.10%	2.54%	2.51%	2.67%	2.88%	2.39%	1.48%	3.41%	1.55%	2.77%	5.00%	7.03%	2.99%	4.40%	0.00%	1.86%	4.60%	3.45%	6.19%	0.92%	1.77%	2.02%	2.04%	3.59%	6.70%	1.41%	2.23%					
20	. Миронов Сергей Михайлович	207	8	6	2	8	3	2	7	6	10	9	5	6	8	8	9	11	8	7	6	4	5	10	11	9	4	3	3	3	4	2	0	2	2	0	2	2	3	3	0	1	4	1	0					
		0.78%	0.56%	0.90%	0.25%	0.93%	0.40%	0.26%	0.77%	0.72%	1.34%	0.60%	0.60%	0.63%	1.33%	0.82%	1.20%	1.23%	0.71%	1.05%	0.72%	0.49%	0.62%	1.09%	0.65%	0.88%	0.78%	1.19%	0.94%	2.34%	1.19%	1.10%	0.00%	1.24%	0.77%	0.00%	2.06%	0.92%	1.06%	3.03%	0.00%	0.28%	0.89%	0.70%	0.00%					
21	. Путин Владимир Владимирович	17945	954	441	525	519	494	577	599	556	486	938	537	604	373	639	487	588	736	470	604	581	535	637	1138	649	396	203	232	103	270	134	95	130	156	51	70	168	195	41	73	235	316	98	312					
		67.27%	67.14%	65.82%	65.62%	60.28%	65.60%	73.88%	66.04%	66.35%	65.15%	62.74%	63.93%	63.78%	61.96%	65.74%	65.02%	65.77%	65.19%	70.25%	72.08%	70.51%	66.88%	69.16%	67.38%	63.26%	76.74%	80.24%	72.50%	80.47%	80.60%	73.63%	83.33%	80.75%	59.77%	58.62%	72.16%	77.42%	69.15%	41.41%	74.49%	64.92%	70.54%	69.01%	77.42%					
22	. Хакамада Ирина Муцуовна	671	41	10	28	30	29	13	25	28	18	36	25	36	19	22	12	17	34	17	24	18	29	27	32	23	7	8	10	3	3	4	3	1	2	3	1	1	6	7	2	5	7	0	5					
		2.52%	2.89%	1.49%	3.50%	3.48%	3.85%	1.66%	2.76%	3.34%	2.41%	2.41%	2.98%	3.80%	3.16%	2.26%	1.60%	1.90%	3.01%	2.54%	2.86%	2.18%	3.62%	2.93%	1.89%	2.24%	1.36%	3.16%	3.12%	2.34%	0.90%	2.20%	2.63%	0.62%	0.77%	3.45%	1.03%	0.46%	2.13%	7.07%	2.04%	1.38%	1.56%	0.00%	1.24%					
23	. Харитонов Николай Михайлович	4107	227	109	114	152	104	98	158	143	117	277	132	129	104	145	108	137	139	90	100	118	121	113	302	168	67	21	43	8	37	24	11	20	62	20	11	34	46	39	12	99	62	30	56					
		15.40%	15.97%	16.27%	14.25%	17.65%	13.81%	12.55%	17.42%	17.06%	15.68%	18.53%	15.71%	13.62%	17.28%	14.92%	14.42%	15.32%	12.31%	13.45%	11.93%	14.32%	15.12%	12.27%	17.88%	16.37%	12.98%	8.30%	13.44%	6.25%	11.04%	13.19%	9.65%	12.42%	23.75%	22.99%	11.34%	15.67%	16.31%	39.39%	12.24%	27.35%	13.84%	21.13%	13.90%					
																																																		
24	Против всех	1199	63	31	44	46	41	28	33	31	43	68	40	62	26	55	39	51	85	27	38	24	37	44	62	68	18	3	6	2	4	7	4	2	12	2	3	5	8	0	2	6	15	6	8					
		4.49%	4.43%	4.63%	5.50%	5.34%	5.44%	3.59%	3.64%	3.70%	5.76%	4.55%	4.76%	6.55%	4.32%	5.66%	5.21%	5.70%	7.53%	4.04%	4.53%	2.91%	4.62%	4.78%	3.67%	6.63%	3.49%	1.19%	1.88%	1.56%	1.19%	3.85%	3.51%	1.24%	4.60%	2.30%	3.09%	2.30%	2.84%	0.00%	2.04%	1.66%	3.35%	4.23%	1.99%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
