Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Можайский район																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №3181	УИК №3182					
		6.12%	6.73%	4.97%	4.35%	5.71%	7.57%	5.54%	5.73%	4.09%	4.70%	7.26%	4.63%	6.24%	6.75%	5.65%	7.25%	2.95%	4.97%	6.13%	8.00%	7.59%	5.47%	5.45%	6.74%	5.89%	7.23%	7.15%	6.48%	8.24%	5.59%	6.97%	7.30%	4.28%	6.53%	5.43%	7.07%	5.71%	12.03%					
19	. Малышкин Олег Александрович	650	23	17	11	19	15	9	12	23	19	17	14	10	11	13	14	17	12	18	19	13	15	13	11	23	88	27	9	18	23	15	31	16	16	16	13	8	2					
		1.26%	1.49%	1.04%	0.70%	1.60%	1.01%	0.47%	0.64%	1.81%	1.79%	1.18%	1.06%	0.83%	0.69%	0.88%	1.00%	1.39%	1.01%	1.35%	1.34%	0.88%	1.49%	1.07%	0.88%	1.46%	4.61%	1.37%	0.62%	1.48%	1.37%	1.16%	1.94%	0.95%	1.19%	0.92%	0.93%	2.17%	1.27%					
20	. Миронов Сергей Михайлович	375	5	8	8	8	7	21	7	6	7	13	4	11	5	20	8	6	6	3	8	10	7	7	3	17	76	17	10	7	9	11	12	9	7	2	6	1	3					
		0.73%	0.32%	0.49%	0.51%	0.67%	0.47%	1.11%	0.37%	0.47%	0.66%	0.90%	0.30%	0.92%	0.31%	1.36%	0.57%	0.49%	0.51%	0.22%	0.57%	0.68%	0.70%	0.58%	0.24%	1.08%	3.98%	0.86%	0.69%	0.58%	0.54%	0.85%	0.75%	0.53%	0.52%	0.12%	0.43%	0.27%	1.90%					
21	. Путин Владимир Владимирович	33527	1027	924	804	840	954	1046	1104	942	776	983	914	867	945	1026	1003	646	665	935	945	1003	696	796	813	1129	1241	1418	1027	816	996	908	1083	1044	971	970	904	268	98					
		65.19%	66.43%	56.72%	51.44%	70.53%	63.94%	55.17%	59.13%	74.17%	73.00%	67.98%	69.40%	72.13%	59.03%	69.80%	71.95%	52.99%	56.07%	69.93%	66.88%	68.00%	69.25%	65.79%	65.20%	71.46%	65.04%	71.87%	70.78%	67.22%	59.22%	70.28%	67.60%	62.00%	72.03%	56.00%	64.57%	72.83%	62.03%					
22	. Хакамада Ирина Муцуовна	3514	132	86	104	78	127	140	118	80	64	109	119	69	80	95	88	39	82	88	104	96	61	85	97	86	149	190	99	81	87	122	116	101	88	104	129	18	3					
		6.83%	8.54%	5.28%	6.65%	6.55%	8.51%	7.38%	6.32%	6.30%	6.02%	7.54%	9.04%	5.74%	5.00%	6.46%	6.31%	3.20%	6.91%	6.58%	7.36%	6.51%	6.07%	7.02%	7.78%	5.44%	7.81%	9.63%	6.82%	6.67%	5.17%	9.44%	7.24%	6.00%	6.53%	6.00%	9.21%	4.89%	1.90%					
23	. Харитонов Николай Михайлович	4112	136	103	103	74	131	131	102	96	68	118	107	93	106	124	105	81	74	131	129	148	98	110	146	128	172	169	119	110	120	115	135	127	93	123	135	31	21					
		8.00%	8.80%	6.32%	6.59%	6.21%	8.78%	6.91%	5.46%	7.56%	6.40%	8.16%	8.12%	7.74%	6.62%	8.44%	7.53%	6.64%	6.24%	9.80%	9.13%	10.03%	9.75%	9.09%	11.71%	8.10%	9.01%	8.57%	8.20%	9.06%	7.13%	8.90%	8.43%	7.54%	6.90%	7.10%	9.64%	8.42%	13.29%					
																																												
24	Против всех	2455	105	21	78	92	131	88	111	59	65	83	88	61	23	90	65	52	19	65	82	84	61	71	79	91	20	11	82	76	91	20	91	21	78	68	105	20	8					
		4.77%	6.79%	1.29%	4.99%	7.72%	8.78%	4.64%	5.95%	4.65%	6.11%	5.74%	6.68%	5.07%	1.44%	6.12%	4.66%	4.27%	1.60%	4.86%	5.80%	5.69%	6.07%	5.87%	6.34%	5.76%	1.05%	0.56%	5.65%	6.26%	5.41%	1.55%	5.68%	1.25%	5.79%	3.93%	7.50%	5.43%	5.06%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
