Выборы Президента Российской Федерации																																																																																																								
Дата голосования: 02.03.2008																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Якутская городская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
	Число участковых избирательных комиссий	97																																																																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	97																																																																																																						
																																																																																																								
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817					
1	"Число избирателей, включенных в списки избирателей"	159430	1578	1212	3293	1115	1003	1496	1830	1872	2054	1642	2500	2353	3010	2821	2134	1748	1760	1757	573	1713	1539	1740	624	2236	1748	2067	1389	1372	2499	2053	716	1567	1992	1667	2076	1201	1821	2443	1320	2649	1306	1860	1382	791	2268	1587	912	1329	1262	1470	1713	1115	2250	1775	1677	2404	2412	1459	1318	2114	1394	979	2100	780	1545	2039	2526	2325	1509	1489	422	1414	2670	688	2269	1375	630	2517	716	1160	1614	1752	1630	1516	478	168	1321	2885	1472	2566	2281	874	1052	812	1186	1717	972					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	143754	1500	1100	2900	900	800	1500	1500	2000	2000	1600	2300	2100	2500	2500	2000	1800	1700	1400	600	2100	1500	1400	700	2000	1900	1900	1600	2000	2000	1800	650	1200	2000	1400	1800	1300	1900	2400	1204	2500	1300	1800	1400	700	1500	1800	1000	900	1400	1400	1400	1200	2000	1800	1800	2000	2500	1400	1400	1400	1000	900	1900	700	1100	1400	2300	2000	1200	1000	400	1300	2300	500	2000	1200	500	2300	700	900	1200	1200	1200	1400	500	200	1000	2250	1300	2400	2000	700	1000	700	900	1250	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	107271	1158	889	2371	751	733	1043	1016	1348	1410	1218	1830	1445	1456	1678	1406	1349	1210	1376	391	1423	1381	1254	362	1590	1353	1473	1164	1121	1733	841	226	1162	1505	1350	1486	991	1265	1729	998	1987	911	946	846	466	1322	1145	672	701	1143	1273	1058	1092	1552	1207	1328	1610	1605	1076	913	1257	820	599	1455	507	886	1177	1575	1472	858	845	231	833	1897	404	1322	811	412	1359	430	750	918	1117	1044	1061	274	127	713	1895	837	1819	1611	604	763	579	779	1217	675					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5846	27	87	33	18	25	16	356	30	29	26	27	36	21	39	56	55	18	6	6	72	43	38	8	36	29	43	69	18	46	641	312	25	31	32	34	42	64	63	36	191	20	23	21	10	178	34	17	31	19	34	46	23	62	32	26	39	45	31	37	32	20	35	33	3	22	70	90	47	38	29	38	48	128	22	64	55	18	689	18	54	80	54	36	99	73	12	61	98	94	89	30	9	22	13	0	1	10					
6	Число погашенных избирательных бюллетеней	30637	315	124	496	131	42	441	128	622	561	356	443	619	1023	783	538	396	472	18	203	605	76	108	330	374	518	384	367	861	221	318	112	13	464	18	280	267	571	608	170	322	369	831	533	224	0	621	311	168	238	93	296	85	386	561	446	351	850	293	450	111	160	266	412	190	192	153	635	481	304	126	131	419	275	74	614	334	70	252	252	96	202	29	120	240	153	61	226	257	369	492	359	87	215	108	121	32	215					
