11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																		
13	Бабурин Сергей Николаевич	529	5	3	5	2	7	4	3	5	6	3	3	1	2	5	5	4	6	8	1	3	13	8	2	9	4	6	8	5	9	6	3	3	8	6	7	6	5	5	4	6	3	2	8	4	9	6	5	3	6	8	4	6	3	5	8	8	7	3	3	9	2	1	7	1	4	4	11	6	3	3	0	2	2	3	2	6	4	2	1	3	4	6	7	4	1	1	5	3	2	4	6	6	4	4	7	3	8	1	6	0	9	6	0	1	2	9	3	3	2	3	4	1	6	1	4	1	6	1	4									
		0.37%	0.40%	0.24%	0.31%	0.30%	0.67%	0.22%	0.19%	0.38%	0.31%	0.26%	0.24%	0.07%	0.14%	0.53%	0.36%	0.34%	0.41%	0.44%	0.08%	0.20%	0.64%	0.35%	0.36%	0.47%	0.31%	0.37%	0.62%	0.63%	0.44%	0.31%	0.28%	0.25%	0.48%	0.36%	0.43%	0.48%	0.44%	0.58%	0.38%	0.39%	0.34%	0.22%	0.41%	0.83%	0.94%	0.53%	0.24%	0.21%	0.30%	0.77%	0.35%	0.60%	0.20%	0.36%	0.55%	0.54%	0.42%	0.22%	0.32%	0.55%	0.34%	0.11%	0.53%	0.14%	0.38%	0.39%	0.68%	0.61%	0.23%	0.32%	0.00%	0.28%	0.14%	0.24%	0.20%	0.61%	0.37%	0.23%	0.08%	0.34%	0.39%	0.46%	0.54%	0.31%	0.28%	0.74%	0.69%	0.21%	0.17%	0.30%	0.36%	0.53%	0.26%	0.44%	0.75%	0.20%	1.03%	0.06%	0.54%	0.00%	0.46%	0.39%	0.00%	0.08%	0.67%	1.34%	0.52%	0.49%	0.28%	0.27%	0.66%	0.05%	0.89%	0.17%	0.43%	0.10%	0.55%	0.21%	0.77%									
14	Грудинин Павел Николаевич	43864	365	466	503	228	348	578	570	394	698	421	437	428	489	310	429	394	504	434	437	474	666	735	191	616	417	516	383	263	616	589	356	364	520	536	514	369	319	269	298	415	245	266	619	147	334	347	706	475	644	358	299	254	499	389	366	343	451	329	307	455	152	256	290	195	308	267	374	227	395	244	41	131	591	376	318	276	326	218	459	250	199	199	206	468	70	36	166	462	398	507	522	389	497	300	254	470	247	552	396	229	643	432	495	345	104	186	157	191	227	385	215	805	235	195	262	338	390	153	153									
		30.86%	28.99%	37.86%	31.01%	34.08%	33.40%	32.44%	35.34%	29.58%	36.37%	36.77%	35.30%	30.62%	34.73%	32.80%	31.27%	33.50%	34.19%	23.78%	34.74%	31.31%	32.60%	32.49%	34.66%	32.47%	32.55%	31.70%	29.60%	33.17%	30.21%	30.41%	33.52%	30.21%	31.21%	31.75%	31.51%	29.45%	28.36%	31.24%	28.49%	27.16%	27.78%	28.85%	32.06%	30.37%	34.86%	30.87%	33.40%	32.80%	32.71%	34.26%	25.82%	25.27%	32.66%	28.33%	25.10%	22.97%	27.37%	24.05%	32.90%	27.59%	25.59%	27.38%	21.99%	27.50%	29.17%	26.31%	23.29%	23.09%	30.25%	26.29%	15.41%	18.42%	40.84%	30.69%	31.12%	28.11%	30.24%	24.89%	36.49%	28.74%	19.55%	15.18%	15.94%	36.51%	19.66%	26.47%	22.93%	33.05%	32.95%	37.70%	31.69%	34.27%	31.94%	32.86%	27.28%	30.92%	31.87%	35.38%	35.48%	38.36%	32.71%	28.22%	42.27%	29.04%	34.67%	27.68%	27.16%	30.96%	31.88%	35.26%	35.60%	42.06%	34.97%	32.83%	28.14%	33.80%	35.75%	31.81%	29.42%									
15	Жириновский Владимир Вольфович	3826	48	47	7	18	28	38	41	52	42	32	32	39	35	34	32	16	15	11	14	25	40	31	13	37	26	31	45	21	39	43	40	19	32	31	24	26	29	20	32	19	31	30	46	21	36	36	35	46	29	24	33	36	26	49	54	46	68	30	35	54	25	35	65	23	37	48	77	41	55	40	30	54	19	28	40	46	69	41	31	37	62	78	85	13	17	2	41	33	34	41	25	9	26	17	6	10	15	30	25	15	14	39	7	42	12	26	28	25	29	39	17	32	21	28	29	9	9	13	13									
		2.69%	3.81%	3.82%	0.43%	2.69%	2.69%	2.13%	2.54%	3.90%	2.19%	2.79%	2.58%	2.79%	2.49%	3.60%	2.33%	1.36%	1.02%	0.60%	1.11%	1.65%	1.96%	1.37%	2.36%	1.95%	2.03%	1.90%	3.48%	2.65%	1.91%	2.22%	3.77%	1.58%	1.92%	1.84%	1.47%	2.08%	2.58%	2.32%	3.06%	1.24%	3.51%	3.25%	2.38%	4.34%	3.76%	3.20%	1.66%	3.18%	1.47%	2.30%	2.85%	3.58%	1.70%	3.57%	3.70%	3.08%	4.13%	2.19%	3.75%	3.27%	4.21%	3.74%	4.93%	3.24%	3.50%	4.73%	4.79%	4.17%	4.21%	4.31%	11.28%	7.59%	1.31%	2.29%	3.91%	4.68%	6.40%	4.68%	2.46%	4.25%	6.09%	5.95%	6.58%	1.01%	4.78%	1.47%	5.66%	2.36%	2.81%	3.05%	1.52%	0.79%	1.67%	1.86%	0.64%	0.66%	1.94%	1.92%	2.24%	2.51%	0.71%	2.55%	0.60%	3.54%	4.00%	3.87%	4.84%	4.05%	4.07%	3.57%	2.81%	1.67%	3.13%	4.71%	3.11%	0.90%	0.82%	2.70%	2.50%									
16	Путин Владимир Владимирович	85732	791	660	1008	386	612	1042	931	813	1067	627	708	873	801	548	835	680	859	1236	705	887	1141	1324	316	1092	741	950	771	448	1237	1189	609	756	1010	997	973	774	694	503	652	1000	543	574	1149	296	539	685	1236	852	1195	592	757	640	897	832	943	998	1015	895	540	1049	379	589	914	462	653	668	1014	640	789	602	188	499	767	723	623	622	604	566	732	536	709	981	944	755	247	92	480	835	725	730	945	647	929	539	596	956	452	899	628	338	1141	978	634	760	168	419	358	367	415	608	340	980	374	344	571	573	614	291	327									
		60.31%	62.83%	53.61%	62.15%	57.70%	58.73%	58.47%	57.72%	61.04%	55.60%	54.76%	57.19%	62.45%	56.89%	57.99%	60.86%	57.82%	58.28%	67.73%	56.04%	58.59%	55.85%	58.53%	57.35%	57.56%	57.85%	58.35%	59.58%	56.49%	60.67%	61.38%	57.34%	62.74%	60.62%	59.06%	59.66%	61.77%	61.69%	58.42%	62.33%	65.45%	61.56%	62.26%	59.50%	61.16%	56.26%	60.94%	58.47%	58.84%	60.69%	56.65%	65.37%	63.68%	58.70%	60.60%	64.68%	66.85%	61.59%	65.42%	57.88%	63.61%	63.80%	62.99%	69.29%	65.16%	61.84%	65.81%	63.14%	65.11%	60.41%	64.87%	70.68%	70.18%	53.01%	59.02%	60.96%	63.34%	56.03%	64.61%	58.19%	61.61%	69.65%	74.83%	73.07%	58.89%	69.38%	67.65%	66.30%	59.73%	60.02%	54.28%	57.38%	57.00%	59.70%	59.04%	64.02%	62.89%	58.32%	57.63%	56.27%	56.62%	58.04%	63.88%	54.14%	63.97%	56.00%	62.35%	61.94%	59.48%	58.29%	55.68%	56.29%	51.20%	55.65%	57.91%	61.33%	57.30%	56.28%	60.50%	62.88%									
17	Собчак Ксения Анатольевна	3914	26	22	46	13	22	63	40	31	60	38	24	25	32	28	35	43	48	86	64	56	101	91	17	72	43	64	39	37	75	46	26	34	50	74	65	36	35	33	31	50	23	23	59	8	21	22	75	33	46	25	27	35	44	48	42	49	47	35	20	38	13	17	18	12	14	9	28	26	26	18	2	10	36	16	14	11	37	17	20	11	9	7	21	18	8	4	4	31	26	32	75	41	61	28	36	43	29	54	32	9	89	27	14	18	5	13	13	10	15	28	18	40	18	8	29	43	37	15	10									
		2.75%	2.07%	1.79%	2.84%	1.94%	2.11%	3.54%	2.48%	2.33%	3.13%	3.32%	1.94%	1.79%	2.27%	2.96%	2.55%	3.66%	3.26%	4.71%	5.09%	3.70%	4.94%	4.02%	3.09%	3.80%	3.36%	3.93%	3.01%	4.67%	3.68%	2.37%	2.45%	2.82%	3.00%	4.38%	3.99%	2.87%	3.11%	3.83%	2.96%	3.27%	2.61%	2.49%	3.06%	1.65%	2.19%	1.96%	3.55%	2.28%	2.34%	2.39%	2.33%	3.48%	2.88%	3.50%	2.88%	3.28%	2.85%	2.56%	2.14%	2.30%	2.19%	1.82%	1.36%	1.69%	1.33%	0.89%	1.74%	2.64%	1.99%	1.94%	0.75%	1.41%	2.49%	1.31%	1.37%	1.12%	3.43%	1.94%	1.59%	1.26%	0.88%	0.53%	1.63%	1.40%	2.25%	2.94%	0.55%	2.22%	2.15%	2.38%	4.55%	3.61%	3.92%	3.07%	3.87%	2.83%	3.74%	3.46%	2.87%	1.51%	4.53%	1.76%	1.20%	1.52%	1.67%	1.93%	2.25%	1.62%	2.11%	2.56%	2.98%	2.09%	2.68%	1.35%	3.11%	4.30%	3.39%	3.12%	1.92%									
18	Сурайкин Максим Александрович	505	5	6	5	4	2	6	5	4	2	4	4	2	10	4	6	6	3	9	6	11	6	8	3	5	7	7	4	0	6	8	2	3	5	6	10	6	4	4	5	2	3	4	3	3	3	2	5	2	7	5	5	4	6	6	3	6	3	7	2	5	3	6	8	0	7	3	9	4	8	3	0	1	3	3	6	0	6	2	4	8	4	5	4	2	4	0	5	3	2	4	11	8	3	2	1	0	4	2	5	1	7	4	2	3	1	3	2	2	6	5	4	12	2	1	1	1	4	2	0									
		0.36%	0.40%	0.49%	0.31%	0.60%	0.19%	0.34%	0.31%	0.30%	0.10%	0.35%	0.32%	0.14%	0.71%	0.42%	0.44%	0.51%	0.20%	0.49%	0.48%	0.73%	0.29%	0.35%	0.54%	0.26%	0.55%	0.43%	0.31%	0.00%	0.29%	0.41%	0.19%	0.25%	0.30%	0.36%	0.61%	0.48%	0.36%	0.46%	0.48%	0.13%	0.34%	0.43%	0.16%	0.62%	0.31%	0.18%	0.24%	0.14%	0.36%	0.48%	0.43%	0.40%	0.39%	0.44%	0.21%	0.40%	0.18%	0.51%	0.21%	0.30%	0.51%	0.64%	0.61%	0.00%	0.66%	0.30%	0.56%	0.41%	0.61%	0.32%	0.00%	0.14%	0.21%	0.24%	0.59%	0.00%	0.56%	0.23%	0.32%	0.92%	0.39%	0.38%	0.31%	0.16%	1.12%	0.00%	0.69%	0.21%	0.17%	0.30%	0.67%	0.70%	0.19%	0.22%	0.11%	0.00%	0.52%	0.13%	0.45%	0.17%	0.36%	0.26%	0.17%	0.25%	0.33%	0.45%	0.35%	0.32%	0.84%	0.46%	0.66%	0.63%	0.30%	0.17%	0.11%	0.10%	0.37%	0.42%	0.00%									
19	Титов Борис Юрьевич	889	7	9	13	3	5	10	6	10	9	7	10	7	9	1	6	10	10	9	12	18	22	15	3	22	11	17	14	7	16	15	5	7	8	12	10	12	8	4	5	7	6	4	9	0	3	3	11	15	7	13	8	10	16	15	12	7	15	10	8	10	5	6	4	2	6	3	3	8	12	3	2	3	7	4	4	6	12	2	1	5	6	9	3	3	2	0	4	8	4	10	17	5	9	5	4	9	3	7	4	1	14	5	2	5	2	5	2	1	6	4	0	15	4	5	9	9	12	2	3									
		0.63%	0.56%	0.73%	0.80%	0.45%	0.48%	0.56%	0.37%	0.75%	0.47%	0.61%	0.81%	0.50%	0.64%	0.11%	0.44%	0.85%	0.68%	0.49%	0.95%	1.19%	1.08%	0.66%	0.54%	1.16%	0.86%	1.04%	1.08%	0.88%	0.78%	0.77%	0.47%	0.58%	0.48%	0.71%	0.61%	0.96%	0.71%	0.46%	0.48%	0.46%	0.68%	0.43%	0.47%	0.00%	0.31%	0.27%	0.52%	1.04%	0.36%	1.24%	0.69%	0.99%	1.05%	1.09%	0.82%	0.47%	0.91%	0.73%	0.86%	0.61%	0.84%	0.64%	0.30%	0.28%	0.57%	0.30%	0.19%	0.81%	0.92%	0.32%	0.75%	0.42%	0.48%	0.33%	0.39%	0.61%	1.11%	0.23%	0.08%	0.57%	0.59%	0.69%	0.23%	0.23%	0.56%	0.00%	0.55%	0.57%	0.33%	0.74%	1.03%	0.44%	0.58%	0.55%	0.43%	0.59%	0.39%	0.45%	0.36%	0.17%	0.71%	0.33%	0.17%	0.42%	0.67%	0.74%	0.35%	0.16%	0.84%	0.37%	0.00%	0.78%	0.60%	0.84%	0.97%	0.90%	1.10%	0.42%	0.58%									
20	Явлинский Григорий Алексеевич	1438	3	10	15	4	11	27	10	15	21	7	7	8	14	9	18	17	19	22	12	31	33	35	4	37	20	27	20	5	25	28	5	12	21	16	18	16	23	13	12	15	13	14	16	4	4	8	23	10	12	9	15	12	19	19	13	20	25	20	8	14	4	7	8	2	7	3	11	13	6	6	0	0	10	9	7	4	2	4	6	7	4	5	3	4	1	1	3	11	6	10	31	22	17	11	12	14	15	14	8	1	37	20	7	6	1	6	7	6	4	15	2	15	2	2	14	22	13	2	5									
		1.01%	0.24%	0.81%	0.92%	0.60%	1.06%	1.52%	0.62%	1.13%	1.09%	0.61%	0.57%	0.57%	0.99%	0.95%	1.31%	1.45%	1.29%	1.21%	0.95%	2.05%	1.62%	1.55%	0.73%	1.95%	1.56%	1.66%	1.55%	0.63%	1.23%	1.45%	0.47%	0.99%	1.26%	0.95%	1.10%	1.28%	2.04%	1.51%	1.15%	0.98%	1.47%	1.52%	0.83%	0.83%	0.42%	0.71%	1.09%	0.69%	0.61%	0.86%	1.30%	1.19%	1.24%	1.38%	0.89%	1.34%	1.52%	1.46%	0.86%	0.85%	0.67%	0.75%	0.61%	0.28%	0.66%	0.30%	0.68%	1.32%	0.46%	0.65%	0.00%	0.00%	0.69%	0.73%	0.68%	0.41%	0.19%	0.46%	0.48%	0.80%	0.39%	0.38%	0.23%	0.31%	0.28%	0.74%	0.41%	0.79%	0.50%	0.74%	1.88%	1.94%	1.09%	1.20%	1.29%	0.92%	1.94%	0.90%	0.72%	0.17%	1.88%	1.31%	0.60%	0.51%	0.33%	0.89%	1.21%	0.97%	0.56%	1.37%	0.33%	0.78%	0.30%	0.34%	1.50%	2.20%	1.19%	0.42%	0.96%									
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
