Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Черемховская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1577	УИК №1590					
1	"Число избирателей, внесенных в список"	23749	1131	154	467	391	634	287	379	182	1073	1892	1716	1429	290	817	389	126	580	240	192	208	164	157	788	253	333	221	1092	205	1702	330	592	144	700	212	770	677	100	111	623	305	292	1401					
2	Число полученных избирательных бюллетеней	23331	1090	150	465	380	638	274	370	180	1041	1820	1632	1370	290	815	390	120	570	240	190	205	162	155	798	256	335	219	1060	200	1700	329	597	140	698	210	774	680	100	108	617	303	290	1370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14068	512	109	288	309	314	145	231	137	701	978	877	628	170	610	290	73	356	168	133	111	121	125	477	162	208	169	577	129	1044	183	381	124	569	161	401	471	83	58	385	212	212	676					
5	"Число избирательных бюллетеней, выданных вне помещения"	547	69	0	24	6	47	10	17	0	11	26	14	54	0	0	0	17	18	0	0	0	0	0	9	15	21	6	4	7	0	0	15	0	0	0	46	9	0	13	0	53	5	31					
6	Число погашенных избирательных бюллетеней	8716	509	41	153	65	277	119	122	43	329	816	741	688	120	205	100	30	196	72	57	94	41	30	312	79	106	44	479	64	656	146	201	16	129	49	327	200	17	37	232	38	73	663					
7	Число избирательных бюллетеней в переносных ящиках	547	69	0	24	6	47	10	17	0	11	26	14	54	0	0	0	17	18	0	0	0	0	0	9	15	21	6	4	7	0	0	15	0	0	0	46	9	0	13	0	53	5	31					
8	Число бюллетеней в стационарных ящиках для голосования	14068	512	109	288	309	314	145	231	137	701	978	877	628	170	610	290	73	356	168	133	111	121	125	477	162	208	169	577	129	1044	183	381	124	569	161	401	471	83	58	385	212	212	676					
9	Число недействительных избирательных бюллетеней	139	4	0	2	9	7	3	6	0	0	8	12	1	2	0	6	1	7	0	0	7	0	0	0	2	2	2	8	2	13	1	5	0	0	3	7	2	0	0	4	0	5	8					
10	Число действительных избирательных бюллетеней	14476	577	109	310	306	354	152	242	137	712	996	879	681	168	610	284	89	367	168	133	104	121	125	486	175	227	173	573	134	1031	182	391	124	569	158	440	478	83	71	381	265	212	699					
