Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Серышевская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660					
1	"Число избирателей, внесенных в список"	21071	543	334	581	139	167	62	492	85	180	893	385	408	43	399	439	166	265	436	472	157	755	675	267	337	181	132	601	686	238	224	500	295	116	237	204	303	78	57	1496	1922	1864	1879	1378					
2	Число полученных избирательных бюллетеней	20889	530	336	566	143	175	63	489	90	177	882	394	420	45	401	443	219	277	459	489	166	749	720	278	351	181	133	561	664	253	244	499	298	116	236	209	301	79	58	1406	1796	1780	1875	1338					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13189	334	190	329	130	134	49	299	71	126	540	290	236	32	237	273	151	168	298	329	122	475	435	179	201	124	108	358	377	160	179	331	200	102	191	150	231	54	47	812	1078	954	1223	882					
5	"Число избирательных бюллетеней, выданных вне помещения"	952	53	56	54	4	11	2	49	4	5	19	22	59	2	37	12	15	17	28	12	13	0	38	12	10	11	6	32	73	32	23	9	13	3	8	2	10	6	0	37	94	46	7	6					
6	Число погашенных избирательных бюллетеней	6748	143	90	183	9	30	12	141	15	46	323	82	125	11	127	158	53	92	133	148	31	274	247	87	140	46	19	171	214	61	42	159	85	11	37	57	60	19	11	557	624	780	645	450					
7	Число избирательных бюллетеней в переносных ящиках	952	53	56	54	4	11	2	49	4	5	19	22	59	2	37	12	15	17	28	12	13	0	38	12	10	11	6	32	73	32	23	9	13	3	8	2	10	6	0	37	94	46	7	6					
8	Число бюллетеней в стационарных ящиках для голосования	13168	334	190	329	130	134	49	299	71	126	540	290	236	32	237	273	151	168	298	329	121	475	435	179	201	124	108	357	376	160	179	331	200	102	191	150	231	54	47	812	1078	954	1221	866					
9	Число недействительных избирательных бюллетеней	157	3	4	6	2	2	0	3	0	0	4	2	2	0	1	9	1	2	8	3	3	10	7	2	0	6	2	3	8	3	6	9	2	1	4	5	2	1	3	7	10	4	2	5					
10	Число действительных избирательных бюллетеней	13963	384	242	377	132	143	51	345	75	131	555	310	293	34	273	276	165	183	318	338	131	465	466	189	211	129	112	386	441	189	196	331	211	104	195	147	239	59	44	842	1162	996	1226	867					
11	Число полученных открепительных  удостоверений	397	15	5	7	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	30	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	30	30	15	55	30					
12	Число выданных открепительных удостоверений	151	10	0	0	0	0	0	1	3	0	7	0	0	0	3	0	0	0	2	1	2	3	10	0	1	0	0	4	2	1	2	2	0	0	0	0	4	0	0	11	14	6	42	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	148	3	0	6	1	1	1	3	0	2	8	9	0	0	3	3	3	1	3	2	4	20	4	0	2	2	1	4	1	5	3	4	3	1	1	1	3	1	2	7	8	4	12	6					
14	Число неиспользованных открепительных удостоверений	246	5	5	7	5	5	5	4	2	5	3	5	5	5	2	5	5	5	3	4	3	27	0	5	4	5	5	1	3	4	3	3	5	5	5	5	1	5	5	19	16	9	13	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	519	24	2	12	4	2	2	22	3	3	36	8	7	1	7	19	6	2	11	16	1	4	21	2	0	4	5	22	20	2	9	5	5	0	2	5	8	3	0	34	45	48	54	33					
		3.68%	6.20%	0.81%	3.13%	2.99%	1.38%	3.92%	6.32%	4.00%	2.29%	6.44%	2.56%	2.37%	2.94%	2.55%	6.67%	3.61%	1.08%	3.37%	4.69%	0.75%	0.84%	4.44%	1.05%	0.00%	2.96%	4.39%	5.66%	4.45%	1.04%	4.46%	1.47%	2.35%	0.00%	1.01%	3.29%	3.32%	5.00%	0.00%	4.00%	3.84%	4.80%	4.40%	3.78%					
19	. Малышкин Олег Александрович	554	14	6	14	2	11	0	15	3	28	13	9	10	2	6	4	5	3	17	5	2	24	16	10	14	8	5	14	9	13	13	7	16	1	7	13	12	1	6	32	40	45	43	36					
		3.92%	3.62%	2.44%	3.66%	1.49%	7.59%	0.00%	4.31%	4.00%	21.37%	2.33%	2.88%	3.39%	5.88%	2.19%	1.40%	3.01%	1.62%	5.21%	1.47%	1.49%	5.05%	3.38%	5.24%	6.64%	5.93%	4.39%	3.60%	2.00%	6.77%	6.44%	2.06%	7.51%	0.95%	3.52%	8.55%	4.98%	1.67%	12.77%	3.77%	3.41%	4.50%	3.50%	4.13%					
20	. Миронов Сергей Михайлович	109	4	0	3	1	0	0	4	1	0	13	4	0	0	1	1	3	0	2	3	0	6	2	0	1	2	1	3	4	2	1	4	0	0	1	2	2	0	0	2	6	8	12	10					
		0.77%	1.03%	0.00%	0.78%	0.75%	0.00%	0.00%	1.15%	1.33%	0.00%	2.33%	1.28%	0.00%	0.00%	0.36%	0.35%	1.81%	0.00%	0.61%	0.88%	0.00%	1.26%	0.42%	0.00%	0.47%	1.48%	0.88%	0.77%	0.89%	1.04%	0.50%	1.18%	0.00%	0.00%	0.50%	1.32%	0.83%	0.00%	0.00%	0.24%	0.51%	0.80%	0.98%	1.15%					
21	. Путин Владимир Владимирович	9581	265	189	216	86	115	44	173	35	73	361	195	218	30	163	172	116	158	207	261	104	381	320	163	125	78	92	248	285	111	121	230	123	69	154	102	140	41	15	602	751	658	934	657					
		67.85%	68.48%	76.83%	56.40%	64.18%	79.31%	86.27%	49.71%	46.67%	55.73%	64.58%	62.50%	73.90%	88.24%	59.49%	60.35%	69.88%	85.41%	63.50%	76.54%	77.61%	80.21%	67.65%	85.34%	59.24%	57.78%	80.70%	63.75%	63.47%	57.81%	59.90%	67.65%	57.75%	65.71%	77.39%	67.11%	58.09%	68.33%	31.91%	70.91%	64.08%	65.80%	76.06%	75.34%					
22	. Хакамада Ирина Муцуовна	322	16	6	5	4	0	0	13	1	2	19	1	3	0	1	9	3	0	13	8	3	13	9	1	2	3	0	9	11	2	0	2	1	5	2	4	5	1	0	20	32	16	49	28					
		2.28%	4.13%	2.44%	1.31%	2.99%	0.00%	0.00%	3.74%	1.33%	1.53%	3.40%	0.32%	1.02%	0.00%	0.36%	3.16%	1.81%	0.00%	3.99%	2.35%	2.24%	2.74%	1.90%	0.52%	0.95%	2.22%	0.00%	2.31%	2.45%	1.04%	0.00%	0.59%	0.47%	4.76%	1.01%	2.63%	2.07%	1.67%	0.00%	2.36%	2.73%	1.60%	3.99%	3.21%					
23	. Харитонов Николай Михайлович	2620	56	31	125	35	14	5	114	30	21	101	90	51	1	90	69	28	16	61	41	18	18	93	13	67	34	5	88	101	56	48	78	64	28	27	21	72	13	20	142	268	202	96	69					
		18.56%	14.47%	12.60%	32.64%	26.12%	9.66%	9.80%	32.76%	40.00%	16.03%	18.07%	28.85%	17.29%	2.94%	32.85%	24.21%	16.87%	8.65%	18.71%	12.02%	13.43%	3.79%	19.66%	6.81%	31.75%	25.19%	4.39%	22.62%	22.49%	29.17%	23.76%	22.94%	30.05%	26.67%	13.57%	13.82%	29.88%	21.67%	42.55%	16.73%	22.87%	20.20%	7.82%	7.91%					
																																																		
