Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
"Наименование Избирательной комиссии:    г. Грозный, Октябрьская"																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №456					
1	"Число избирателей, внесенных в список избирателей"	36215	1568	1587	1641	1620	1615	1603	1635	1558	1514	1503	1894	1921	1237	1313	1791	1666	1624	1421	2157	1647	2000	1700					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36251	1570	1589	1643	1622	1617	1605	1637	1560	1516	1505	1896	1923	1239	1315	1793	1668	1626	1423	2157	1647	2000	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	1119					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34484	1560	1579	1633	1612	1607	1595	1627	1550	1506	1495	1885	1911	1231	1306	1782	1658	1616	1414	2147	1640	1559	571					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	49	3	1	2	3	2	1	2	2	1	3	2	2	2	2	3	3	2	1	4	3	2	3					
6	Число погашенных избирательных бюллетеней	162	7	9	8	7	8	9	8	8	9	7	9	10	6	7	8	7	8	8	6	4	2	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1605	3	1	2	3	2	1	2	2	1	3	2	2	2	2	3	3	2	1	4	3	439	1122					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34484	1560	1579	1633	1612	1607	1595	1627	1550	1506	1495	1885	1911	1231	1306	1782	1658	1616	1414	2147	1640	1559	571					
9	Число недействительных избирательных бюллетеней	26	1	2	0	0	1	1	1	2	0	1	1	2	0	4	0	1	1	0	2	2	2	2					
10	Число действительных избирательных бюллетеней	36063	1562	1578	1635	1615	1608	1595	1628	1550	1507	1497	1886	1911	1233	1304	1785	1660	1617	1415	2149	1641	1996	1691					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	499	3	3	3	3	3	3	8	3	3	3	3	8	3	8	3	3	3	3	200	150	80	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	437	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	200	150	80	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	62	3	2	3	1	3	2	7	3	2	3	3	8	3	8	3	2	3	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	69	3	2	3	2	1	5	3	5	2	3	3	7	2	1	6	3	5	5	1	2	3	2					
		0.19%	0.19%	0.13%	0.18%	0.12%	0.06%	0.31%	0.18%	0.32%	0.13%	0.20%	0.16%	0.37%	0.16%	0.08%	0.34%	0.18%	0.31%	0.35%	0.05%	0.12%	0.15%	0.12%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	20	0	1	1	0	0	2	1	2	0	0	3	1	1	0	0	1	0	2	2	0	2	1					
		0.06%	0.00%	0.06%	0.06%	0.00%	0.00%	0.13%	0.06%	0.13%	0.00%	0.00%	0.16%	0.05%	0.08%	0.00%	0.00%	0.06%	0.00%	0.14%	0.09%	0.00%	0.10%	0.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	0	2	2	1	1	0	1	0	0	1	0	2	2	0	0	3	0	1	1	1	0	2					
		0.06%	0.00%	0.13%	0.12%	0.06%	0.06%	0.00%	0.06%	0.00%	0.00%	0.07%	0.00%	0.10%	0.16%	0.00%	0.00%	0.18%	0.00%	0.07%	0.05%	0.06%	0.00%	0.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	27	2	0	1	2	2	0	2	0	2	2	2	1	1	1	0	2	0	2	1	1	1	2					
		0.07%	0.13%	0.00%	0.06%	0.12%	0.12%	0.00%	0.12%	0.00%	0.13%	0.13%	0.11%	0.05%	0.08%	0.08%	0.00%	0.12%	0.00%	0.14%	0.05%	0.06%	0.05%	0.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	2	1	0	1					
		0.04%	0.00%	0.06%	0.00%	0.06%	0.06%	0.06%	0.06%	0.00%	0.00%	0.00%	0.05%	0.05%	0.08%	0.08%	0.00%	0.00%	0.00%	0.00%	0.09%	0.06%	0.00%	0.06%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35900	1557	1571	1627	1608	1602	1586	1619	1543	1503	1491	1876	1899	1226	1300	1777	1651	1612	1405	2142	1633	1990	1682					
