Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Кугарчинская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779					
1	"Число избирателей, внесенных в список"	22669	283	220	203	346	549	337	265	309	201	441	585	354	202	361	177	497	1146	602	1071	146	283	184	348	80	297	302	238	281	309	87	537	128	307	157	111	119	197	129	555	218	647	220	254	153	232	236	489	533	924	1498	1440	604	83	428	363	196	351	228	225	191	212					
2	Число полученных избирательных бюллетеней	22747	282	225	205	348	557	337	265	310	195	441	576	359	206	361	202	495	1107	582	1062	140	276	184	348	80	297	295	239	278	312	90	534	128	300	153	108	119	198	131	555	219	648	253	255	155	233	238	491	533	918	1613	1407	607	84	426	364	198	343	251	224	196	211					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20815	266	202	195	323	531	329	243	294	195	441	533	344	199	345	170	448	1057	572	1010	138	267	183	286	80	287	242	199	243	246	59	478	117	297	153	97	108	182	129	545	207	627	202	219	142	219	215	440	420	835	1401	1240	580	71	391	303	180	313	190	218	191	178					
5	"Число избирательных бюллетеней, выданных вне помещения"	1277	16	18	8	20	15	8	22	15	0	0	43	6	3	16	7	47	50	10	7	2	3	1	62	0	10	50	27	28	32	28	42	11	3	0	9	11	15	0	10	11	16	18	35	9	13	21	7	15	47	55	138	20	9	31	59	16	29	38	5	0	30					
6	Число погашенных избирательных бюллетеней	655	0	5	2	5	11	0	0	1	0	0	0	9	4	0	25	0	0	0	45	0	6	0	0	0	0	3	13	7	34	3	14	0	0	0	2	0	1	2	0	1	5	33	1	4	1	2	44	98	36	157	29	7	4	4	2	2	1	23	1	5	3					
7	Число избирательных бюллетеней в переносных ящиках	1277	16	18	8	20	15	8	22	15	0	0	43	6	3	16	7	47	50	10	7	2	3	1	62	0	10	50	27	28	32	28	42	11	3	0	9	11	15	0	10	11	16	18	35	9	13	21	7	15	47	55	138	20	9	31	59	16	29	38	5	0	30					
8	Число бюллетеней в стационарных ящиках для голосования	20815	266	202	195	323	531	329	243	294	195	441	533	344	199	345	170	448	1057	572	1010	138	267	183	286	80	287	242	199	243	246	59	478	117	297	153	97	108	182	129	545	207	627	202	219	142	219	215	440	420	835	1401	1240	580	71	391	303	180	313	190	218	191	178					
9	Число недействительных избирательных бюллетеней	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	17	0	0	0					
10	Число действительных избирательных бюллетеней	22061	282	220	203	342	546	337	265	309	195	441	576	350	202	361	177	495	1107	580	1017	140	269	184	348	80	297	290	226	271	277	87	520	128	300	153	106	119	197	129	555	218	643	219	254	151	232	236	447	432	882	1456	1376	600	80	422	361	196	342	211	223	191	208					
11	Число полученных открепительных  удостоверений	300	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	2	20	20	20	7	1	1	2	1	1	1	3	1	1	1	2	1	1	1	0	1	1	0	5	1	4	1	1	1	1	1	30	23	15	60	20	20	0	2	1	1	1	1	1	0	1					
12	Число выданных открепительных удостоверений	93	1	0	0	1	2	0	0	0	0	2	2	1	0	0	0	0	2	6	3	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	5	1	4	0	1	1	0	1	4	2	4	18	14	4	0	2	1	1	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	2	1	1	2	1	2	1	1	0	0	2	0	0	0	0	1	9	6	17	0	5	2	1	0	1	4	1	0	1	1	2	1	2	3	1	3	1	0	2	1	1	0	6	0	2	0	1	0	0	9	3	1	0	1	0	1	2	0	2	0	3					
14	Число неиспользованных открепительных удостоверений	207	0	1	1	1	0	1	1	1	1	0	0	0	1	2	1	2	18	14	17	4	1	1	0	1	1	1	0	1	1	1	2	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	26	21	11	42	6	16	0	0	0	0	1	1	0	0	1					
