Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Шелопугинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853					
1	"Число избирателей, внесенных в список"	6831	336	103	51	404	134	124	302	70	271	161	108	176	125	1022	529	200	841	114	134	189	200	1237					
2	Число полученных избирательных бюллетеней	6669	334	100	50	404	126	123	295	70	270	156	107	175	125	1014	531	201	841	113	135	179	191	1129					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3829	214	69	41	227	81	77	188	54	180	108	61	118	89	473	264	95	465	82	99	123	115	606					
5	"Число избирательных бюллетеней, выданных вне помещения"	481	25	7	3	11	5	6	46	7	23	14	6	6	6	48	51	17	32	9	5	21	26	107					
6	Число погашенных избирательных бюллетеней	2359	95	24	6	166	40	40	61	9	67	34	40	51	30	493	216	89	344	22	31	35	50	416					
7	Число избирательных бюллетеней в переносных ящиках	481	25	7	3	11	5	6	46	7	23	14	6	6	6	48	51	17	32	9	5	21	26	107					
8	Число бюллетеней в стационарных ящиках для голосования	3829	214	69	41	227	81	77	188	54	180	108	61	118	89	473	264	95	465	82	99	123	115	606					
9	Число недействительных избирательных бюллетеней	51	5	0	0	3	1	6	4	0	1	0	0	3	4	1	2	1	6	3	1	0	2	8					
10	Число действительных избирательных бюллетеней	4259	234	76	44	235	85	77	230	61	202	122	67	121	91	520	313	111	491	88	103	144	139	705					
11	Число полученных открепительных  удостоверений	100	4	2	2	4	2	2	4	2	4	4	4	4	3	6	10	4	14	3	4	4	4	10					
12	Число выданных открепительных удостоверений	25	0	0	0	1	0	0	0	0	0	0	0	0	0	5	5	0	13	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	3	1	1	0	2	1	2	1	1	0	0	0	0	2	1	0	2	1	1	2	0	4					
14	Число неиспользованных открепительных удостоверений	75	4	2	2	3	2	2	4	2	4	4	4	4	3	1	5	4	1	3	4	4	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	75	4	0	0	10	2	2	2	0	6	1	2	1	0	13	4	4	6	1	6	1	3	7					
		1.74%	1.67%	0.00%	0.00%	4.20%	2.33%	2.41%	0.85%	0.00%	2.96%	0.82%	2.99%	0.81%	0.00%	2.50%	1.27%	3.57%	1.21%	1.10%	5.77%	0.69%	2.13%	0.98%					
19	. Малышкин Олег Александрович	115	8	2	0	5	1	5	4	0	7	3	8	1	0	19	6	4	9	2	1	4	4	22					
		2.67%	3.35%	2.63%	0.00%	2.10%	1.16%	6.02%	1.71%	0.00%	3.45%	2.46%	11.94%	0.81%	0.00%	3.65%	1.90%	3.57%	1.81%	2.20%	0.96%	2.78%	2.84%	3.09%					
20	. Миронов Сергей Михайлович	33	1	0	0	1	0	1	1	2	1	1	2	0	0	3	1	1	5	1	0	2	0	10					
		0.77%	0.42%	0.00%	0.00%	0.42%	0.00%	1.20%	0.43%	3.28%	0.49%	0.82%	2.99%	0.00%	0.00%	0.58%	0.32%	0.89%	1.01%	1.10%	0.00%	1.39%	0.00%	1.40%					
21	. Путин Владимир Владимирович	2966	175	69	39	167	64	52	193	41	122	77	34	101	79	341	184	69	355	69	66	85	104	480					
		68.82%	73.22%	90.79%	88.64%	70.17%	74.42%	62.65%	82.48%	67.21%	60.10%	63.11%	50.75%	81.45%	83.16%	65.45%	58.41%	61.61%	71.43%	75.82%	63.46%	59.03%	73.76%	67.32%					
22	. Хакамада Ирина Муцуовна	74	4	1	0	1	5	1	2	1	1	1	1	1	0	12	11	5	7	2	3	2	2	11					
		1.72%	1.67%	1.32%	0.00%	0.42%	5.81%	1.20%	0.85%	1.64%	0.49%	0.82%	1.49%	0.81%	0.00%	2.30%	3.49%	4.46%	1.41%	2.20%	2.88%	1.39%	1.42%	1.54%					
23	. Харитонов Николай Михайлович	941	41	4	5	48	12	16	27	17	63	37	20	16	12	120	105	27	99	13	24	47	25	163					
		21.83%	17.15%	5.26%	11.36%	20.17%	13.95%	19.28%	11.54%	27.87%	31.03%	30.33%	29.85%	12.90%	12.63%	23.03%	33.33%	24.11%	19.92%	14.29%	23.08%	32.64%	17.73%	22.86%					
																													
24	Против всех	55	1	0	0	3	1	0	1	0	2	2	0	1	0	12	2	1	10	0	3	3	1	12					
		1.28%	0.42%	0.00%	0.00%	1.26%	1.16%	0.00%	0.43%	0.00%	0.99%	1.64%	0.00%	0.81%	0.00%	2.30%	0.63%	0.89%	2.01%	0.00%	2.88%	2.08%	0.71%	1.68%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
