Выборы Президента Российской Федерации																																																								
																																																								
"Наименование Избирательной комиссии:    Ростов-на-Дону, Октябрьская"																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №2490	УИК №2491					
1	"Число избирателей, внесенных в список"	112674	2079	2295	1801	2529	2764	2725	3217	2256	2102	2948	2218	2340	2326	2026	1849	1047	2209	2661	1622	2564	2128	3381	2036	1206	1680	1127	1637	1725	1817	2496	2513	2889	1728	2429	2985	3320	3042	2640	2573	2243	2230	2202	2338	2792	2605	3154	3094	2545	541					
2	Число полученных избирательных бюллетеней	109370	2000	2100	1800	2400	2700	2700	3200	2100	2100	2800	2200	2300	2200	1800	1800	1000	2200	2600	1600	2600	2000	3500	2000	1200	1500	1100	1600	1600	1700	2400	2400	2600	1700	2300	3100	3300	3000	2600	2400	2100	2100	2200	2300	2600	2600	3100	3100	2500	570					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67856	1268	1324	1092	1476	1605	1669	2124	1323	1103	2153	1401	1422	1680	1164	922	711	1289	1753	729	1638	1257	2085	1387	747	1055	794	1039	825	928	1471	1444	1398	1072	976	1685	1827	2003	1557	1767	1225	1535	1248	1574	1850	1457	2077	2103	1478	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	7584	72	171	93	177	71	117	98	114	263	51	82	103	72	226	186	21	183	37	187	117	264	354	88	41	24	29	133	214	93	49	101	690	121	602	168	575	23	121	105	223	43	57	141	337	106	17	6	23	395					
6	Число погашенных избирательных бюллетеней	33930	660	605	615	747	1024	914	978	663	734	596	717	775	448	410	692	268	728	810	684	845	479	1061	525	412	421	277	428	561	679	880	855	512	507	722	1247	898	974	922	528	652	522	895	585	413	1037	1006	991	999	29					
7	Число избирательных бюллетеней в переносных ящиках	7584	72	171	93	177	71	117	98	114	263	51	82	103	72	226	186	21	183	37	187	117	264	354	88	41	24	29	133	214	93	49	101	690	121	602	168	575	23	121	105	223	43	57	141	337	106	17	6	23	395					
8	Число бюллетеней в стационарных ящиках для голосования	67803	1268	1324	1092	1467	1605	1669	2124	1323	1103	2147	1401	1421	1680	1164	922	711	1289	1753	729	1636	1256	2085	1384	747	1055	792	1039	824	928	1471	1444	1398	1072	974	1685	1827	1989	1556	1767	1225	1535	1238	1574	1850	1456	2077	2103	1478	146					
9	Число недействительных избирательных бюллетеней	275	2	5	1	0	7	6	7	7	6	7	2	3	9	2	0	4	5	9	3	9	9	9	3	7	4	5	0	7	3	3	9	24	0	6	14	0	7	7	9	6	3	7	12	0	5	8	10	4	0					
10	Число действительных избирательных бюллетеней	75112	1338	1490	1184	1644	1669	1780	2215	1430	1360	2191	1481	1521	1743	1388	1108	728	1467	1781	913	1744	1511	2430	1469	781	1075	816	1172	1031	1018	1517	1536	2064	1193	1570	1839	2402	2005	1670	1863	1442	1575	1288	1703	2187	1557	2086	2099	1497	541					
11	Число полученных открепительных  удостоверений	3090	30	40	40	80	80	50	150	50	43	300	70	50	35	43	30	42	40	80	30	50	45	110	55	50	85	80	40	30	40	45	40	40	30	40	200	50	127	50	100	100	50	40	50	50	43	60	60	47	0					
12	Число выданных открепительных удостоверений	2687	28	34	38	65	79	50	135	40	39	217	66	44	31	43	18	34	40	77	30	44	45	106	42	44	85	59	10	24	27	42	36	40	17	40	169	50	126	50	96	38	50	40	46	50	43	54	60	46	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2094	47	34	25	42	24	15	85	60	27	102	33	56	54	63	10	12	32	86	15	19	108	41	53	61	35	32	14	30	26	26	32	58	7	18	17	24	17	30	15	15	35	12	36	31	18	29	20	27	386					
14	Число неиспользованных открепительных удостоверений	403	2	6	2	15	1	0	15	10	4	83	4	6	4	0	12	8	0	3	0	6	0	4	13	6	0	21	30	6	13	3	4	0	13	0	31	0	1	0	4	62	0	0	4	0	0	6	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	3856	54	123	85	122	136	67	78	80	81	82	115	112	65	58	62	35	100	94	59	109	44	125	90	69	63	70	40	54	62	88	82	73	64	83	68	73	104	62	85	85	15	95	105	63	79	153	99	40	6					
