Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Савинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749					
1	"Число избирателей, внесенных в список"	11620	1825	1723	1630	1684	274	1168	698	351	460	190	130	341	73	229	239	126	479					
2	Число полученных избирательных бюллетеней	11007	1700	1600	1500	1600	270	1100	650	350	420	196	130	340	76	220	230	125	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5027	835	661	733	819	139	390	342	159	188	96	65	119	40	26	121	55	239					
5	"Число избирательных бюллетеней, выданных вне помещения"	1407	118	139	47	130	23	258	125	106	119	28	28	69	13	150	7	24	23					
6	Число погашенных избирательных бюллетеней	4573	747	800	720	651	108	452	183	85	113	72	37	152	23	44	102	46	238					
7	Число избирательных бюллетеней в переносных ящиках	1407	118	139	47	130	23	258	125	106	119	28	28	69	13	150	7	24	23					
8	Число бюллетеней в стационарных ящиках для голосования	5026	834	661	733	819	139	390	342	159	188	96	65	119	40	26	121	55	239					
9	Число недействительных избирательных бюллетеней	39	6	7	7	6	3	3	2	2	0	0	0	1	0	0	1	1	0					
10	Число действительных избирательных бюллетеней	6394	946	793	773	943	159	645	465	263	307	124	93	187	53	176	127	78	262					
11	Число полученных открепительных  удостоверений	143	15	15	10	15	5	10	6	22	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	69	5	6	5	11	3	5	2	22	3	3	0	0	0	1	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	6	4	11	8	1	1	7	0	1	2	2	1	0	3	3	2	1					
14	Число неиспользованных открепительных удостоверений	74	10	9	5	4	2	5	4	0	2	2	5	5	5	4	3	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	235	41	44	33	30	1	15	15	5	9	4	6	6	2	10	3	3	8					
		3.65%	4.31%	5.50%	4.23%	3.16%	0.62%	2.31%	3.21%	1.89%	2.93%	3.23%	6.45%	3.19%	3.77%	5.68%	2.34%	3.80%	3.05%					
19	. Малышкин Олег Александрович	278	34	34	26	48	4	26	18	24	7	7	3	7	4	5	7	5	19					
		4.32%	3.57%	4.25%	3.33%	5.06%	2.47%	4.01%	3.85%	9.06%	2.28%	5.65%	3.23%	3.72%	7.55%	2.84%	5.47%	6.33%	7.25%					
20	. Миронов Сергей Михайлович	89	10	12	14	13	6	7	4	5	0	0	0	1	3	2	1	1	10					
		1.38%	1.05%	1.50%	1.79%	1.37%	3.70%	1.08%	0.86%	1.89%	0.00%	0.00%	0.00%	0.53%	5.66%	1.14%	0.78%	1.27%	3.82%					
21	. Путин Владимир Владимирович	4188	589	461	485	567	118	491	287	179	229	101	71	143	30	116	83	62	176					
		65.10%	61.87%	57.62%	62.18%	59.75%	72.84%	75.77%	61.46%	67.55%	74.59%	81.45%	76.34%	76.06%	56.60%	65.91%	64.84%	78.48%	67.18%					
22	. Хакамада Ирина Муцуовна	113	12	15	14	20	4	8	11	4	3	0	0	3	4	7	2	1	5					
		1.76%	1.26%	1.88%	1.79%	2.11%	2.47%	1.23%	2.36%	1.51%	0.98%	0.00%	0.00%	1.60%	7.55%	3.98%	1.56%	1.27%	1.91%					
23	. Харитонов Николай Михайлович	1295	231	190	176	232	16	81	116	38	56	10	12	24	9	33	29	5	37					
		20.13%	24.26%	23.75%	22.56%	24.45%	9.88%	12.50%	24.84%	14.34%	18.24%	8.06%	12.90%	12.77%	16.98%	18.75%	22.66%	6.33%	14.12%					
																								
24	Против всех	196	29	37	25	33	10	17	14	8	3	2	1	3	1	3	2	1	7					
		3.05%	3.05%	4.62%	3.21%	3.48%	6.17%	2.62%	3.00%	3.02%	0.98%	1.61%	1.08%	1.60%	1.89%	1.70%	1.56%	1.27%	2.67%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
