Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N1"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841					
1	"Число избирателей, внесенных в список"	88119	1553	2137	2451	2637	2748	2759	2122	1879	2897	2269	2842	2148	2041	2621	2266	2418	1527	1754	2704	3340	1575	2728	2698	2113	2109	2715	554	2033	2887	2682	2698	1954	2325	2628	2487	2486	2388	1946					
2	Число полученных избирательных бюллетеней	83279	1475	2045	2320	2490	2630	2615	2035	1805	2710	2160	2650	2040	1940	2490	2155	2295	1435	1670	2570	2840	1490	2580	2560	2015	2005	2590	554	1920	2730	2540	2525	1835	2215	2500	2365	2355	2280	1850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47768	852	1054	1046	1411	1467	1552	1128	1044	1354	1210	1401	1217	1145	1410	1363	1226	683	691	1555	2105	786	1495	1350	1169	1208	1602	374	989	1609	1521	1511	1121	1402	1495	1505	1411	1296	1010					
5	"Число избирательных бюллетеней, выданных вне помещения"	1235	21	24	55	17	11	31	26	14	64	21	29	14	26	38	40	47	46	26	50	60	45	32	68	27	26	27	180	22	15	18	13	11	18	25	14	14	9	11					
6	Число погашенных избирательных бюллетеней	34276	602	967	1219	1062	1152	1032	881	747	1292	929	1220	809	769	1042	752	1022	706	953	965	675	659	1053	1142	819	771	961	0	909	1106	1001	1001	703	795	980	846	930	975	829					
7	Число избирательных бюллетеней в переносных ящиках	1235	21	24	55	17	11	31	26	14	64	21	29	14	26	38	40	47	46	26	50	60	45	32	68	27	26	27	180	22	15	18	13	11	18	25	14	14	9	11					
8	Число бюллетеней в стационарных ящиках для голосования	47709	852	1054	1042	1406	1461	1549	1128	1043	1354	1210	1401	1217	1145	1410	1363	1225	683	691	1555	2098	786	1494	1349	1169	1208	1600	374	989	1609	1503	1511	1119	1402	1489	1505	1411	1295	1009					
9	Число недействительных избирательных бюллетеней	434	8	12	11	5	19	21	16	21	19	22	12	3	10	10	14	13	12	9	10	14	10	9	13	16	10	10	10	13	10	9	10	3	6	15	11	3	9	6					
10	Число действительных избирательных бюллетеней	48510	865	1066	1086	1418	1453	1559	1138	1036	1399	1209	1418	1228	1161	1438	1389	1259	717	708	1595	2144	821	1517	1404	1180	1224	1617	544	998	1614	1512	1514	1127	1414	1499	1508	1422	1295	1014					
11	Число полученных открепительных  удостоверений	1900	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	90	50	50	50	50	50	50	10	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	634	9	22	13	13	35	22	14	13	20	15	21	10	15	20	14	9	2	7	26	67	9	11	23	21	19	22	0	20	16	16	20	13	17	22	17	8	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	398	5	4	12	8	11	13	2	5	12	4	27	6	7	10	8	10	3	4	10	14	9	14	10	17	13	12	47	22	11	10	13	1	4	11	11	6	6	6					
14	Число неиспользованных открепительных удостоверений	1266	41	28	37	37	15	28	36	37	30	35	29	40	35	30	36	41	48	43	24	23	41	39	27	29	31	28	10	30	34	34	30	37	33	28	33	42	42	45					
15	"Число открепительных удостоверений, выданных в ТИК"	78	2	0	0	0	1	0	0	1	2	2	3	1	0	0	0	0	2	0	1	44	1	0	3	1	2	0	0	3	0	0	5	0	0	1	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	4665	96	80	78	123	121	168	124	94	126	114	98	139	180	184	154	121	61	50	182	69	71	131	162	121	132	173	13	76	159	178	161	105	146	181	152	120	138	84					
		9.53%	11.00%	7.42%	7.11%	8.64%	8.22%	10.63%	10.75%	8.89%	8.89%	9.26%	6.85%	11.29%	15.37%	12.71%	10.98%	9.51%	8.37%	6.97%	11.34%	3.20%	8.54%	8.58%	11.43%	10.12%	10.70%	10.63%	2.35%	7.52%	9.79%	11.70%	10.56%	9.29%	10.28%	11.96%	10.01%	8.42%	10.58%	8.24%					
19	. Малышкин Олег Александрович	945	18	28	36	22	23	36	25	23	39	17	35	26	23	39	22	27	21	13	22	29	31	22	20	28	13	35	6	14	35	25	29	17	16	34	26	17	27	26					
		1.93%	2.06%	2.60%	3.28%	1.55%	1.56%	2.28%	2.17%	2.18%	2.75%	1.38%	2.45%	2.11%	1.96%	2.69%	1.57%	2.12%	2.88%	1.81%	1.37%	1.34%	3.73%	1.44%	1.41%	2.34%	1.05%	2.15%	1.08%	1.38%	2.16%	1.64%	1.90%	1.50%	1.13%	2.25%	1.71%	1.19%	2.07%	2.55%					
20	. Миронов Сергей Михайлович	518	5	11	7	10	13	20	6	11	16	11	15	13	13	15	21	11	8	8	11	6	10	33	16	15	9	19	4	17	17	16	13	10	18	18	19	26	14	13					
		1.06%	0.57%	1.02%	0.64%	0.70%	0.88%	1.27%	0.52%	1.04%	1.13%	0.89%	1.05%	1.06%	1.11%	1.04%	1.50%	0.86%	1.10%	1.12%	0.69%	0.28%	1.20%	2.16%	1.13%	1.25%	0.73%	1.17%	0.72%	1.68%	1.05%	1.05%	0.85%	0.88%	1.27%	1.19%	1.25%	1.82%	1.07%	1.27%					
21	. Путин Владимир Владимирович	31975	502	701	723	936	944	937	641	679	921	779	1019	764	703	914	857	780	439	463	965	1861	526	966	875	747	760	1051	461	671	1090	1015	1046	772	937	1006	993	966	861	704					
		65.33%	57.50%	65.03%	65.91%	65.78%	64.13%	59.30%	55.55%	64.24%	64.95%	63.28%	71.26%	62.06%	60.03%	63.12%	61.08%	61.32%	60.22%	64.57%	60.12%	86.24%	63.30%	63.30%	61.75%	62.46%	61.59%	64.60%	83.21%	66.37%	67.12%	66.73%	68.64%	68.32%	65.99%	66.45%	65.37%	67.79%	66.03%	69.02%					
22	. Хакамада Ирина Муцуовна	1481	26	22	26	55	63	41	29	23	35	29	41	53	27	38	44	29	20	20	64	20	19	28	36	50	60	55	1	38	42	61	58	53	53	34	66	58	39	25					
