Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Терская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
1	"Число избирателей, внесенных в список"	31133	2934	2220	2330	2113	1538	324	2455	2358	1691	285	324	1061	960	960	844	1836	1580	160	780	1194	1324	1257	605					
2	Число полученных избирательных бюллетеней	31302	2942	2230	2342	2124	1539	326	2467	2371	1709	285	325	1072	962	971	848	1835	1594	160	788	1200	1335	1268	609					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29856	2877	2172	2290	2083	1530	316	2232	2320	1617	265	301	1020	865	808	726	1788	1535	160	771	1137	1280	1213	550					
5	"Число избирательных бюллетеней, выданных вне помещения"	941	3	29	35	17	0	6	204	35	48	20	23	33	87	143	104	26	15	0	8	15	20	18	52					
6	Число погашенных избирательных бюллетеней	505	62	29	17	24	9	4	31	16	44	0	1	19	10	20	18	21	44	0	9	48	35	37	7					
7	Число избирательных бюллетеней в переносных ящиках	941	3	29	35	17	0	6	204	35	48	20	23	33	87	143	104	26	15	0	8	15	20	18	52					
8	Число бюллетеней в стационарных ящиках для голосования	29844	2877	2172	2290	2083	1530	316	2232	2320	1617	265	301	1020	853	808	726	1788	1535	160	771	1137	1280	1213	550					
9	Число недействительных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0					
10	Число действительных избирательных бюллетеней	30773	2880	2201	2325	2100	1530	322	2436	2355	1665	285	324	1053	940	951	830	1814	1550	160	779	1152	1300	1219	602					
11	Число полученных открепительных  удостоверений	300	29	22	23	21	14	3	24	23	17	2	3	10	9	9	8	18	16	2	7	11	12	12	5					
12	Число выданных открепительных удостоверений	29	4	1	2	2	2	0	2	4	2	0	2	1	0	0	0	2	2	0	1	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	271	25	21	21	19	12	3	22	19	15	2	1	9	9	9	8	16	14	2	6	9	12	12	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	11	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	3	3	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.23%	0.00%	0.00%					
19	. Малышкин Олег Александрович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	30517	2867	2196	2306	2083	1515	320	2433	2334	1640	285	321	1045	928	942	814	1788	1534	160	773	1142	1287	1207	597					
		99.13%	99.55%	99.77%	99.18%	99.19%	99.02%	99.38%	99.88%	99.11%	98.50%	100.00%	99.07%	99.24%	98.72%	99.05%	98.07%	98.57%	98.97%	100.00%	99.23%	99.13%	99.00%	98.05%	99.17%					
22	. Хакамада Ирина Муцуовна	6	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	236	13	2	19	17	10	2	3	21	25	0	3	4	10	9	16	26	16	0	6	7	10	12	5					
		0.77%	0.45%	0.09%	0.82%	0.81%	0.65%	0.62%	0.12%	0.89%	1.50%	0.00%	0.93%	0.38%	1.06%	0.95%	1.93%	1.43%	1.03%	0.00%	0.77%	0.61%	0.77%	0.97%	0.83%					
																														
24	Против всех	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
