Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Красноярск, Ленинская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290					
1	"Число избирателей, внесенных в список"	113827	2006	1719	1927	2057	2405	2064	2031	2132	1823	2012	2362	2223	2186	1502	2440	2618	288	2353	2765	2594	2168	2081	2605	2627	2292	1972	1638	2514	2385	2118	2005	2056	2101	2361	2325	2426	2320	2477	2123	2452	2604	2419	2588	2217	2390	2083	2121	2157	2250	2216	2149	2080					
2	Число полученных избирательных бюллетеней	113193	1990	1730	1927	2085	2397	2070	2040	2117	1830	2000	2370	2241	2186	1511	2520	2570	400	2375	2500	2590	2150	2080	2586	2600	2270	1962	1500	2500	2300	2100	2007	2060	2080	2329	2360	2400	2324	2465	2100	2439	2550	2410	2593	2200	2400	2052	2100	2100	2272	2245	2140	2070					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52225	998	949	978	1065	1347	1105	1100	1014	913	845	938	1219	997	817	1285	1236	122	1283	1406	1485	1072	986	1149	1116	837	680	779	865	1081	926	780	917	912	1076	1116	1144	840	949	854	982	1227	1221	1267	820	1168	986	1058	697	945	970	863	840					
5	"Число избирательных бюллетеней, выданных вне помещения"	1428	20	17	24	20	22	21	40	94	23	13	15	24	14	71	18	19	166	30	30	32	15	14	22	20	13	16	10	113	70	16	9	22	14	10	18	13	21	29	23	20	15	14	5	21	30	29	30	62	5	5	6	5					
6	Число погашенных избирательных бюллетеней	59540	972	764	925	1000	1028	944	900	1009	894	1142	1417	998	1175	623	1217	1315	112	1062	1064	1073	1063	1080	1415	1464	1420	1266	711	1522	1149	1158	1218	1121	1154	1243	1226	1243	1463	1487	1223	1437	1308	1175	1321	1359	1202	1037	1012	1341	1322	1270	1271	1225					
7	Число избирательных бюллетеней в переносных ящиках	1428	20	17	24	20	22	21	40	94	23	13	15	24	14	71	18	19	166	30	30	32	15	14	22	20	13	16	10	113	70	16	9	22	14	10	18	13	21	29	23	20	15	14	5	21	30	29	30	62	5	5	6	5					
8	Число бюллетеней в стационарных ящиках для голосования	52174	998	949	978	1065	1325	1105	1100	1014	913	845	938	1217	997	814	1285	1236	122	1283	1406	1485	1072	986	1147	1112	837	664	779	865	1081	926	780	917	912	1076	1116	1144	840	949	854	982	1227	1221	1267	820	1168	984	1058	697	945	970	863	840					
9	Число недействительных избирательных бюллетеней	454	10	10	0	16	6	10	8	9	11	9	7	8	9	6	15	2	4	8	6	8	13	8	18	5	14	7	18	6	5	12	11	13	6	14	16	8	4	9	7	6	0	8	0	11	10	12	9	10	4	7	4	17					
10	Число действительных избирательных бюллетеней	53148	1008	956	1002	1069	1341	1116	1132	1099	925	849	946	1233	1002	879	1288	1253	284	1305	1430	1509	1074	992	1151	1127	836	673	771	972	1146	930	778	926	920	1072	1118	1149	857	969	870	996	1242	1227	1272	830	1188	1001	1079	749	946	968	865	828					
11	Число полученных открепительных  удостоверений	1562	30	30	30	30	30	30	30	30	30	30	30	30	32	30	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	771	20	14	9	15	21	15	14	20	12	12	23	14	17	11	17	20	0	17	16	28	15	12	7	13	13	3	9	13	10	5	12	21	10	15	16	38	19	15	5	17	16	16	15	13	23	25	10	12	14	18	14	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	575	23	7	5	5	12	13	6	13	11	7	8	15	14	5	7	17	17	13	17	21	5	13	11	5	13	12	7	6	10	12	12	11	11	12	13	17	11	13	17	9	18	15	7	9	25	9	8	3	4	6	5	10					
14	Число неиспользованных открепительных удостоверений	791	10	16	21	15	9	15	16	10	18	18	7	16	15	19	13	10	0	13	14	2	15	18	23	17	17	27	21	17	20	25	18	9	20	15	14	12	11	15	25	13	14	14	15	17	7	15	20	18	16	12	16	18					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
