Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Туруханская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976					
1	"Число избирателей, внесенных в список"	8795	539	874	422	1332	93	40	171	470	214	21	132	117	32	44	1185	1955	597	101	70	91	33	186	76					
2	Число полученных избирательных бюллетеней	8549	536	880	398	1300	93	39	175	452	223	23	130	138	32	45	1078	1860	580	98	72	94	34	184	85					
3	"Число избирательных бюллетеней, выданных  досрочно"	177	0	61	0	0	0	0	0	40	0	0	0	0	0	0	9	0	0	0	0	0	0	40	27					
4	"Число избирательных бюллетеней, выданных в день голосования"	4848	331	370	246	723	55	34	128	308	123	14	112	103	26	32	507	1011	336	84	59	84	27	86	49					
5	"Число избирательных бюллетеней, выданных вне помещения"	335	0	44	11	67	0	0	7	0	6	0	0	0	0	2	135	50	13	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	3189	205	405	141	510	38	5	40	104	94	9	18	35	6	11	427	799	231	14	13	10	7	58	9					
7	Число избирательных бюллетеней в переносных ящиках	512	0	105	11	67	0	0	7	40	6	0	0	0	0	2	144	50	13	0	0	0	0	40	27					
8	Число бюллетеней в стационарных ящиках для голосования	4848	331	370	246	723	55	34	128	308	123	14	112	103	26	32	507	1011	336	84	59	84	27	86	49					
9	Число недействительных избирательных бюллетеней	29	2	3	1	5	0	1	4	0	0	0	0	3	1	0	0	7	1	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	5331	329	472	256	785	55	33	131	348	129	14	112	100	25	34	651	1054	348	84	59	84	27	125	76					
11	Число полученных открепительных  удостоверений	150	6	15	10	15	3	3	4	8	5	0	3	5	3	3	15	15	15	5	3	4	0	5	5					
12	Число выданных открепительных удостоверений	41	0	4	0	11	2	0	4	1	3	0	0	0	0	0	1	4	7	0	0	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	109	6	11	10	4	1	3	0	7	2	0	3	5	3	3	14	11	8	5	3	0	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	437	21	42	24	83	2	0	4	19	5	0	3	9	0	0	76	98	36	4	2	2	0	6	1					
		8.15%	6.34%	8.84%	9.34%	10.51%	3.64%	0.00%	2.96%	5.46%	3.88%	0.00%	2.68%	8.74%	0.00%	0.00%	11.67%	9.24%	10.32%	4.76%	3.39%	2.38%	0.00%	4.76%	1.32%					
19	. Малышкин Олег Александрович	99	3	8	3	15	5	1	2	6	2	1	0	0	0	1	11	23	3	2	1	0	0	7	5					
