Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Вуктыльская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11421	199	686	1720	1546	2170	1560	2275	216	191	753	105									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8600	190	500	1250	1150	1600	1150	1650	180	180	650	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	74	29	37	0	0	0	0	0	0	0	0	8									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4123	68	190	585	495	832	636	793	76	95	302	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	170	7	23	11	15	24	18	24	4	0	24	20									
6	Число погашенных избирательных бюллетеней	4233	86	250	654	640	744	496	833	100	85	324	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	244	36	60	11	15	24	18	24	4	0	24	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4119	68	190	585	495	831	635	791	76	95	302	51									
9	Число недействительных избирательных бюллетеней	118	0	7	23	9	24	13	22	0	5	14	1									
10	Число действительных избирательных бюллетеней	4245	104	243	573	501	831	640	793	80	90	312	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	236	15	21	30	30	30	30	30	10	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	97	8	21	8	8	4	14	10	1	7	15	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	5	2	11	4	15	14	9	0	3	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	139	7	0	22	22	26	16	20	9	3	0	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	3	4	18	17	21	21	19	1	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	94	4	3	10	14	26	16	17	2	0	2	0									
		2.15%	3.85%	1.20%	1.68%	2.75%	3.04%	2.45%	2.09%	2.50%	0.00%	0.61%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	159	3	15	22	15	22	26	21	5	6	17	7									
		3.64%	2.88%	6.00%	3.69%	2.94%	2.57%	3.98%	2.58%	6.25%	6.32%	5.21%	8.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	182	6	11	22	24	43	17	33	2	5	17	2									
		4.17%	5.77%	4.40%	3.69%	4.71%	5.03%	2.60%	4.05%	2.50%	5.26%	5.21%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1536	48	91	217	179	299	249	259	26	26	103	39									
		35.21%	46.15%	36.40%	36.41%	35.10%	34.97%	38.13%	31.78%	32.50%	27.37%	31.60%	49.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	0	1	2	2	10	2	2	0	0	3	0									
		0.50%	0.00%	0.40%	0.34%	0.39%	1.17%	0.31%	0.25%	0.00%	0.00%	0.92%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	2	1	2	3	2	0	0	0	0									
		0.25%	0.96%	0.00%	0.34%	0.20%	0.23%	0.46%	0.25%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1198	20	67	176	152	219	170	256	18	22	80	18									
		27.46%	19.23%	26.80%	29.53%	29.80%	25.61%	26.03%	31.41%	22.50%	23.16%	24.54%	22.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	1	4	2	6	6	4	0	0	2	0									
		0.57%	0.00%	0.40%	0.67%	0.39%	0.70%	0.92%	0.49%	0.00%	0.00%	0.61%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	47	0	3	7	4	10	8	11	0	0	4	0									
		1.08%	0.00%	1.20%	1.17%	0.78%	1.17%	1.23%	1.35%	0.00%	0.00%	1.23%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	1	1	2	1	0	2	0									
