Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Магнитогорск, Правобережная"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389					
1	"Число избирателей, внесенных в список"	91529	1880	1440	1252	1117	1971	2198	1868	1357	1359	1679	1686	1792	1430	1476	1620	1668	1612	1723	2052	1842	1338	1176	1053	1666	1530	1608	214	1408	1602	1784	1737	2087	2029	1982	1996	1934	2307	1485	1903	1720	2061	1655	1828	1310	2114	1720	1790	1850	1776	2539	1711	1786	1870	1938					
2	Число полученных избирательных бюллетеней	89279	1850	1400	1200	1100	1900	2200	1850	1500	1300	1600	1650	1700	1400	1450	1600	1600	1600	1650	2000	1800	1300	1150	1097	1510	1500	1500	215	1400	1600	1750	1600	2050	2000	2000	2000	1857	2100	1400	1850	1600	2100	1800	1700	1300	2000	1700	1750	1800	1750	2500	1650	1700	1800	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59678	1160	869	753	656	1261	1398	1119	981	900	989	1027	1198	949	986	1191	1211	1111	1179	1352	1163	820	789	799	1235	984	985	212	842	1032	1149	1033	1374	1285	1250	1340	1231	1546	908	1361	1101	1307	870	1175	961	1365	1062	1198	1224	1301	1688	1079	1228	1260	1231					
5	"Число избирательных бюллетеней, выданных вне помещения"	3922	33	57	40	27	49	55	45	76	45	56	75	94	66	56	146	192	65	92	31	52	135	97	58	106	54	38	0	63	47	30	215	54	135	135	104	131	173	32	43	43	69	90	39	112	65	53	56	59	35	30	36	75	117	41					
6	Число погашенных избирательных бюллетеней	25679	657	474	407	417	590	747	686	443	355	555	548	408	385	408	263	197	424	379	617	585	345	264	240	169	462	477	3	495	521	571	352	622	580	615	556	495	381	460	446	456	724	840	486	227	570	585	496	517	414	782	535	397	423	628					
7	Число избирательных бюллетеней в переносных ящиках	3922	33	57	40	27	49	55	45	76	45	56	75	94	66	56	146	192	65	92	31	52	135	97	58	106	54	38	0	63	47	30	215	54	135	135	104	131	173	32	43	43	69	90	39	112	65	53	56	59	35	30	36	75	117	41					
8	Число бюллетеней в стационарных ящиках для голосования	59660	1160	869	753	656	1261	1398	1119	981	900	989	1027	1198	949	985	1191	1211	1109	1179	1352	1162	820	775	799	1235	984	985	212	842	1032	1149	1033	1374	1285	1250	1340	1231	1546	908	1361	1101	1307	870	1175	961	1365	1062	1198	1224	1301	1688	1079	1228	1260	1231					
9	Число недействительных избирательных бюллетеней	555	20	15	12	11	18	7	8	7	0	12	7	6	9	1	15	16	11	13	15	19	9	7	12	21	8	8	0	7	12	15	6	17	5	25	0	12	14	9	9	19	9	10	9	0	8	0	14	0	15	13	16	7	8	9					
10	Число действительных избирательных бюллетеней	63027	1173	911	781	672	1292	1446	1156	1050	945	1033	1095	1286	1006	1040	1322	1387	1163	1258	1368	1195	946	865	845	1320	1030	1015	212	898	1067	1164	1242	1411	1415	1360	1444	1350	1705	931	1395	1125	1367	950	1205	1073	1422	1115	1240	1283	1321	1705	1099	1296	1369	1263					
