Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Свободненская поселковая																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6509	1296	994	1277	982	1960									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6325	1200	1000	1200	1000	1925									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	210	0	0	0	0	210									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4246	783	607	797	545	1514									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	104	7	3	2	4	88									
6	Число погашенных избирательных бюллетеней	1765	410	390	401	451	113									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	314	7	3	2	4	298									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4246	783	607	797	545	1514									
9	Число недействительных избирательных бюллетеней	137	33	14	22	20	48									
10	Число действительных избирательных бюллетеней	4423	757	596	777	529	1764									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	477	100	100	100	90	87									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	26	33	39	39	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	10	5	6	5	107									
14	Число погашенных неиспользованных открепительных удостоверений	318	74	67	61	51	65									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	20	20	13	13	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	11	5	17	5	22									
		1.32%	1.39%	0.82%	2.13%	0.91%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	88	26	8	17	9	28									
		1.93%	3.29%	1.31%	2.13%	1.64%	1.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	83	19	7	24	11	22									
		1.82%	2.41%	1.15%	3.00%	2.00%	1.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2506	394	313	412	264	1123									
		54.96%	49.87%	51.31%	51.56%	48.09%	61.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	9	2	6	4	28									
		1.07%	1.14%	0.33%	0.75%	0.73%	1.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	4	0	1	0	10									
		0.33%	0.51%	0.00%	0.13%	0.00%	0.55%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1017	182	149	157	155	374									
		22.30%	23.04%	24.43%	19.65%	28.23%	20.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	2	2	3	2	9									
		0.39%	0.25%	0.33%	0.38%	0.36%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	6	5	6	4	11									
		0.70%	0.76%	0.82%	0.75%	0.73%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	1	0	1	0	6									
		0.18%	0.13%	0.00%	0.13%	0.00%	0.33%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	4	3	4	3	24									
		0.83%	0.51%	0.49%	0.50%	0.55%	1.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	246	39	36	68	33	70									
		5.39%	4.94%	5.90%	8.51%	6.01%	3.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	6	8	13	2	10									
		0.86%	0.76%	1.31%	1.63%	0.36%	0.55%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	224	54	58	48	37	27									
		4.91%	6.84%	9.51%	6.01%	6.74%	1.49%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
