Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    район Преображенское																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №3096	УИК №3097	УИК №3098					
1	"Число избирателей, внесенных в список"	52644	2146	2085	2291	2089	2185	2356	2406	2431	2509	2559	2237	2436	2332	2629	2261	2322	2439	2232	2582	2447	2471	2413	326	60	400					
2	Число полученных избирательных бюллетеней	51410	2000	2000	2200	2000	2000	2200	2400	2400	2500	2500	2200	2300	2200	2600	2300	2300	2400	2200	2600	2400	2500	2400	350	60	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29060	1162	1074	1179	1008	1053	1345	1213	1477	1425	1423	1233	1336	1239	1486	1086	1259	1352	1265	1394	1272	1661	1412	326	60	320					
5	"Число избирательных бюллетеней, выданных вне помещения"	885	40	17	55	7	15	38	86	31	47	68	27	29	35	46	26	42	15	25	37	32	42	45	0	0	80					
6	Число погашенных избирательных бюллетеней	21465	798	909	966	985	932	817	1101	892	1028	1009	940	935	926	1068	1188	999	1033	910	1169	1096	797	943	24	0	0					
7	Число избирательных бюллетеней в переносных ящиках	885	40	17	55	7	15	38	86	31	47	68	27	29	35	46	26	42	15	25	37	32	42	45	0	0	80					
8	Число бюллетеней в стационарных ящиках для голосования	28922	1162	1069	1179	1008	1053	1341	1213	1446	1423	1423	1233	1328	1233	1477	1081	1253	1352	1265	1382	1264	1619	1412	326	60	320					
9	Число недействительных избирательных бюллетеней	204	2	3	8	11	12	4	8	7	9	4	9	14	14	0	11	4	9	40	8	10	7	5	1	0	4					
10	Число действительных избирательных бюллетеней	29603	1200	1083	1226	1004	1056	1375	1291	1470	1461	1487	1251	1343	1254	1523	1096	1291	1358	1250	1411	1286	1654	1452	325	60	396					
11	Число полученных открепительных  удостоверений	1140	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	50	70	50	0	0	0					
12	Число выданных открепительных удостоверений	711	44	25	27	26	33	31	25	29	35	33	21	31	27	39	30	41	30	26	30	31	67	30	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	630	15	53	24	13	32	59	14	36	26	28	12	19	78	27	17	24	22	4	13	37	29	27	2	0	19					
14	Число неиспользованных открепительных удостоверений	429	6	25	23	24	17	19	25	21	15	17	29	19	23	11	20	29	20	24	20	19	3	20	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	2	0	0	0	1	0	2	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
