Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Аллаиховская 												
												
Итоги голосования 												
												
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45					
1	"Число избирателей, внесенных в список"	2180	92	69	174	96	1749					
2	Число полученных избирательных бюллетеней	2300	130	100	200	150	1720					
3	"Число избирательных бюллетеней, выданных  досрочно"	11	0	0	11	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1526	80	69	124	80	1173					
5	"Число избирательных бюллетеней, выданных вне помещения"	115	8	0	5	3	99					
6	Число погашенных избирательных бюллетеней	648	42	31	60	67	448					
7	Число избирательных бюллетеней в переносных ящиках	126	8	0	16	3	99					
8	Число бюллетеней в стационарных ящиках для голосования	1526	80	69	124	80	1173					
9	Число недействительных избирательных бюллетеней	22	0	1	0	1	20					
10	Число действительных избирательных бюллетеней	1630	88	68	140	82	1252					
11	Число полученных открепительных  удостоверений	283	40	40	40	40	123					
12	Число выданных открепительных удостоверений	154	27	24	20	24	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	3	5	2	2	57					
14	Число неиспользованных открепительных удостоверений	129	13	16	20	16	64					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	2	0	1	14					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	34	2	4	3	1	24					
		2.06%	2.27%	5.80%	2.14%	1.20%	1.89%					
19	. Малышкин Олег Александрович	25	2	0	1	4	18					
		1.51%	2.27%	0.00%	0.71%	4.82%	1.42%					
20	. Миронов Сергей Михайлович	9	1	0	1	3	4					
		0.54%	1.14%	0.00%	0.71%	3.61%	0.31%					
21	. Путин Владимир Владимирович	1231	66	53	119	67	926					
		74.52%	75.00%	76.81%	85.00%	80.72%	72.80%					
22	. Хакамада Ирина Муцуовна	73	1	0	7	1	64					
		4.42%	1.14%	0.00%	5.00%	1.20%	5.03%					
23	. Харитонов Николай Михайлович	222	14	11	8	6	183					
		13.44%	15.91%	15.94%	5.71%	7.23%	14.39%					
												
24	Против всех	36	2	0	1	0	33					
		2.18%	2.27%	0.00%	0.71%	0.00%	2.59%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
