Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Клетская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994					
1	"Число избирателей, внесенных в список"	13856	2017	2101	172	385	874	109	646	78	87	821	157	122	685	254	144	81	152	474	80	149	87	629	197	118	1041	466	314	262	147	665	200	142					
2	Число полученных избирательных бюллетеней	14182	2023	2090	172	376	857	105	641	80	79	812	157	120	698	257	144	85	143	832	82	151	95	656	187	106	1043	464	301	277	141	667	201	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7918	917	899	116	187	486	79	419	60	57	452	134	86	428	197	105	54	118	408	73	110	49	348	127	63	487	315	256	186	114	379	123	86					
5	"Число избирательных бюллетеней, выданных вне помещения"	593	90	63	1	16	98	0	6	0	0	0	0	0	21	0	4	0	0	66	0	0	13	38	0	0	138	0	0	0	0	32	7	0					
6	Число погашенных избирательных бюллетеней	5671	1016	1128	55	173	273	26	216	20	22	360	23	34	249	60	35	31	25	358	9	41	33	270	60	43	418	149	45	91	27	256	71	54					
7	Число избирательных бюллетеней в переносных ящиках	593	90	63	1	16	98	0	6	0	0	0	0	0	21	0	4	0	0	66	0	0	13	38	0	0	138	0	0	0	0	32	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	7918	917	899	116	187	486	79	419	60	57	452	134	86	428	197	105	54	118	408	73	110	49	348	127	63	487	315	256	186	114	379	123	86					
9	Число недействительных избирательных бюллетеней	51	3	11	2	1	1	0	4	0	0	2	0	2	8	0	1	0	1	0	0	0	1	4	0	0	3	2	0	1	0	4	0	0					
10	Число действительных избирательных бюллетеней	8460	1004	951	115	202	583	79	421	60	57	450	134	84	441	197	108	54	117	474	73	110	61	382	127	63	622	313	256	185	114	407	130	86					
11	Число полученных открепительных  удостоверений	298	42	35	4	6	16	4	12	4	4	15	4	4	15	4	4	4	4	15	4	4	4	10	4	4	20	10	8	6	5	15	4	4					
12	Число выданных открепительных удостоверений	104	29	15	1	0	6	0	6	1	0	0	0	0	2	0	1	0	0	8	0	0	3	6	1	1	8	3	5	4	0	4	0	0					
