Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Губахинская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926					
1	"Число избирателей, внесенных в список"	33092	1675	2036	1379	241	1282	1643	1687	2238	2056	2183	2442	431	1511	2064	2371	778	1029	2006	508	1192	364	245	520	785	332	94					
2	Число полученных избирательных бюллетеней	35000	1650	2085	1450	245	1350	1750	1850	2250	2250	2250	2500	460	1600	2150	2450	1000	1170	2150	500	1350	400	250	570	850	370	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19184	837	1180	707	238	824	964	1051	1214	1278	1251	1385	240	898	1293	1430	413	511	1178	220	595	239	106	301	534	222	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	1711	121	107	50	0	46	99	71	95	60	41	75	46	41	58	58	126	96	138	102	74	18	46	52	78	13	0					
6	Число погашенных избирательных бюллетеней	14097	692	798	693	7	480	687	728	941	912	958	1040	174	661	799	962	461	563	834	178	673	143	98	217	238	135	25					
7	Число избирательных бюллетеней в переносных ящиках	1719	121	107	50	0	46	99	71	95	60	41	75	46	41	58	58	126	96	138	102	82	18	46	52	78	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	19181	836	1180	706	238	824	964	1051	1214	1278	1251	1384	240	898	1293	1430	413	511	1178	220	595	239	106	301	534	222	75					
9	Число недействительных избирательных бюллетеней	214	11	10	10	1	14	16	17	8	10	5	15	2	4	11	13	9	4	16	5	13	2	1	6	7	1	3					
10	Число действительных избирательных бюллетеней	20686	946	1277	746	237	856	1047	1105	1301	1328	1287	1444	284	935	1340	1475	530	603	1300	317	664	255	151	347	605	234	72					
11	Число полученных открепительных  удостоверений	338	15	20	13	3	13	16	18	21	25	21	24	5	16	20	24	8	10	20	5	12	3	3	5	11	4	3					
12	Число выданных открепительных удостоверений	262	9	12	5	0	7	12	13	13	25	21	24	0	14	13	24	8	10	20	5	4	2	1	5	11	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	12	7	5	0	5	10	3	5	13	9	6	12	5	1	10	3	3	7	4	6	6	15	19	6	6	5					
14	Число неиспользованных открепительных удостоверений	76	6	8	8	3	6	4	5	8	0	0	0	5	2	7	0	0	0	0	0	8	1	2	0	0	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	56	2	3	9	0	2	3	1	5	3	4	3	2	1	3	0	1	1	4	4	1	0	0	2	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	810	58	54	36	1	46	54	48	56	55	58	54	8	39	41	41	18	25	45	15	18	11	3	10	11	5	0					
		3.88%	6.06%	4.20%	4.76%	0.42%	5.29%	5.08%	4.28%	4.28%	4.11%	4.49%	3.70%	2.80%	4.15%	3.03%	2.76%	3.34%	4.12%	3.42%	4.66%	2.66%	4.28%	1.97%	2.83%	1.80%	2.13%	0.00%					
19	. Малышкин Олег Александрович	635	34	48	22	1	29	12	21	35	23	29	37	9	29	56	69	14	16	30	13	30	15	5	18	23	9	8					
		3.04%	3.55%	3.73%	2.91%	0.42%	3.33%	1.13%	1.87%	2.67%	1.72%	2.24%	2.54%	3.15%	3.09%	4.15%	4.64%	2.60%	2.64%	2.28%	4.04%	4.43%	5.84%	3.29%	5.10%	3.76%	3.83%	10.67%					
20	. Миронов Сергей Михайлович	156	10	6	5	3	9	8	3	10	16	8	13	3	7	8	9	5	10	8	3	1	2	1	2	6	0	0					
		0.75%	1.04%	0.47%	0.66%	1.26%	1.03%	0.75%	0.27%	0.76%	1.20%	0.62%	0.89%	1.05%	0.75%	0.59%	0.60%	0.93%	1.65%	0.61%	0.93%	0.15%	0.78%	0.66%	0.57%	0.98%	0.00%	0.00%					
21	. Путин Владимир Владимирович	15329	692	945	542	211	594	797	842	965	1016	968	1090	201	653	985	1092	401	413	951	221	422	198	110	282	479	203	56					
		73.34%	72.31%	73.43%	71.69%	88.66%	68.28%	74.98%	75.04%	73.72%	75.93%	74.92%	74.71%	70.28%	69.54%	72.91%	73.39%	74.40%	68.04%	72.26%	68.63%	62.33%	77.04%	72.37%	79.89%	78.27%	86.38%	74.67%					
22	. Хакамада Ирина Муцуовна	669	29	51	36	7	34	26	26	42	49	41	59	4	65	50	44	10	11	24	6	14	7	5	8	14	5	2					
		3.20%	3.03%	3.96%	4.76%	2.94%	3.91%	2.45%	2.32%	3.21%	3.66%	3.17%	4.04%	1.40%	6.92%	3.70%	2.96%	1.86%	1.81%	1.82%	1.86%	2.07%	2.72%	3.29%	2.27%	2.29%	2.13%	2.67%					
23	. Харитонов Николай Михайлович	2318	93	139	71	14	108	112	107	134	113	124	129	50	91	146	154	69	117	218	52	168	16	21	11	48	10	3					
		11.09%	9.72%	10.80%	9.39%	5.88%	12.41%	10.54%	9.54%	10.24%	8.45%	9.60%	8.84%	17.48%	9.69%	10.81%	10.35%	12.80%	19.28%	16.57%	16.15%	24.82%	6.23%	13.82%	3.12%	7.84%	4.26%	4.00%					
																																	
