Выборы Президента Российской Федерации																																																																																			
Дата голосования: 02.03.2008																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Астрахань, Ленинская"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
	Число участковых избирательных комиссий	76																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	76																																																																																	
																																																																																			
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547					
1	"Число избирателей, включенных в списки избирателей"	111525	2122	1865	1141	1192	1812	1014	1706	1091	2386	1720	2008	1807	1493	1287	1576	790	1663	2268	1269	1510	1503	1871	1394	1543	1496	1504	1185	1515	2147	777	1420	1652	1076	1550	1633	1304	1034	1187	1087	1710	1111	1257	1690	1052	1270	1254	1732	1507	1167	1367	1163	1383	1204	1690	2064	814	2587	1217	1121	1453	1936	1785	1216	1836	1760	1141	1400	2359	1038	1357	1088	1276	1632	1630	1388	272					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	97890	2000	1700	1000	1000	1700	1000	1500	1000	2000	1500	1800	1600	1200	1200	1500	700	1600	2000	1000	1300	1300	1500	1200	1300	1200	1200	1000	1300	2000	600	1200	1500	1100	1500	1500	1200	1000	1000	1000	1500	1000	1000	1500	1000	1000	1000	1500	1300	1000	1200	1000	1200	1000	1500	1800	700	2000	1000	1000	1300	1700	1600	1000	1500	1600	1000	1200	2000	1000	1200	900	1200	1500	1200	1390	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	65205	1218	883	564	593	791	575	1058	484	1440	1147	1496	1326	1096	856	887	428	699	1041	589	708	740	1123	562	833	789	826	658	1262	1061	312	814	979	794	907	1269	831	762	834	779	876	452	735	958	631	834	694	880	898	776	902	745	776	725	1173	1546	614	1905	763	637	886	925	1030	938	1155	810	699	951	1085	585	856	441	613	962	640	823	272					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4818	34	25	58	69	107	30	32	50	30	16	22	22	25	13	11	37	54	100	38	44	141	117	178	18	112	35	79	31	98	34	28	50	25	20	44	14	30	38	27	59	50	33	11	166	36	50	99	84	27	34	41	19	38	24	21	48	52	17	129	38	151	61	11	67	48	27	33	130	11	27	319	81	59	229	552	0					
6	Число погашенных избирательных бюллетеней	27867	748	792	378	338	802	395	410	466	530	337	282	252	79	331	602	235	847	859	373	548	419	260	460	449	299	339	263	7	841	254	358	471	281	573	187	355	208	128	194	565	498	232	531	203	130	256	521	318	197	264	214	405	237	303	233	38	43	220	234	376	624	509	51	278	742	274	216	785	404	317	140	506	479	331	15	228					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4818	34	25	58	69	107	30	32	50	30	16	22	22	25	13	11	37	54	100	38	44	141	117	178	18	112	35	79	31	98	34	28	50	25	20	44	14	30	38	27	59	50	33	11	166	36	50	99	84	27	34	41	19	38	24	21	48	52	17	129	38	151	61	11	67	48	27	33	130	11	27	319	81	59	229	552	0					
8	Число бюллетеней в стационарных ящиках для голосования	65035	1218	883	564	593	791	575	1058	484	1440	1147	1496	1326	1096	856	886	428	699	1040	589	708	740	1123	562	833	789	826	658	1231	1061	312	814	979	794	907	1269	831	762	834	778	876	452	735	958	631	834	694	880	897	776	902	745	776	725	1173	1546	614	1905	762	637	886	925	1030	938	1155	810	697	951	955	585	856	440	613	962	640	822	272					
9	Число недействительных избирательных бюллетеней	224	2	0	2	0	2	0	0	0	16	2	5	0	0	0	2	2	0	7	6	2	2	11	0	9	5	0	1	6	5	1	10	0	11	5	4	0	0	0	3	4	4	7	10	4	0	0	0	17	6	0	0	7	5	1	4	1	2	9	0	0	4	3	0	0	0	4	0	0	1	0	1	1	7	0	0	1					
10	Число действительных избирательных бюллетеней	69629	1250	908	620	662	896	605	1090	534	1454	1161	1513	1348	1121	869	895	463	753	1133	621	750	879	1229	740	842	896	861	736	1256	1154	345	832	1029	808	922	1309	845	792	872	802	931	498	761	959	793	870	744	979	964	797	936	786	788	758	1196	1563	661	1955	770	766	924	1072	1088	949	1222	858	720	984	1085	595	883	758	693	1014	869	1374	271					
11	Число полученных открепительных  удостоверений	3518	55	55	30	30	50	30	80	30	100	50	60	40	50	50	50	30	60	30	50	30	50	50	50	50	30	40	30	50	55	40	35	50	40	70	50	50	45	35	45	70	30	35	50	40	40	35	40	60	45	50	30	35	50	60	15	48	70	50	50	60	70	60	30	60	80	35	70	80	30	60	45	30	40	40	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3184	55	47	16	28	48	28	66	26	88	45	56	40	31	23	49	22	60	23	32	24	39	50	42	37	28	37	30	33	54	39	35	50	35	70	47	43	44	35	43	69	24	32	49	40	40	35	39	55	40	50	30	35	40	58	12	48	69	44	36	58	70	57	30	60	79	32	52	76	25	60	40	30	40	32	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4990	14	30	14	35	13	13	11	11	49	79	61	18	43	9	26	14	6	10	7	31	38	76	24	60	31	23	27	46	52	20	17	165	142	19	64	34	37	13	38	23	31	26	68	14	37	27	30	24	18	72	44	161	48	90	1148	122	437	124	44	26	35	29	172	139	38	56	82	22	15	33	57	21	53	152	9	43					
14	Число неиспользованных открепительных удостоверений	334	0	8	14	2	2	2	14	4	12	5	4	0	19	27	1	8	0	7	18	6	11	0	8	13	2	3	0	17	1	1	0	0	5	0	3	7	1	0	2	1	6	3	1	0	0	0	1	5	5	0	0	0	10	2	3	0	1	6	14	2	0	3	0	0	1	3	18	4	5	0	5	0	0	8	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	271	4	0	0	0	1	1	2	3	1	1	5	3	5	2	1	0	10	0	5	3	1	3	2	4	1	1	3	2	1	2	6	3	1	3	2	3	3	4	1	8	2	4	6	5	5	4	6	7	5	4	5	5	3	3	3	7	7	8	2	5	11	11	1	10	9	3	9	6	2	2	1	2	7	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
