Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Балахнинская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
1	"Число избирателей, внесенных в список"	68002	2788	2643	2585	2838	1284	1517	2784	2743	1922	1121	2832	2561	2827	2697	2698	2852	2689	2787	2818	1631	1474	1635	1551	1124	1725	1833	640	1363	1025	2472	543	483	1156	888	365	1108					
2	Число полученных избирательных бюллетеней	67000	2750	2600	2550	2800	1250	1500	2750	2700	1850	1100	2800	2550	2800	2650	2650	2850	2700	2750	2750	1600	1450	1650	1550	1100	1700	1800	600	1350	1000	2350	550	450	1150	900	350	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32242	1316	1506	1290	1419	539	678	1290	1337	975	540	1302	1147	1231	1336	1236	1251	1362	1413	1241	682	731	810	777	486	821	908	265	618	475	1099	303	184	668	310	139	557					
5	"Число избирательных бюллетеней, выданных вне помещения"	2217	65	42	46	46	27	91	79	45	75	30	20	43	85	38	45	92	31	33	72	155	11	17	21	70	64	14	58	70	51	66	141	107	112	29	98	128					
6	Число погашенных избирательных бюллетеней	32541	1369	1052	1214	1335	684	731	1381	1318	800	530	1478	1360	1484	1276	1369	1507	1307	1304	1437	763	708	823	752	544	815	878	277	662	474	1185	106	159	370	561	113	415					
7	Число избирательных бюллетеней в переносных ящиках	2217	65	42	46	46	27	91	79	45	75	30	20	43	85	38	45	92	31	33	72	155	11	17	21	70	64	14	58	70	51	66	141	107	112	29	98	128					
8	Число бюллетеней в стационарных ящиках для голосования	32234	1316	1506	1290	1419	539	678	1287	1336	975	540	1300	1147	1231	1336	1234	1251	1362	1413	1241	682	731	810	777	486	821	908	265	618	475	1099	303	184	668	310	139	557					
9	Число недействительных избирательных бюллетеней	375	9	15	7	14	1	5	24	11	41	15	10	16	11	10	16	10	11	12	11	17	8	4	9	5	15	10	11	7	5	6	6	1	0	2	0	20					
10	Число действительных избирательных бюллетеней	34076	1372	1533	1329	1451	565	764	1342	1370	1009	555	1310	1174	1305	1364	1263	1333	1382	1434	1302	820	734	823	789	551	870	912	312	681	521	1159	438	290	780	337	237	665					
11	Число полученных открепительных  удостоверений	980	40	40	40	40	20	20	40	40	20	20	40	40	40	40	40	40	40	40	40	20	20	20	20	20	20	20	10	20	20	20	10	10	20	20	10	20					
12	Число выданных открепительных удостоверений	295	12	17	11	14	9	4	6	13	5	3	15	8	11	12	10	15	12	7	24	3	8	4	5	5	6	6	2	8	2	10	0	2	2	14	6	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	253	10	8	12	5	11	1	8	7	29	2	3	3	3	5	17	11	12	9	18	3	0	3	1	5	1	6	8	4	9	7	6	7	4	8	3	4					
14	Число неиспользованных открепительных удостоверений	685	28	23	29	26	11	16	34	27	15	17	25	32	29	28	30	25	28	33	16	17	12	16	15	15	14	14	8	12	18	10	10	8	18	6	4	16					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	1559	57	68	68	75	16	23	45	73	45	14	70	47	76	64	48	83	81	104	83	20	64	39	45	12	20	52	11	28	16	45	3	6	17	13	6	22					
		4.53%	4.13%	4.39%	5.09%	5.12%	2.83%	2.99%	3.29%	5.29%	4.29%	2.46%	5.30%	3.95%	5.78%	4.66%	3.75%	6.18%	5.81%	7.19%	6.32%	2.39%	8.63%	4.72%	5.64%	2.16%	2.26%	5.64%	3.41%	4.07%	3.04%	3.86%	0.68%	2.06%	2.18%	3.83%	2.53%	3.21%					
19	. Малышкин Олег Александрович	990	39	42	29	42	24	28	56	47	29	12	40	47	46	51	36	39	33	35	36	15	17	31	17	8	29	19	5	12	7	28	17	9	20	21	7	17					
		2.87%	2.82%	2.71%	2.17%	2.87%	4.24%	3.64%	4.10%	3.40%	2.76%	2.11%	3.03%	3.95%	3.50%	3.71%	2.81%	2.90%	2.37%	2.42%	2.74%	1.79%	2.29%	3.75%	2.13%	1.44%	3.28%	2.06%	1.55%	1.74%	1.33%	2.40%	3.83%	3.09%	2.56%	6.19%	2.95%	2.48%					
20	. Миронов Сергей Михайлович	328	17	14	8	14	9	13	15	16	20	3	13	6	13	15	9	10	19	18	14	7	3	13	8	3	8	6	2	5	2	3	5	1	5	8	0	3					
		0.95%	1.23%	0.90%	0.60%	0.96%	1.59%	1.69%	1.10%	1.16%	1.90%	0.53%	0.98%	0.50%	0.99%	1.09%	0.70%	0.74%	1.36%	1.24%	1.07%	0.84%	0.40%	1.57%	1.00%	0.54%	0.90%	0.65%	0.62%	0.73%	0.38%	0.26%	1.13%	0.34%	0.64%	2.36%	0.00%	0.44%					
21	. Путин Владимир Владимирович	20451	755	848	758	802	318	500	765	742	513	378	781	675	761	773	717	741	764	753	739	577	391	500	502	364	577	541	229	488	399	829	301	196	586	214	173	501					
		59.36%	54.67%	54.78%	56.74%	54.74%	56.18%	65.02%	56.00%	53.73%	48.86%	66.32%	59.17%	56.72%	57.83%	56.26%	56.06%	55.17%	54.85%	52.07%	56.28%	68.94%	52.70%	60.46%	62.91%	65.47%	65.20%	58.68%	70.90%	70.93%	75.86%	71.16%	67.79%	67.35%	75.13%	63.13%	73.00%	73.14%					
22	. Хакамада Ирина Муцуовна	2185	112	110	89	114	36	38	80	98	55	31	98	85	121	57	113	93	103	111	120	37	37	54	38	18	41	48	16	34	22	65	10	13	43	17	10	18					
		6.34%	8.11%	7.11%	6.66%	7.78%	6.36%	4.94%	5.86%	7.10%	5.24%	5.44%	7.42%	7.14%	9.19%	4.15%	8.84%	6.92%	7.39%	7.68%	9.14%	4.42%	4.99%	6.53%	4.76%	3.24%	4.63%	5.21%	4.95%	4.94%	4.18%	5.58%	2.25%	4.47%	5.51%	5.01%	4.22%	2.63%					
23	. Харитонов Николай Михайлович	6628	301	356	318	319	126	139	304	308	207	98	225	238	206	320	251	281	282	332	220	141	188	130	136	119	140	192	39	97	57	152	94	58	87	53	38	76					
		19.24%	21.80%	23.00%	23.80%	21.77%	22.26%	18.08%	22.25%	22.30%	19.71%	17.19%	17.05%	20.00%	15.65%	23.29%	19.62%	20.92%	20.24%	22.96%	16.76%	16.85%	25.34%	15.72%	17.04%	21.40%	15.82%	20.82%	12.07%	14.10%	10.84%	13.05%	21.17%	19.93%	11.15%	15.63%	16.03%	11.09%					
																																											
24	Против всех	1935	91	95	59	85	36	23	77	86	140	19	83	76	82	84	89	86	100	81	90	23	34	56	43	27	55	54	10	17	18	37	8	7	22	11	3	28					
		5.62%	6.59%	6.14%	4.42%	5.80%	6.36%	2.99%	5.64%	6.23%	13.33%	3.33%	6.29%	6.39%	6.23%	6.11%	6.96%	6.40%	7.18%	5.60%	6.85%	2.75%	4.58%	6.77%	5.39%	4.86%	6.21%	5.86%	3.10%	2.47%	3.42%	3.18%	1.80%	2.41%	2.82%	3.24%	1.27%	4.09%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
